Date_time,CPU,Memory_Bytes,Disk_Usage
1625816347,30738342412660,8901042176,2.4M
1625816367,30742948140119,8900534272,2.4M
1625816387,30749807582636,8901156864,2.4M
1625816407,30756452072519,8900231168,2.4M
1625816427,30760743524337,8900820992,2.4M
1625816448,30765985631375,8900579328,2.4M
1625816468,30771351137880,8900485120,2.4M
1625816488,30775120356035,8903692288,2.4M
1625816508,30780800904134,8928555008,2.4M
1625816529,30786573081335,8949182464,2.4M
1625816549,30790668397320,8971567104,2.4M
1625816569,30796212899780,8984272896,2.4M
1625816589,30801789491999,8900939776,2.4M
1625816609,30805429557405,8908685312,2.6M
1625816629,30810606989542,8901271552,2.6M
1625816650,30815962403300,8900882432,2.6M
1625816670,30820660893877,8962129920,2.6M
1625816690,30825109290036,8901160960,2.6M
1625816710,30830469449327,8900952064,2.6M
1625816730,30835861636533,8900534272,2.6M
1625816750,30839524181758,8901013504,2.6M
1625816771,30844717334568,8901107712,2.6M
1625816791,30850001914398,8900923392,2.6M
1625816811,30853541734972,8901177344,2.6M
1625816831,30858851328153,8901148672,2.6M
1625816851,30864154461507,8900857856,2.6M
1625816872,30867686836891,8901005312,2.6M
1625816892,30873041419165,8901398528,2.6M
1625816912,30878330228680,8901287936,2.8M
1625816932,30881851016131,8901337088,2.8M
1625816952,30887163847518,8901328896,2.8M
1625816972,30892523891896,8901541888,2.8M
1625816993,30896157054668,8901353472,2.8M
1625817013,30901430999895,8901869568,2.8M
1625817033,30906742418499,8901361664,2.8M
1625817053,30910317926509,8901668864,2.8M
1625817073,30915742244909,8901525504,2.8M
1625817093,30920943217705,8901648384,2.8M
1625817114,30924363267189,8901701632,2.8M
1625817134,30929501131430,8901505024,2.9M
1625817154,30934607280618,8901537792,2.9M
1625817174,30938103371470,8901132288,2.9M
1625817194,30943314177806,8901304320,2.9M
1625817215,30948625663843,8901771264,3.0M
1625817235,30952380493707,8901955584,3.1M
1625817255,30957676049397,8901754880,3.1M
1625817275,30962825969928,8901791744,3.1M
1625817295,30966240214681,8901836800,3.1M
1625817315,30971592218966,8901861376,3.1M
1625817336,30976825082893,8901591040,3.1M
1625817356,30980395526549,8901869568,3.1M
1625817376,30985633281762,8901849088,3.1M
1625817396,30990763385565,8901902336,3.1M
1625817416,30994231832097,8901513216,3.1M
1625817436,30999425811229,8901554176,3.1M
1625817457,31004688215856,8901414912,3.1M
1625817477,31008242522415,8901746688,3.1M
1625817497,31013415175855,8901873664,3.1M
1625817517,31018725480290,8901812224,3.3M
1625817537,31022340413837,8902033408,3.3M
1625817557,31027562443141,8902000640,3.3M
1625817578,31033059312949,8901898240,3.3M
1625817598,31036786421395,8902184960,3.3M
1625817618,31042058207973,8902168576,3.3M
