Date_time,CPU,Memory_Bytes,Disk_Usage
1629387119,82993292360,8824930304,1184
1629387121,83205604179,8817938432,1188
1629387122,84867843238,8891224064,1192
1629387123,85538429457,8818343936,1196
1629387124,85724529294,8818466816,1200
1629387125,85910102272,8818794496,1204
1629387126,86156890639,8818814976,1208
1629387128,86354082575,8819200000,1212
1629387129,86542372943,8819425280,1216
1629387130,86748277374,8819671040,1220
1629387131,87434907099,8845811712,1224
1629387132,89067997366,8820101120,1228
1629387134,89232149869,8819949568,1232
1629387135,89529144111,8820207616,1240
1629387136,89707139613,8820764672,1244
1629387137,89867126633,8820846592,1248
1629387138,90182156343,8824057856,1252
1629387140,92461799319,8908410880,1256
1629387141,92683754485,8821809152,1260
1629387142,94650348124,8905928704,1264
1629387143,95081445209,8821964800,1268
1629387144,95261770042,8822329344,1272
1629387146,95451318176,8822296576,1276
1629387147,95633574815,8822022144,1280
1629387148,95799263812,8822075392,1284
1629387149,95956647571,8822018048,1288
1629387150,96137477205,8822288384,1292
1629387151,97136605563,8863948800,1296
1629387153,98366207655,8822497280,1300
1629387154,98499418072,8822202368,1304
1629387155,98645393935,8822214656,1308
1629387156,98776077538,8822411264,1312
1629387157,98935026699,8822067200,1316
1629387159,99083041064,8822546432,1320
1629387160,99218233289,8822513664,1324
1629387161,99452072571,8824283136,1328
1629387162,101464675555,8822759424,1332
1629387163,101605451197,8822738944,1336
1629387165,101738313867,8822902784,1340
1629387166,101885895928,8823066624,1344
1629387167,102058773244,8822915072,1348
1629387168,102178130177,8822874112,1352
1629387169,104092929209,8905994240,1356
1629387170,104454643329,8823095296,1360
1629387172,105904053840,8892076032,1368
1629387173,106782138674,8823136256,1368
1629387174,106928218101,8823398400,1372
1629387175,107178464855,8823500800,1376
1629387176,107375278555,8822661120,1380
1629387178,107650627951,8822558720,1384
1629387179,107782545431,8822685696,1392
1629387180,107917864880,8822603776,1396
1629387181,108337906665,8840450048,1400
1629387182,110239839824,8822681600,1404
1629387184,110380015428,8822530048,1408
1629387185,110540692262,8822784000,1412
1629387186,110688733603,8822636544,1416
1629387187,110813404149,8822562816,1420
1629387188,110945096955,8822624256,1424
1629387189,111081086125,8822411264,1428
1629387191,111199557365,8822611968,1432
1629387192,112802607573,8899670016,1436
1629387193,113335813816,8822554624,1440
1629387194,113644342202,8822947840,1640
1629387195,113783649221,8822984704,1644
1629387196,113912353950,8823173120,1648
1629387198,114068315088,8823042048,1652
1629387199,115212114995,8871915520,1656
1629387200,116239846717,8822996992,1660
1629387201,116879591425,8850792448,1664
1629387202,118511540545,8822767616,1668
1629387204,118648466753,8822710272,1672
1629387205,118781932385,8822763520,1676
1629387206,118929849545,8822718464,1680
1629387207,119055983987,8822865920,1684
1629387208,119179669256,8822845440,1688
1629387210,119314022171,8822927360,1692
1629387211,119473242812,8822636544,1696
1629387212,121527366885,8823345152,1700
1629387213,121663134867,8822931456,1704
1629387214,121801113005,8822968320,1708
1629387216,121969164576,8822784000,1712
1629387217,122320034776,8823095296,1716
1629387218,122461909266,8823185408,1720
1629387219,122605550142,8823115776,1724
1629387220,122815305079,8823058432,1728
1629387222,124081406782,8884412416,1736
1629387223,124949600089,8823136256,1740
1629387224,125449452432,8823291904,1744
1629387225,126080567424,8823410688,1748
1629387226,126225703977,8822992896,1752
1629387227,126356262050,8823238656,1756
1629387229,127102922194,8851419136,1760
1629387230,128578016080,8823066624,1764
1629387231,128919231211,8835010560,1768
1629387232,130758111697,8823443456,1772
1629387233,130922679415,8823230464,1776
1629387235,131061291797,8823312384,1780
1629387236,131191970873,8823328768,1784
1629387237,131359213615,8823095296,1788
1629387238,131492962672,8823164928,1792
1629387239,131624754913,8823353344,1796
1629387241,131768204440,8823095296,1800
1629387242,133501078278,8906424320,1804
1629387243,133959893406,8823640064,1808
1629387244,134100933231,8823390208,1812
1629387245,134226673208,8823631872,1816
1629387247,134353244437,8823402496,1820
1629387248,134489549038,8823676928,1824
1629387249,134627872035,8823390208,1828
