Date_time,CPU,Memory_Bytes,Disk_Usage
1629327234,125500266442,2379214848,1484
1629327235,126122035482,2409922560,1484
1629327237,128796588430,2381840384,1644
1629327238,129047923141,2382180352,1644
1629327239,129179249931,2382319616,1644
1629327241,129879764922,2382839808,1648
1629327242,130110908482,2383130624,1652
1629327243,130440484036,2383327232,1656
1629327245,130627882385,2383740928,1656
1629327246,132509576352,2455969792,1660
1629327247,133545505014,2383757312,1664
1629327249,135102728977,2454880256,1664
1629327250,136182616181,2384175104,1668
1629327251,136444909918,2384695296,1672
1629327253,136629195989,2384642048,1676
1629327254,136839142613,2384977920,1676
1629327255,137702897500,2417287168,1680
1629327257,140132592519,2396114944,1684
1629327258,140324730137,2396188672,1688
1629327260,140584275867,2396667904,1688
1629327261,140725298959,2386927616,1692
1629327262,140884688004,2386980864,1696
1629327264,141022255670,2386907136,1696
1629327265,141303304624,2391306240,1700
1629327266,143522389922,2476204032,1704
1629327268,143837814505,2387574784,1708
1629327269,143985056653,2387632128,1708
1629327270,144139901029,2387693568,1712
1629327272,144429596369,2388226048,1716
1629327273,144570338833,2388226048,1716
1629327275,144731027043,2388733952,1720
1629327276,146347572329,2458750976,1724
1629327277,147605684530,2388926464,1728
1629327279,149061446362,2459267072,1728
1629327280,150197474659,2389016576,1732
1629327281,150341700157,2389147648,1736
1629327283,150502751968,2389266432,1740
1629327284,150722721640,2389856256,1740
1629327285,151136685679,2408775680,1744
1629327287,153451084923,2389954560,1748
1629327288,153591353486,2389942272,1748
1629327290,153765045809,2390147072,1752
1629327291,153890169513,2390167552,1756
1629327292,154037847918,2390257664,1760
1629327294,154311259073,2390433792,1760
1629327295,154569470504,2392248320,1764
1629327296,157037138219,2389848064,1768
1629327298,157185099818,2389798912,1772
1629327299,157321599809,2389741568,1772
1629327301,157431391578,2389712896,1776
1629327302,157581906756,2389532672,1780
1629327303,157811439933,2389721088,1784
1629327305,158125094496,2389958656,1784
1629327306,159881728158,2462879744,1788
1629327307,160747147504,2389688320,1792
1629327309,162723318185,2470768640,1796
1629327310,163453915054,2389929984,1796
1629327312,163602260174,2390069248,1800
1629327313,163711159185,2390204416,1804
1629327314,163879266484,2390061056,1808
1629327316,165145593984,2460684288,1808
1629327317,166530112589,2390446080,1812
1629327318,166684136486,2390269952,1816
1629327320,166829518225,2390241280,1820
1629327321,166987650993,2390421504,1824
1629327323,167102956284,2390360064,1824
1629327324,167206257795,2390413312,1828
1629327325,167800826341,2417381376,1828
1629327327,169844963627,2390474752,1832
1629327328,169971889933,2390589440,1836
1629327329,170493857213,2390163456,1840
1629327331,170658732700,2390249472,1840
1629327332,170778995586,2390269952,1844
1629327333,170910231277,2390503424,1848
1629327335,171019870479,2390437888,1852
1629327336,172838659530,2464088064,1852
1629327337,173664905193,2390331392,1856
1629327339,175144225823,2460921856,1860
1629327340,176138383059,2390245376,1864
1629327341,176279352123,2390388736,1864
1629327343,176564206411,2390618112,1868
1629327344,176689103458,2390376448,1872
1629327345,177367561974,2419351552,1876
1629327347,179429762428,2390282240,1876
1629327348,179553183533,2390302720,1880
1629327349,179684818454,2390323200,1884
1629327351,179826710343,2390421504,1884
1629327352,179962904174,2390441984,1888
1629327353,180138116444,2390274048,1892
1629327355,180246845017,2390777856,1896
1629327356,182215754847,2471243776,1900
1629327358,182831597870,2390720512,1900
1629327359,182959696494,2390581248,1904
