Date_time,CPU,Memory_Bytes,Disk_Usage
1629279570,17474729268782,2494689280,21896
1629279571,17475938206625,2438774784,21900
1629279572,17477337856173,2511945728,21904
1629279573,17478137791721,2438729728,21908
1629279574,17478265441368,2438975488,21912
1629279576,17478413333662,2438799360,21916
1629279577,17478610548719,2438909952,21920
1629279578,17478711116900,2439020544,21924
1629279579,17478807140606,2439061504,21928
1629279580,17480720377316,2526183424,21932
1629279581,17480880306988,2438914048,21936
1629279583,17480978582057,2439028736,21944
1629279584,17481073497603,2439094272,21948
1629279585,17481177017052,2439049216,21952
1629279586,17481289233388,2438975488,21956
1629279587,17481389123266,2439094272,21960
1629279588,17481488175980,2438901760,21964
1629279590,17482296713758,2485633024,21968
1629279591,17483558276670,2438983680,21972
1629279592,17483641861372,2439012352,21976
1629279593,17483724181554,2438848512,21980
1629279594,17483802995392,2439061504,21984
1629279595,17483890322924,2439045120,21988
1629279597,17483978970965,2439188480,21992
1629279598,17484069915417,2439118848,21996
1629279599,17484161056509,2439131136,22000
1629279600,17485904123622,2525683712,22004
1629279601,17486370497406,2449813504,22012
1629279603,17488101533452,2439163904,22016
1629279604,17488194549742,2439073792,22020
1629279605,17488286533431,2439278592,22024
1629279606,17488382481163,2439110656,22028
1629279607,17488475335477,2439090176,22032
1629279608,17488574932624,2439172096,22036
1629279610,17489341791702,2486624256,22040
1629279611,17490895945268,2439229440,22044
1629279612,17490995326282,2439319552,22048
1629279613,17491159041849,2440302592,22760
1629279614,17491258762553,2440343552,22764
1629279615,17491357906376,2440216576,22768
1629279617,17491448448828,2440114176,22772
1629279618,17491526167944,2440089600,22776
1629279619,17491617922762,2440101888,22780
1629279620,17493463458568,2528047104,22784
1629279621,17493665969753,2439942144,22788
1629279623,17493761768404,2439901184,22792
1629279624,17493854271619,2439999488,22796
1629279625,17493953083844,2439995392,22800
1629279626,17494048474331,2440089600,22808
1629279627,17494143027344,2439913472,22812
1629279628,17494236011680,2439565312,22816
1629279630,17494942537045,2479026176,22820
1629279631,17496315419098,2439479296,22824
1629279632,17497551977487,2510655488,22828
1629279633,17498346366019,2439647232,22832
1629279634,17498444599266,2439483392,22836
1629279635,17498655559880,2439622656,22840
1629279637,17498769546606,2439991296,22844
1629279638,17498851138284,2439684096,22848
1629279639,17498933421470,2439618560,22852
1629279640,17500549919370,2523803648,22856
1629279641,17500939597589,2439856128,22860
1629279642,17501035342551,2439606272,22864
1629279644,17501135715789,2439823360,22868
1629279645,17501268351872,2439647232,22876
1629279646,17501355718202,2439987200,22880
1629279647,17501442044123,2439876608,22884
1629279648,17501538740529,2439626752,22888
1629279649,17502205826020,2477654016,22892
1629279651,17503626337891,2439720960,22896
1629279652,17503737788763,2439852032,22900
