Date_time,CPU,Memory_Bytes,Disk_Usage
1626378700,170156708428880,8947380224,2664
1626378720,170162387535837,8946626560,2664
1626378740,170168023947376,8946933760,2668
1626378760,170171835162426,8952393728,2672
1626378780,170177583530683,8971792384,2672
1626378801,170183412610335,8988385280,2676
1626378821,170187471510001,9015070720,2676
1626378841,170193308964428,9019887616,2680
1626378861,170199343012843,9032916992,2684
1626378881,170203053649546,8946462720,2684
1626378901,170208656875846,8946647040,2688
1626378922,170214291787339,8946540544,2884
1626378942,170218812650235,8978333696,2888
1626378962,170223864003427,8946851840,2888
1626378982,170229521589359,8946667520,2892
1626379002,170234874311456,9028833280,2896
1626379022,170238868165008,8946462720,2896
1626379043,170244354542564,8946700288,2900
1626379063,170249858623839,8946913280,2904
1626379083,170253923301596,8947036160,2904
1626379103,170259401660949,8947077120,2908
1626379123,170265067332971,8946978816,2908
1626379143,170268719503187,8947052544,2912
1626379164,170274219298703,8946970624,2916
1626379184,170280081542105,8947253248,2916
1626379204,170284044659417,8946999296,2920
1626379224,170289701526812,8947204096,3116
1626379244,170295232205711,8947204096,3120
1626379264,170298949931593,8947396608,3120
1626379284,170304507620573,8947183616,3124
1626379305,170309950332610,8947032064,3128
1626379325,170313752147464,8946765824,3128
1626379345,170319245139523,8947105792,3132
1626379365,170324671740196,8947257344,3136
1626379385,170328413438089,8947433472,3136
1626379405,170333938543932,8947113984,3140
1626379426,170339817431022,8947318784,3140
1626379446,170343770302862,8947154944,3144
1626379466,170349578313593,8947073024,3148
1626379486,170355169316471,8947023872,3148
1626379506,170359003048641,8946978816,3152
1626379526,170364755563345,8947339264,3348
1626379547,170370434645519,8947752960,3352
1626379567,170374137951554,8947601408,3352
1626379587,170379839034642,8947306496,3356
1626379607,170385466904826,8947912704,3360
1626379627,170389205666552,8947716096,3360
1626379647,170394802956160,8947769344,3364
1626379668,170400434203629,8947343360,3364
1626379688,170404203890150,8947257344,3368
1626379708,170409834153194,8947404800,3372
1626379728,170415394032479,8947560448,3372
1626379748,170419102723167,8947531776,3376
1626379768,170424606370105,8947564544,3376
1626379789,170430128085475,8947281920,3380
1626379809,170433973922775,8947539968,3576
1626379829,170439769192943,8947699712,3580
1626379849,170445513047665,8947757056,3584
