Date_time,CPU,Memory_Bytes,Disk_Usage
1626710774,250867628139068,9024638976,8124
1626710794,250873297339058,9044574208,8128
1626710814,250879047908996,9057062912,8128
1626710835,250883063781123,8974405632,8132
1626710855,250888434365584,8974655488,8132
1626710875,250893937853559,8974868480,8136
1626710895,250897913851514,8998256640,8140
1626710915,250902988030395,8974815232,8140
1626710935,250908353784055,8974802944,8144
1626710956,250913331916524,9049989120,8144
1626710976,250917448128464,8974639104,8148
1626710996,250922868674088,8974852096,8152
1626711016,250928293499176,8975007744,8152
1626711036,250931937025396,8975032320,8156
1626711056,250937307915140,8975020032,8160
1626711076,250942678442386,8975056896,8356
1626711097,250946346402632,8974839808,8360
1626711117,250951731091749,8974708736,8360
1626711137,250957231814834,8974979072,8364
1626711157,250960885725440,8975073280,8364
1626711177,250966283572769,8975003648,8368
1626711197,250971682162523,8975114240,8372
1626711218,250975364672130,8974868480,8372
1626711238,250980731414857,8974897152,8376
1626711258,250986169770805,8974839808,8376
1626711278,250989865820788,8975261696,8380
1626711298,250995293966032,8974872576,8384
1626711318,251000763088980,8975056896,8384
1626711339,251004479614349,8974970880,8388
1626711359,251009976452813,8975265792,8392
1626711379,251015649649187,8975364096,8588
1626711399,251019384257707,8975548416,8592
1626711419,251024767248662,8975413248,8592
1626711439,251030158556499,8974831616,8596
1626711460,251033772827236,8975249408,8596
1626711480,251039262182573,8975273984,8600
1626711500,251044686772948,8975011840,8604
1626711520,251048375972042,8975085568,8604
1626711540,251053772500464,8975224832,8608
1626711560,251059158504359,8974974976,8608
1626711581,251062823984085,8975085568,8612
1626711601,251068056958856,8975187968,8616
1626711621,251073492984360,8975220736,8616
1626711641,251077061995920,8975282176,8620
1626711661,251082356513703,8974925824,8624
1626711681,251087820210928,8975319040,8820
1626711702,251091420568808,8975302656,8824
1626711722,251096840086712,8975478784,8824
1626711742,251102165511100,8975433728,8828
1626711762,251105886168840,8975560704,8828
1626711782,251111222773314,8975228928,8832
1626711802,251116716201341,8975327232,8836
1626711822,251120475332838,8975417344,8836
1626711843,251125785515280,8975163392,8840
1626711863,251131139520575,8975306752,8840
1626711883,251134735057595,8975101952,8844
1626711903,251140134609900,8975228928,8848
1626711923,251145604241131,8975560704,8848
1626711943,251149208357030,8975167488,8852
1626711964,251154708846002,8982466560,9048
1626711984,251160375084784,8997986304,9052
1626712004,251164349441479,9013682176,9056
1626712024,251170100056011,9030856704,9056
1626712044,251175932694976,9051443200,9060
1626712064,251179971621742,9061990400,9060
1626712085,251185406944698,8975941632,9064
1626712105,251190901838371,8975904768,9068
1626712125,251194712024558,8985755648,9068
1626712145,251200013710879,8975720448,9072
1626712165,251205331516471,8975712256,9072
1626712185,251210040384294,9045737472,9076
1626712206,251214298346760,8975654912,9080
1626712226,251219783850450,8975802368,9080
1626712246,251225338984002,8975699968,9084
1626712266,251229070947112,8975826944,9280
1626712286,251234707386842,8975998976,9284
1626712306,251240177441627,8975749120,9284
1626712327,251243919372820,8975777792,9288
1626712347,251249297988655,8976007168,9292
1626712367,251254718690481,8975892480,9292
1626712387,251258391524620,8975601664,9296
1626712407,251263800555438,8975970304,9300
1626712427,251269157149091,8975785984,9300
1626712448,251272833169732,8975929344,9304
1626712468,251278225812287,8975785984,9304
1626712488,251283685002233,8975917056,9308
1626712508,251287298356736,8975687680,9312
1626712528,251292822689699,8975859712,9312
1626712548,251298226823982,8975896576,9316
1626712569,251301902844404,8976031744,9512
1626712589,251307334648496,8976146432,9516
1626712609,251312869646025,8976433152,9516
1626712629,251316472259319,8976338944,9520
1626712649,251321807387060,8976130048,9524
1626712669,251327185081745,8975896576,9524
1626712689,251330734461218,8976252928,9528
1626712710,251336176982706,8976175104,9532
1626712730,251341484986683,8976113664,9532
1626712750,251345169922621,8976375808,9536
1626712770,251350716071035,8976130048,9536
1626712790,251356094900996,8976142336,9540
1626712810,251359654647475,8976236544,9544
1626712831,251364975231446,8976076800,9544
1626712851,251370373257121,8976269312,9548
1626712871,251373966331728,8976711680,9744
1626712891,251379378330949,8976601088,9748
1626712911,251384704879140,8976179200,9748
1626712931,251388318303330,8976527360,9752
1626712952,251393642585363,8976293888,9756
1626712972,251399072240200,8976265216,9756
1626712992,251402765146026,8975994880,9760
1626713012,251408164925762,8976117760,9764
1626713032,251413472999433,8976031744,9764
1626713052,251417052461711,8976379904,9768
1626713073,251422498898575,8976203776,9768
1626713093,251427942765103,8976199680,9772
1626713113,251431584972704,8976150528,9776
1626713133,251436969200669,8975994880,9776
1626713153,251442492160037,8976031744,9780
1626713173,251446132593374,8976363520,9976
1626713194,251451419388218,8976195584,9980
1626713214,251456811229856,8982482944,9980
1626713234,251460772894809,8999608320,9984
1626713254,251466605049309,9016393728,9988
1626713274,251472301496305,9044176896,9988
1626713294,251476085751631,9049690112,9992
1626713314,251481887168886,9063751680,9992
1626713335,251487396353179,8976736256,9996
1626713355,251491192486362,8979632128,10000
1626713375,251496600674600,8976670720,10000
1626713395,251502062224687,8976560128,10004
1626713415,251506800704060,9030164480,10008
1626713436,251511240050768,8976814080,10008
1626713456,251516643388947,8976785408,10012
1626713476,251522118226723,8976957440,10208
1626713496,251525843024015,8976838656,10212
1626713516,251531323295706,8976781312,10212
1626713536,251536632106101,8976846848,10216
1626713556,251540330600645,8976789504,10220
1626713577,251545652330540,8976863232,10220
1626713597,251551034380544,8976838656,10224
1626713617,251554695630801,8977068032,10224
1626713637,251560086103716,8976957440,10228
1626713657,251565501034640,8977190912,10232
1626713677,251569048650382,8977072128,10232
1626713698,251574434680050,8977289216,10236
1626713718,251579931046448,8977084416,10240
1626713738,251583620323430,8977371136,10240
1626713758,251589095087210,8976773120,10244
1626713778,251594580691912,8977084416,10440
1626713798,251598286211113,8977305600,10444
1626713819,251603744612078,8977240064,10444
1626713839,251609106767424,8977219584,10448
1626713859,251612745972946,8977223680,10452
1626713879,251618313705258,8977113088,10452
1626713899,251623606344368,8977043456,10456
1626713919,251627240573440,8976982016,10456
1626713940,251632612790027,8977158144,10460
1626713960,251637943490900,8977408000,10464
1626713980,251641608014960,8977530880,10464
1626714000,251647112531230,8977117184,10468
1626714020,251652371305959,8977362944,10472
1626714040,251655988880087,8977326080,10472
1626714060,251661387971334,8977068032,10476
1626714081,251666879166250,8977121280,10672
1626714101,251670528618027,8977244160,10676
1626714121,251675945173417,8977371136,10676
1626714141,251681232791013,8977199104,10680
1626714161,251684861310055,8977379328,10684
1626714181,251690231107512,8977301504,10684
1626714202,251695535077443,8977567744,10688
1626714222,251699249058195,8978051072,10944
1626714242,251704629976017,8978046976,10948
1626714262,251710025750264,8978006016,10952
1626714282,251713787504692,8977973248,10952
1626714302,251719252904734,8978042880,10956
1626714323,251724715118554,8977817600,10960
1626714343,251728433849969,8977813504,10960
1626714363,251733823172152,8977866752,10964
1626714383,251739308275785,8977997824,11160
1626714403,251742876967900,8977772544,11164
1626714423,251748311378963,8977862656,11164
1626714444,251753748277848,8977600512,11168
1626714464,251757460396033,8985526272,11172
1626714484,251763069471589,9003270144,11172
1626714504,251768910653844,9021997056,11176
1626714524,251772850245284,9047265280,11176
1626714544,251778490062155,9058291712,11180
1626714565,251784104015392,9063538688,11184
1626714585,251787803299164,8977850368,11184
1626714605,251793303724181,8978010112,11188
1626714625,251798613866739,8977985536,11192
1626714645,251802979843948,9013161984,11192
1626714665,251807883211255,8978542592,11392
1626714685,251813174870075,8978153472,11392
1626714706,251818351292105,9060483072,11396
1626714726,251822263209194,8978055168,11396
1626714746,251827633672708,8977928192,11400
1626714766,251833023996211,8977940480,11404
1626714786,251836612133825,8977969152,11404
1626714806,251842128210299,8977747968,11408
1626714827,251847600692142,8978227200,11412
1626714847,251851234888674,8978087936,11412
1626714867,251856504150297,8978178048,11416
1626714887,251861919030458,8978386944,11420
1626714907,251865657135603,8978001920,11420
1626714927,251871021206469,8978194432,11424
1626714948,251876541331373,8978214912,11424
1626714968,251880215643342,8978165760,11624
1626714988,251885522460219,8978235392,11624
1626715008,251890849597809,8977948672,11628
1626715028,251894498420240,8978173952,11632
1626715048,251899688040479,8978300928,11632
1626715069,251905171935115,8977793024,11636
1626715089,251908757947202,8978288640,11636
1626715109,251914093312400,8978100224,11640
1626715129,251919441672582,8978251776,11644
1626715149,251923055569442,8978374656,11644
1626715169,251928365976939,8978063360,11648
1626715190,251933671323924,8978264064,11652
1626715210,251937323779958,8978116608,11652
1626715230,251942615012413,8978194432,11656
1626715250,251947929635031,8978231296,11656
1626715270,251951552141861,8978538496,11856
1626715290,251957032631952,8978460672,11856
1626715311,251962466960718,8978685952,11860
1626715331,251966041534791,8978366464,11864
1626715351,251971468404283,8978137088,11864
1626715371,251976823471428,8978276352,11868
1626715391,251980510464154,8978599936,11868
