Date_time,CPU,Memory_Bytes,Disk_Usage
1626776846,266927296221703,9031872512,9992
1626776866,266931868619961,9053696000,9992
1626776887,266938130887030,9067552768,9996
1626776907,266944191679554,8979324928,10000
1626776927,266948320000113,8987111424,10000
1626776947,266954033001182,8979300352,10004
1626776967,266959899814637,8979435520,10004
1626776987,266965053455879,9049919488,10008
1626777008,266969737741213,8979386368,10012
1626777028,266975648982773,8979767296,10012
1626777048,266981463397080,8979591168,10016
1626777068,266985369325618,8979648512,10020
1626777088,266991247556519,8979943424,10216
1626777109,266997074170878,8979767296,10216
1626777129,267001031273129,8979525632,10220
1626777149,267006938546615,8979935232,10224
1626777169,267012853815358,8979734528,10224
1626777189,267016754401894,8979865600,10228
1626777209,267022518297221,8979779584,10232
1626777230,267028496158762,8979476480,10232
1626777250,267032559206331,8979681280,10236
1626777270,267038499050789,8979161088,10236
1626777290,267044393350188,8979410944,10240
1626777310,267048529995513,8979873792,10244
1626777330,267054506041370,8979755008,10244
1626777351,267060414972520,8979951616,10248
1626777371,267064596453782,8979828736,10248
1626777391,267070640332283,8980230144,10448
1626777411,267076493888192,8980275200,10448
1626777431,267080575100667,8980004864,10452
1626777452,267086482820466,8979976192,10456
1626777472,267092443010949,8979668992,10456
1626777492,267096333472958,8980078592,10460
1626777512,267102242070449,8979939328,10460
1626777532,267108335996403,8979492864,10464
1626777553,267112287650777,8979763200,10468
1626777573,267118264406858,8979779584,10468
1626777593,267124265352974,8979824640,10472
1626777613,267128170912171,8979804160,10472
1626777633,267134133691212,8980021248,10476
1626777653,267139937411065,8979771392,10480
1626777674,267143985676979,8979636224,10480
1626777694,267149932438127,8980217856,10680
1626777714,267156100397438,8980021248,10680
1626777734,267160107965117,8980275200,10684
1626777754,267166080047913,8979980288,10684
1626777774,267171972268918,8980017152,10688
1626777795,267175936653593,8980172800,10692
1626777815,267181895214111,8980172800,10692
1626777835,267187532896180,8980205568,10696
1626777855,267191640376824,8980180992,10700
1626777875,267197526335550,8980062208,10700
1626777896,267203408576278,8980041728,10704
1626777916,267207862095945,9001857024,10704
1626777936,267214085165753,9016963072,10708
1626777956,267220642864501,9049935872,10712
1626777976,267224990326132,9055854592,10908
1626777997,267231362371344,8980107264,10908
