Date_time,CPU,Memory_Bytes,Disk_Usage
1629246452,6893951418855,2397925376,2840
1629246453,6894284565411,2398060544,2844
1629246454,6894523387876,2398842880,2852
1629246455,6894664906338,2398846976,2856
1629246456,6894804352198,2399092736,2860
1629246458,6895832610920,2466988032,2864
1629246459,6897200857650,2399645696,2868
1629246460,6897752009027,2399752192,2872
1629246461,6898267852944,2400079872,2880
1629246462,6898631294003,2400026624,2884
1629246463,6899218988225,2400137216,2888
1629246465,6899469436696,2400423936,2892
1629246466,6899600602104,2400468992,2896
1629246467,6899712314052,2400313344,2900
1629246468,6901659903499,2488184832,2908
1629246469,6901803442545,2400542720,2912
1629246470,6901968909279,2400665600,2916
1629246472,6902085090151,2400542720,2920
1629246473,6902290626467,2400727040,2924
1629246474,6902513579641,2400677888,2928
1629246475,6902619275888,2400587776,2936
1629246476,6902778474117,2400628736,2940
1629246477,6903459835963,2441400320,2944
1629246479,6904929229493,2400915456,2948
1629246480,6906049273875,2470092800,2952
1629246481,6907041583938,2400866304,2956
1629246482,6907358095270,2400870400,2964
1629246483,6907473604503,2400747520,2968
1629246484,6907709389324,2400845824,2972
1629246486,6907830102982,2401095680,2976
1629246487,6907934348098,2401075200,2980
1629246488,6909391974267,2477461504,2984
1629246489,6909922467131,2401259520,2992
1629246490,6910023037870,2401079296,2996
1629246491,6910125751932,2401157120,3000
1629246492,6910276003732,2401112064,3004
1629246494,6910373936882,2401210368,3012
1629246495,6910475166647,2401132544,3016
1629246496,6910573188030,2401075200,3020
1629246497,6910791482537,2407845888,3024
1629246498,6912553908300,2401067008,3028
1629246499,6912646665726,2401390592,3032
1629246501,6912780673300,2401214464,3040
1629246502,6912896949563,2401107968,3044
1629246503,6912993759148,2401103872,3048
1629246504,6913095340161,2401005568,3052
1629246505,6913194289807,2401173504,3056
1629246506,6913294123864,2401083392,3064
1629246508,6914286980253,2469847040,3068
1629246509,6915260785257,2401533952,3072
1629246510,6916768543804,2476744704,3076
1629246511,6917298617853,2400710656,3080
1629246512,6917390260784,2400784384,3088
1629246513,6917487698588,2400608256,3092
1629246515,6917609329778,2400612352,3096
1629246516,6917698103877,2400727040,3100
1629246517,6917799579924,2400874496,3104
1629246518,6919542158881,2487861248,3108
1629246519,6919748279499,2400546816,3112
1629246520,6919906201767,2400681984,3120
1629246522,6920046690656,2400595968,3124
1629246523,6920156228082,2400485376,3128
1629246524,6920250785105,2400575488,3132
1629246525,6920344189001,2400489472,3136
1629246526,6920437341299,2400403456,3140
1629246527,6920998007118,2432884736,3148
1629246529,6922370475959,2400940032,3152
1629246530,6922518780009,2400702464,3156
1629246531,6922621205488,2400722944,3160
1629246532,6922722624146,2400727040,3164
1629246533,6922807651641,2400710656,3168
1629246534,6922982173594,2400604160,3176
1629246535,6923100699078,2400821248,3180
1629246537,6923806193927,2400731136,3184
1629246538,6925271666202,2473185280,3188
1629246539,6925910528669,2401030144,3192
1629246540,6927779271438,2401177600,3196
1629246541,6927870166745,2400837632,3200
1629246543,6927959694649,2400731136,3208
1629246544,6928071855229,2400694272,3212
1629246545,6928167395936,2400948224,3216
1629246546,6928258179879,2400886784,3220
1629246547,6928558087790,2412687360,3224
1629246548,6930243719903,2400817152,3228
1629246550,6930335288401,2400743424,3236
1629246551,6930448950622,2400980992,3240
1629246552,6930546435857,2401009664,3244
1629246553,6930638587065,2401067008,3248
1629246554,6930727967736,2401001472,3252
1629246555,6930841627572,2400907264,3256
1629246556,6930930775189,2400989184,3264
1629246558,6931933256242,2469318656,3268
1629246559,6932915248252,2401300480,3272
1629246560,6933008577846,2401296384,3276
1629246561,6933098699850,2401243136,3280
1629246562,6933193448350,2401071104,3284
1629246563,6933290646843,2400915456,3292
1629246565,6933388949753,2400952320,3296
1629246566,6933484985106,2400956416,3300
1629246567,6933581566804,2401058816,3304
1629246568,6935453070219,2401067008,3308
1629246569,6935776231729,2415198208,3312
1629246570,6937427219100,2401124352,3320
1629246572,6937519756707,2401017856,3324
1629246573,6937608852381,2400993280,3328
1629246574,6937694823113,2400849920,3332
1629246575,6937822316685,2400997376,3336
1629246576,6937904196370,2400960512,3344
1629246577,6938612855704,2442641408,3348
1629246579,6939961579520,2401382400,3352
1629246580,6940053494884,2401038336,3356
1629246581,6940144330990,2401308672,3360
1629246582,6940242802998,2401206272,3368
1629246583,6940348285690,2401067008,3372
1629246584,6940442909988,2401107968,3376
1629246586,6940549517469,2401124352,3380
1629246587,6940640244638,2401005568,3384
1629246588,6942216180054,2483073024,3388
1629246589,6942623392285,2401251328,3396
1629246590,6942720202574,2401173504,3400
1629246591,6942812481264,2401107968,3404
1629246593,6942954032861,2401062912,3408
1629246594,6943419093510,2401001472,3412
1629246595,6944120485540,2401447936,3416
1629246596,6944228377002,2401333248,3424
1629246597,6944711813982,2427252736,3428
1629246598,6946601229239,2401619968,3432
1629246600,6947542964642,2467766272,3436
