Date_time,CPU,Memory_Bytes,Disk_Usage
1628595024,35881932019837,7361953792,4912
1628595029,35885871519323,7272312832,4912
1628595035,35891505002134,7270748160,4912
1628595040,35896324308116,7374852096,4920
1628595045,35900268049962,7275569152,4936
1628595050,35905932329273,7273451520,4956
1628595055,35910833072372,7377506304,4964
1628595060,35914901397152,7276646400,4980
1628595066,35920600626508,7275094016,5004
1628595071,35925415630829,7372570624,5020
1628595076,35929664539284,7279210496,5052
1628595081,35935659732463,7432212480,5084
1628595086,35940115231324,7338323968,5100
1628595091,35944889107242,7280128000,5136
1628595097,35950701764862,7432818688,5176
1628595102,35954768472337,7326482432,5200
1628595107,35959772839659,7281020928,5248
1628595112,35965518887749,7433928704,5272
1628595117,35969260495681,7312113664,5324
1628595122,35974681355714,7283322880,5376
1628595128,35979795864219,7387152384,5408
1628595133,35983905795207,7284101120,5472
1628595138,35990066752549,7446065152,5536
1628595143,35994207706587,7343345664,5568
1628595148,35999274122828,7301300224,5632
1628595154,36004962815917,7451385856,5668
1628595159,36008810920146,7320543232,5740
1628595164,36014363742051,7303544832,5820
1628595169,36019494843574,7413567488,5860
1628595174,36023398584862,7307902976,5940
1628595179,36029102170244,7305637888,6024
1628595185,36033963403122,7389626368,6064
1628595190,36038127823710,7311032320,6160
1628595195,36043978819773,7464525824,6256
1628595200,36048515859123,7384616960,6304
1628595205,36052935902383,7315292160,6404
1628595210,36058918213680,7468978176,6500
1628595216,36063198381183,7367290880,6548
1628595221,36067858089296,7316815872,6660
1628595226,36073684769406,7471005696,6772
1628595231,36077556828925,7361527808,6832
1628595236,36082648700738,7318749184,6944
1628595241,36088270538007,7469436928,7000
1628595247,36092078612028,7348748288,7120
1628595252,36097478690935,7321452544,7252
1628595257,36102810809821,7451115520,7316
1628595262,36106667382312,7326220288,7444
1628595267,36112426692309,7322030080,7572
1628595272,36117453784565,7430524928,7636
1628595278,36121392340160,7325331456,7776
1628595283,36127650859083,7344193536,7920
1628595288,36132533241442,7413284864,7992
1628595293,36136662177164,7335297024,8136
1628595298,36142743031366,7490719744,8284
1628595303,36147201632356,7407091712,8356
1628595309,36151725466697,7338254336,8516
1628595314,36157641859030,7491399680,8680
1628595319,36161695705570,7385329664,8760
1628595324,36166669473293,7339724800,8920
1628595329,36172187768297,7489449984,9000
1628595334,36176033178637,7370014720,9164
1628595340,36181849841735,7348051968,9340
1628595345,36187148223120,7457255424,9428
1628595350,36191249431923,7351975936,9604
1628595355,36197189571730,7350505472,9784
1628595360,36201892552163,7428534272,9872
1628595365,36206493291245,7351545856,10056
1628595371,36212398932142,7505977344,10252
1628595376,36216684123202,7408275456,10348
1628595381,36221436683284,7353417728,10540
1628595386,36227237599952,7506247680,10636
1628595391,36231203274261,7392415744,10832
1628595396,36236413198874,7358275584,11032
1628595402,36241975044782,7508033536,11136
1628595407,36245845502931,7387000832,11348
1628595412,36251480946096,7365668864,11556
1628595417,36256540398191,7474302976,11660
1628595422,36260750904690,7369379840,11868
1628595427,36266571451820,7368683520,12096
1628595433,36271212423079,7445336064,12208
1628595438,36275511086950,7369949184,12432
1628595443,36281462393033,7524564992,12660
1628595448,36285848223668,7439069184,12772
1628595453,36290373795284,7372181504,13004
1628595458,36296249654579,7525998592,13128
1628595463,36300139221481,7413792768,13368
1628595469,36305385410122,7374483456,13608
1628595474,36310922879726,7508484096,13732
1628595479,36314826211401,7381708800,13972
1628595484,36320584646310,7383121920,14220
1628595489,36325647702449,7487483904,14352
1628595494,36329674950436,7387213824,14608
1628595500,36335657016773,7385870336,14868
1628595505,36340301533764,7466278912,14996
1628595510,36344725171044,7389605888,15252
1628595515,36350675389759,7544008704,15528
1628595520,36354958275464,7456047104,15664
1628595525,36360005110539,7395463168,15936
1628595531,36366051699983,7550488576,16212
1628595536,36370507819792,7446544384,16348
1628595541,36375339170537,7403700224,16620
1628595546,36381112162616,7556603904,16768
1628595551,36384930176630,7441649664,17056
1628595556,36390219776115,7406313472,17348
1628595562,36395683556325,7556751360,17492
1628595567,36399578306767,7431544832,17780
1628595572,36404812164291,7409381376,18080
1628595577,36410296113606,7559438336,18232
1628595582,36414182029616,7415934976,18540
1628595587,36419893715388,7413084160,18844
1628595593,36425014724893,7523385344,19000
1628595598,36429027342006,7418150912,19304
1628595603,36434824437617,7418802176,19620
1628595608,36439686803846,7503036416,19780
1628595613,36443908169536,7421075456,20104
1628595618,36449857626257,7576096768,20424
1628595624,36454333672653,7493611520,20588
1628595629,36459070529621,7424286720,20908
1628595634,36465056721135,7579783168,21248
1628595639,36469042283576,7471644672,21416
1628595644,36474024105357,7427727360,21756
1628595649,36479730326146,7580676096,21924
1628595655,36483648489953,7453102080,22264
1628595660,36489284929100,7431655424,22600
1628595665,36494326910333,7537684480,22780
1628595670,36498513100234,7441989632,23132
1628595675,36504314134400,7441063936,23488
1628595680,36508983105319,7519526912,23664
1628595686,36513325998070,7442944000,24020
1628595691,36519232554935,7598247936,24384
1628595696,36523611088851,7511285760,24568
1628595701,36528365148529,7446204416,24940
1628595706,36534319073838,7603175424,25312
1628595712,36538357706205,7496966144,25496
1628595717,36543248984813,7452487680,25868
1628595722,36549063184912,7605436416,26052
1628595727,36552906858143,7481704448,26440
1628595732,36558367070563,7457898496,26824
1628595737,36563836382241,7580053504,27020
1628595742,36567913814176,7467655168,27408
1628595748,36573780020862,7467024384,27792
1628595753,36578631704336,7554953216,27996
1628595758,36582915576451,7474814976,28400
1628595763,36588833970480,7630618624,28800
1628595768,36593302815368,7546531840,29004
1628595773,36598018555730,7478345728,29408
1628595779,36603909964678,7634771968,29808
1628595784,36607934394668,7527600128,30020
1628595789,36612831151578,7482630144,30440
1628595794,36618617399667,7634386944,30648
1628595799,36622443692512,7519215616,31068
1628595804,36627844078347,7490326528,31488
1628595810,36633220638472,7609155584,31696
1628595815,36637145722964,7498444800,32132
1628595820,36642760163877,7497314304,32568
1628595825,36647849441458,7610380288,32788
1628595830,36651992416476,7505395712,33220
1628595836,36657854734199,7504465920,33656
1628595841,36662611708266,7588491264,33876
1628595846,36666815356827,7508533248,34328
1628595851,36672824990661,7664226304,34780
1628595856,36677311093089,7578198016,35004
1628595861,36681902384450,7513325568,35456
1628595866,36687847484680,7669620736,35908
1628595872,36691781015526,7558377472,36140
1628595877,36696774755601,7517618176,36608
1628595882,36702576625089,7668531200,36844
1628595887,36706358563002,7541952512,37312
1628595892,36711855620435,7522549760,37780
1628595897,36717136929047,7640702976,38012
1628595903,36721133095814,7527321600,38488
1628595908,36726816980642,7527264256,38972
1628595913,36731667871962,7611969536,39216
1628595918,36735951762519,7530110976,39700
1628595923,36742035264855,7685984256,40184
1628595928,36746528145376,7603331072,40424
1628595934,36751009271901,7534723072,40928
1628595939,36757051627339,7690985472,41428
1628595944,36761091979034,7576600576,41676
1628595949,36766343204247,7539363840,42176
1628595954,36772051221176,7698296832,42428
1628595959,36775935202086,7565836288,42936
1628595965,36781559784663,7551885312,43452
1628595970,36786869240814,7673356288,43712
1628595975,36790797899634,7556923392,44228
1628595980,36796527902045,7556952064,44744
1628595985,36801405302007,7650652160,45000
1628595991,36805603958458,7559249920,45524
1628595996,36811553023020,7717347328,46060
1628596001,36815963843677,7632470016,46324
1628596006,36820447082008,7564152832,46856
1628596011,36826260016410,7724793856,47388
1628596016,36830408139506,7625740288,47656
1628596022,36835201029105,7572766720,48204
1628596027,36841146047154,7729422336,48752
1628596032,36845137733047,7619358720,49028
1628596037,36850238317397,7580119040,49576
1628596042,36855899276402,7734067200,49852
1628596047,36859818077650,7610691584,50400
1628596053,36865190010748,7584948224,50964
1628596058,36870641266664,7724302336,51248
1628596063,36874533497789,7591763968,51812
1628596068,36880129798934,7590862848,52376
1628596073,36885200984272,7695503360,52660
1628596078,36889293259223,7595057152,53232
1628596084,36895209778965,7595368448,53816
1628596089,36899791293088,7672893440,54104
1628596094,36904216727574,7596392448,54688
1628596099,36910212816475,7750361088,55268
1628596104,36914461091943,7648743424,55556
1628596110,36919280897684,7597494272,56148
1628596115,36925009632292,7751835648,56444
1628596120,36928983377366,7637094400,57044
1628596125,36934221647629,7599882240,57640
1628596130,36939682084609,7750762496,57940
1628596135,36943494444669,7624744960,58536
1628596141,36949032343595,7601958912,59152
1628596146,36954377235616,7717183488,59456
1628596151,36958503693677,7606210560,60072
1628596156,36964721825051,7758618624,60684
1628596161,36969282130605,7653867520,60992
1628596166,36974704925768,7605391360,61604
1628596172,36980060614587,7716728832,61920
1628596177,36984219805749,7605899264,62548
