Date_time,CPU,Memory_Bytes,Disk_Usage
1628765776,51629471420370,2022080512,1051512
1628765782,51636838698113,2157416448,1051520
1628765787,51643266977630,2028146688,1051540
1628765792,51650817430842,2118414336,1051552
1628765797,51658056052778,2221330432,1051576
1628765802,51664819936140,2141270016,1051596
1628765807,51672422024618,2312704000,1051616
1628765813,51679022023827,2213535744,1051648
1628765818,51686399770604,2308853760,1051672
1628765823,51693409694797,2222993408,1051712
1628765828,51700516758562,2281033728,1051740
1628765833,51708057496896,2386862080,1051772
1628765838,51714533724174,2253373440,1051824
1628765844,51722095725373,2359988224,1051856
1628765849,51728697582960,2250608640,1051912
1628765854,51735996933071,2337431552,1051952
1628765859,51742953972085,2263838720,1052016
1628765864,51750024580749,2327863296,1052060
1628765869,51757522181014,2421198848,1052128
1628765875,51763866457088,2287566848,1052180
1628765880,51771337465160,2373062656,1052228
1628765885,51778147803330,2269171712,1052308
1628765890,51785409647817,2341367808,1052364
1628765895,51792613159587,2427932672,1052452
1628765900,51799202367033,2317275136,1052512
1628765906,51806772439319,2432581632,1052572
1628765911,51813169988828,2289741824,1052668
1628765916,51820554109340,2378960896,1052732
1628765921,51827612313403,2450079744,1052836
1628765926,51834653772989,2346631168,1052908
1628765931,51842226303085,2450993152,1052980
1628765937,51848741332197,2313379840,1053092
1628765942,51856230744069,2399928320,1053168
1628765947,51863204152199,2299310080,1053288
1628765952,51870329317467,2366611456,1053364
1628765957,51877884182874,2458816512,1053444
1628765962,51884410197720,2328358912,1053564
1628765968,51892023444112,2423173120,1053644
1628765973,51898935291577,2302578688,1053760
1628765978,51905964140557,2331037696,1053840
1628765983,51913398989206,2385960960,1053920
1628765988,51920783174309,2461614080,1054040
1628765993,51927349585034,2307260416,1054120
1628765999,51934877526744,2375471104,1054196
1628766004,51942303026337,2458820608,1054276
1628766009,51948798110380,2307178496,1054396
1628766014,51956046977490,2353729536,1054476
1628766019,51963522406254,2425012224,1054552
1628766024,51970553834966,2462466048,1054672
1628766030,51977516270822,2341003264,1054752
1628766035,51985126673995,2429095936,1054832
1628766040,51991781269618,2308329472,1054952
1628766045,51999157008601,2379780096,1055028
1628766050,52006472090157,2462109696,1055148
1628766056,52013232677820,2342244352,1055228
1628766061,52020978641168,2457100288,1055308
1628766066,52027487992789,2310168576,1055424
1628766071,52035003606072,2406883328,1055504
1628766076,52041931802573,2307559424,1055624
1628766081,52049327632183,2378018816,1055704
1628766087,52056763220647,2465091584,1055820
1628766092,52063507093975,2351058944,1055900
1628766097,52071081825493,2461392896,1055980
1628766102,52077566076855,2313064448,1056100
1628766107,52084982949887,2411667456,1056176
1628766112,52091871896751,2312953856,1056296
1628766117,52099105648772,2385145856,1056376
1628766123,52106409567591,2473361408,1056496
1628766128,52112995958743,2352398336,1056572
1628766133,52120667749354,2454159360,1056652
1628766138,52127221697942,2322673664,1056772
1628766143,52134608479869,2404667392,1056852
1628766149,52141647078806,2322640896,1056968
1628766154,52148830185784,2390351872,1057048
1628766159,52156235951684,2479222784,1057168
1628766164,52162851953585,2357927936,1057248
1628766169,52170479159085,2475769856,1057328
1628766174,52177028852283,2326233088,1057444
1628766180,52184487566322,2406670336,1057524
1628766185,52191607799763,2481438720,1057644
1628766190,52198748232139,2375692288,1057724
1628766195,52206306234102,2483089408,1057840
1628766200,52212729971677,2348924928,1057920
1628766205,52220368203218,2447917056,1058000
1628766211,52226941225872,2327769088,1058120
1628766216,52234483804562,2432569344,1058196
1628766221,52241222090286,2325680128,1058316
1628766226,52248457642083,2396762112,1058396
1628766231,52255837968147,2483228672,1058516
1628766236,52262471344785,2364981248,1058592
1628766241,52270144790608,2477731840,1058672
1628766247,52276712656735,2329567232,1058792
1628766252,52284103718414,2428985344,1058872
1628766257,52290899628178,2326638592,1058988
1628766262,52298189207422,2401558528,1059068
1628766267,52305318126176,2483589120,1059188
1628766272,52312237950963,2374332416,1059268
1628766278,52320015892851,2494066688,1059348
1628766283,52326573488548,2362093568,1059464
1628766288,52334415079216,2455658496,1059544
1628766293,52341089354101,2340143104,1059664
1628766298,52348438530714,2418032640,1059744
1628766303,52355674947544,2494541824,1059860
1628766309,52362683064185,2396758016,1059940
1628766314,52370251105176,2496204800,1060064
1628766319,52376728970781,2365292544,1060144
1628766324,52384381876243,2487504896,1060220
1628766329,52390941601081,2340655104,1060340
1628766334,52398400049699,2440691712,1060420
1628766340,52405194982532,2338369536,1060540
1628766345,52412399660151,2411184128,1060616
1628766350,52419505192659,2495221760,1060736
1628766355,52426464516271,2386767872,1060816
1628766360,52433791364506,2494558208,1060896
1628766365,52440227223923,2359640064,1061012
1628766371,52447872493648,2464821248,1061092
1628766376,52454574671377,2342948864,1061212
1628766381,52461930701474,2441830400,1061292
1628766386,52468843379632,2345230336,1061408
