Date_time,CPU,Memory_Bytes,Disk_Usage
1628777218,66132748163058,2235174912,1243848
1628777223,66140351983610,2325233664,1243928
1628777228,66147966201045,2429374464,1244048
1628777233,66154459616131,2292924416,1244128
1628777238,66161974552983,2383536128,1244208
1628777243,66169086735157,2468556800,1244324
1628777249,66175924272994,2376998912,1244404
1628777254,66183428332217,2488430592,1244484
1628777259,66190282999932,2405904384,1244604
1628777264,66197494568568,2498830336,1244680
1628777269,66204954357693,2580008960,1244760
1628777274,66211782906975,2461462528,1244880
1628777280,66219310863115,2535522304,1244960
1628777285,66226767856543,2603393024,1245040
1628777290,66233688231927,2479292416,1245156
1628777295,66240868793221,2532798464,1245236
1628777300,66248323042396,2612162560,1245316
1628777306,66254955800668,2486415360,1245436
1628777311,66262285061936,2546921472,1245512
1628777316,66269922540418,2660818944,1245592
1628777321,66276481191808,2512916480,1245712
1628777326,66283930587136,2582032384,1245792
1628777331,66291336709121,2671042560,1245868
1628777337,66297931711079,2522075136,1245988
1628777342,66305488470681,2612482048,1246068
1628777347,66312733727021,2693361664,1246188
1628777352,66319466706261,2573451264,1246264
1628777357,66327106615935,2662539264,1246344
1628777362,66333757953502,2540109824,1246464
1628777368,66341160748100,2592133120,1246544
1628777373,66348642082101,2696753152,1246624
1628777378,66355305054963,2547027968,1246740
1628777383,66362705545220,2623791104,1246820
1628777388,66370047026635,2701791232,1246940
1628777393,66376626167089,2565337088,1247020
1628777399,66384150723003,2648166400,1247096
1628777404,66391170331245,2702839808,1247216
1628777409,66398126177111,2589605888,1247296
1628777414,66405762651395,2699886592,1247376
1628777419,66412315761641,2549686272,1247492
1628777424,66419641326889,2619121664,1247572
1628777430,66427114052941,2706878464,1247692
1628777435,66433465280125,2570641408,1247772
1628777440,66441006471899,2652590080,1247852
1628777445,66447917534801,2548600832,1247968
1628777450,66455171236206,2597179392,1248048
1628777455,66462684037597,2703532032,1248128
1628777461,66469311983569,2551517184,1248248
1628777466,66476860079882,2630123520,1248324
1628777471,66484177455962,2706341888,1248444
1628777476,66490903063139,2587230208,1248524
1628777481,66498414496886,2669473792,1248604
1628777486,66505207660352,2550108160,1248720
1628777492,66512488524114,2604900352,1248800
1628777497,66520005241206,2705575936,1248880
1628777502,66526377953258,2552807424,1249000
1628777507,66533754582810,2627047424,1249080
1628777512,66541112817659,2709241856,1249196
1628777517,66547863963448,2587906048,1249276
1628777523,66555570851589,2681511936,1249356
1628777528,66562321454372,2553249792,1249484
1628777533,66569678588355,2610159616,1249560
1628777538,66577168706511,2704265216,1249640
1628777543,66583714970078,2555658240,1249760
1628777548,66591076807970,2622701568,1249840
1628777554,66598550551835,2709889024,1249916
1628777559,66604866726971,2566610944,1250036
1628777564,66612325838043,2653941760,1250116
1628777569,66619337112766,2710847488,1250236
1628777574,66626307178756,2599940096,1250312
1628777579,66633783395167,2705350656,1250392
1628777585,66640244453044,2557464576,1250512
1628777590,66647893680197,2638987264,1250592
1628777595,66654884878112,2714689536,1250708
1628777600,66661818021914,2599464960,1250788
1628777605,66669388089917,2710183936,1250868
1628777611,66675913381646,2563276800,1250988
1628777616,66683334081661,2639216640,1251068
1628777621,66690533250938,2719105024,1251184
1628777626,66697369186512,2605596672,1251264
1628777631,66704891704224,2717069312,1251344
1628777636,66711494357062,2567499776,1251464
1628777641,66718899813025,2638893056,1251540
1628777647,66726259400190,2725249024,1251660
1628777652,66732819368455,2599202816,1251740
1628777657,66740229742337,2680963072,1251820
1628777662,66747092378690,2568732672,1251936
1628777667,66754313672293,2634031104,1252016
