Date_time,CPU,Memory_Bytes,Disk_Usage
1628604215,43628010559414,11920306176,1100152
1628604220,43633164462249,12042317824,1100152
1628604225,43636789852124,11922681856,1100160
1628604230,43643638330137,11974029312,1100176
1628604235,43651433425351,12203626496,1100188
1628604240,43656533276044,12144558080,1100204
1628604246,43662685916730,12293603328,1100212
1628604251,43666815115934,12148686848,1100228
1628604256,43672997474259,12148031488,1100260
1628604261,43677846566264,12240793600,1100276
1628604266,43683754629748,12275613696,1100308
1628604272,43689721688415,12465594368,1100328
1628604277,43694240218470,12354162688,1100360
1628604282,43700667902082,12358201344,1100400
1628604287,43705573050321,12434464768,1100424
1628604292,43710189024876,12358549504,1100472
1628604297,43716261997852,12513951744,1100520
1628604303,43720161483543,12397719552,1100548
1628604308,43725815797727,12362866688,1100596
1628604313,43730918321747,12464164864,1100620
1628604318,43735429963684,12367302656,1100684
1628604323,43741579118721,12520927232,1100716
1628604328,43745408560971,12398129152,1100780
1628604334,43751147586932,12372213760,1100848
1628604339,43756278592741,12467654656,1100880
1628604344,43760544085539,12375232512,1100952
1628604349,43766740084419,12530053120,1101032
1628604354,43770741077843,12415414272,1101072
1628604360,43776358376946,12380200960,1101156
1628604365,43781556970875,12481007616,1101196
1628604370,43785978465126,12383477760,1101276
1628604375,43792025286633,12538470400,1101372
1628604380,43796340169247,12432175104,1101420
1628604385,43801362324028,12387954688,1101520
1628604391,43807052886767,12516745216,1101568
1628604396,43811096735300,12396728320,1101664
1628604401,43816997105953,12402675712,1101768
1628604406,43821665842524,12476162048,1101824
1628604411,43826426952828,12407373824,1101940
1628604417,43832342814981,12554620928,1101996
1628604422,43836424132011,12409376768,1102108
1628604427,43842536587842,12561145856,1102220
1628604432,43847066026475,12462280704,1102276
1628604437,43851884580913,12408012800,1102408
1628604442,43857479827922,12558028800,1102472
1628604448,43861285318271,12425314304,1102600
1628604453,43866967941264,12408500224,1102728
1628604458,43871893307506,12490510336,1102792
1628604463,43876261544458,12408639488,1102932
1628604468,43882274410951,12562075648,1103076
1628604473,43886276639071,12450611200,1103148
1628604479,43891557149438,12408700928,1103292
1628604484,43896784446763,12514693120,1103368
1628604489,43900748618095,12412497920,1103512
1628604494,43906762477792,12409556992,1103672
1628604499,43911172329417,12468854784,1103752
1628604505,43915848455807,12408975360,1103916
1628604510,43921653445462,12558114816,1103996
1628604515,43925339699091,12412276736,1104156
1628604520,43931126141583,12409917440,1104328
1628604525,43935762392567,12487032832,1104416
1628604530,43940354664278,12410048512,1104592
1628604536,43946454559881,12563828736,1104768
1628604541,43950539997786,12450168832,1104856
1628604546,43955658389531,12410687488,1105036
1628604551,43961107348951,12559630336,1105124
1628604556,43965003126557,12414386176,1105316
1628604561,43970828884111,12411527168,1105512
1628604567,43975594829792,12489658368,1105608
1628604572,43979767127260,12412030976,1105800
1628604577,43985670272261,12566757376,1105996
1628604582,43989967838589,12458872832,1106100
1628604587,43994930296307,12412375040,1106308
1628604592,44000569658549,12562255872,1106412
1628604598,44004326965485,12426321920,1106624
1628604603,44010121154230,12413108224,1106832
1628604608,44014949391923,12492029952,1106936
1628604613,44019192171089,12413259776,1107156
1628604618,44025123986831,12567183360,1107380
1628604623,44029367992926,12463497216,1107492
1628604629,44034213127778,12413845504,1107716
1628604634,44040211303309,12413804544,1107944
1628604639,44044649065808,12472578048,1108056
1628604645,44049455097096,12414226432,1108296
1628604650,44055293569818,12564799488,1108420
1628604655,44059056805478,12438888448,1108660
1628604660,44064453550727,12414935040,1108900
1628604665,44069615653011,12526944256,1109024
1628604670,44073614863739,12418473984,1109272
1628604676,44079374456189,12415950848,1109528
1628604681,44084094597782,12493381632,1109660
1628604686,44088381744705,12416135168,1109916
1628604691,44094270126064,12569927680,1110172
1628604696,44098566127075,12474257408,1110304
1628604701,44103210077875,12416851968,1110568
1628604707,44109089833680,12568170496,1110704
1628604712,44113056750216,12450500608,1110980
1628604717,44118351104037,12417343488,1111252
