Date_time,CPU,Memory_Bytes,Disk_Usage
1629145954,14379986074,458805248,28
1629145955,15821363001,386899968,992
1629145956,17720334148,489984000,992
1629145957,19009454689,395026432,1960
1629145958,21184064446,527015936,1960
1629145960,22295546030,424132608,2924
1629145961,24999315647,582119424,2924
1629145962,28259702109,599359488,3884
1629145963,31914532391,760967168,5248
1629145964,33319754210,672927744,5248
1629145965,34939473835,757673984,6212
1629145967,36602094186,677777408,6212
1629145968,37967299884,606597120,7172
1629145969,39965491010,714575872,7172
1629145970,41125563404,622448640,8132
1629145971,43390328462,754950144,8132
1629145972,44504716032,643604480,9096
1629145974,46806893109,767504384,10056
1629145975,48000468442,666075136,10056
1629145976,49719737254,773881856,11016
1629145977,51237963816,688562176,11016
1629145978,52707395163,620281856,11980
1629145979,54583503155,722862080,11980
1629145981,55888954371,627363840,12940
1629145982,58068506910,775041024,12940
1629145983,59180183366,659456000,13900
1629145984,61511928422,791117824,14864
1629145985,62702356174,686260224,14864
1629145986,64415878591,793309184,15824
1629145988,65986777691,711102464,15824
1629145989,67375871825,644857856,16784
1629145990,69372757021,750551040,16784
1629145991,70631672695,658563072,17748
1629145992,72951797773,798715904,17748
1629145993,74080402684,687792128,18708
1629145995,76361798349,811974656,19668
1629145996,77682242586,718516224,19668
1629145997,79377325128,816132096,20632
1629145998,81044911967,737845248,20632
1629145999,82399534026,664473600,21592
1629146001,84422950005,773554176,21592
1629146002,85627277056,681254912,22552
1629146003,87844292073,818581504,22552
1629146004,88867292881,707350528,23516
1629146005,91167816324,832913408,24476
1629146006,92379918654,729591808,24476
1629146008,94114874770,835366912,25440
1629146009,95705531734,757133312,25440
1629146010,97135179649,686088192,26400
1629146011,99248566882,801505280,26400
1629146012,1.00354E+11,708874240,27360
1629146013,1.02602E+11,842096640,27360
1629146015,1.03737E+11,734154752,28324
1629146016,1.05712E+11,852803584,29284
1629146017,1.0714E+11,764510208,29284
1629146018,1.08707E+11,699711488,30244
1629146019,1.10415E+11,780902400,30244
1629146020,1.11706E+11,705929216,31208
1629146022,1.13737E+11,815763456,31208
1629146023,1.14868E+11,723709952,32168
1629146024,1.17074E+11,860528640,32168
1629146025,1.18135E+11,750424064,33128
1629146026,1.20251E+11,874991616,34092
1629146027,1.21521E+11,775970816,34092
1629146029,1.23259E+11,879513600,35052
1629146030,1.24779E+11,795013120,35052
1629146031,1.2618E+11,726900736,36012
1629146032,1.28197E+11,832647168,36012
1629146033,1.29352E+11,740429824,36976
1629146035,1.31589E+11,880119808,36976
1629146036,1.32682E+11,766300160,37936
1629146037,1.34951E+11,891682816,38896
1629146038,1.36158E+11,793325568,38896
1629146039,1.3783E+11,894009344,39860
1629146040,1.39414E+11,813907968,39860
1629146042,1.40797E+11,741220352,40820
1629146043,1.42936E+11,851378176,40820
1629146044,1.4408E+11,758296576,41780
1629146045,1.46349E+11,896184320,41780
1629146046,1.47479E+11,786436096,42744
1629146047,1.49581E+11,907014144,43704
1629146049,1.50893E+11,815169536,43704
1629146050,1.52525E+11,751599616,44664
1629146051,1.54253E+11,833486848,44664
1629146052,1.5559E+11,756207616,45628
1629146053,1.57763E+11,906039296,45628
1629146055,1.58944E+11,790265856,46588
1629146056,1.61244E+11,917897216,47548
1629146057,1.62472E+11,816627712,47548
1629146058,1.64106E+11,921718784,48512
1629146059,1.65708E+11,840548352,48512
1629146060,1.67151E+11,769081344,49472
1629146062,1.69202E+11,880545792,49472
1629146063,1.70355E+11,789463040,50436
1629146064,1.72523E+11,924192768,50436
1629146065,1.73674E+11,815964160,51396
1629146066,1.75701E+11,934785024,52356
1629146067,1.77087E+11,846032896,52356
1629146069,1.78586E+11,779616256,53320
1629146070,1.80229E+11,859852800,53320
1629146071,1.81549E+11,784863232,54280
1629146072,1.83619E+11,897396736,54280
1629146073,1.84752E+11,803524608,55240
1629146074,1.8699E+11,939089920,55240
