Date_time,CPU,Memory_Bytes,Disk_Usage
1629145954,14379986074,458805248,28
1629145955,15821363001,386899968,992
1629145956,17720334148,489984000,992
1629145957,19009454689,395026432,1960
1629145958,21184064446,527015936,1960
1629145960,22295546030,424132608,2924
1629145961,24999315647,582119424,2924
1629145962,28259702109,599359488,3884
1629145963,31914532391,760967168,5248
1629145964,33319754210,672927744,5248
1629145965,34939473835,757673984,6212
1629145967,36602094186,677777408,6212
1629145968,37967299884,606597120,7172
1629145969,39965491010,714575872,7172
1629145970,41125563404,622448640,8132
1629145971,43390328462,754950144,8132
1629145972,44504716032,643604480,9096
1629145974,46806893109,767504384,10056
1629145975,48000468442,666075136,10056
1629145976,49719737254,773881856,11016
1629145977,51237963816,688562176,11016
1629145978,52707395163,620281856,11980
1629145979,54583503155,722862080,11980
1629145981,55888954371,627363840,12940
1629145982,58068506910,775041024,12940
1629145983,59180183366,659456000,13900
1629145984,61511928422,791117824,14864
1629145985,62702356174,686260224,14864
1629145986,64415878591,793309184,15824
1629145988,65986777691,711102464,15824
1629145989,67375871825,644857856,16784
1629145990,69372757021,750551040,16784
1629145991,70631672695,658563072,17748
1629145992,72951797773,798715904,17748
1629145993,74080402684,687792128,18708
1629145995,76361798349,811974656,19668
1629145996,77682242586,718516224,19668
1629145997,79377325128,816132096,20632
1629145998,81044911967,737845248,20632
1629145999,82399534026,664473600,21592
1629146001,84422950005,773554176,21592
1629146002,85627277056,681254912,22552
1629146003,87844292073,818581504,22552
1629146004,88867292881,707350528,23516
1629146005,91167816324,832913408,24476
1629146006,92379918654,729591808,24476
1629146008,94114874770,835366912,25440
1629146009,95705531734,757133312,25440
1629146010,97135179649,686088192,26400
1629146011,99248566882,801505280,26400
1629146012,100354082453,708874240,27360
1629146013,102601904464,842096640,27360
1629146015,103737098882,734154752,28324
1629146016,105711575358,852803584,29284
1629146017,107139597932,764510208,29284
1629146018,108707470689,699711488,30244
1629146019,110414671272,780902400,30244
1629146020,111705824199,705929216,31208
1629146022,113737427010,815763456,31208
1629146023,114868150571,723709952,32168
1629146024,117073608215,860528640,32168
1629146025,118134632423,750424064,33128
1629146026,120251388273,874991616,34092
1629146027,121521481697,775970816,34092
1629146029,123259359624,879513600,35052
1629146030,124779305963,795013120,35052
1629146031,126180394559,726900736,36012
1629146032,128197015174,832647168,36012
1629146033,129351672684,740429824,36976
1629146035,131588550800,880119808,36976
1629146036,132682382945,766300160,37936
1629146037,134951118001,891682816,38896
1629146038,136158118710,793325568,38896
1629146039,137829556310,894009344,39860
1629146040,139413596671,813907968,39860
1629146042,140796690840,741220352,40820
1629146043,142936238833,851378176,40820
1629146044,144080013208,758296576,41780
1629146045,146348913562,896184320,41780
1629146046,147479382330,786436096,42744
1629146047,149581372017,907014144,43704
1629146049,150892918152,815169536,43704
1629146050,152525255700,751599616,44664
1629146051,154253329251,833486848,44664
1629146052,155589556656,756207616,45628
1629146053,157763128702,906039296,45628
1629146055,158943849733,790265856,46588
1629146056,161243887241,917897216,47548
1629146057,162471998716,816627712,47548
1629146058,164106472371,921718784,48512
1629146059,165708464722,840548352,48512
1629146060,167151481156,769081344,49472
1629146062,169202423551,880545792,49472
1629146063,170355018872,789463040,50436
1629146064,172522934331,924192768,50436
1629146065,173674160156,815964160,51396
1629146066,175701390127,934785024,52356
1629146067,177086580804,846032896,52356
1629146069,178586132858,779616256,53320
1629146070,180228912647,859852800,53320
1629146071,181549318305,784863232,54280
1629146072,183619119211,897396736,54280
1629146073,184751676159,803524608,55240
1629146074,186990056159,939089920,55240
1629146076,188095059076,828948480,56204
1629146077,190157747633,947781632,57164
1629146078,191563212380,859222016,57164
1629146079,193193292342,952922112,58124
1629146080,194871677172,875683840,58124
1629146082,196513474106,821256192,59088
1629146083,198510960051,930152448,59088
1629146084,199721225709,835035136,60048
1629146085,201973104573,976580608,60048
1629146086,203016115448,860708864,61008
