Date_time,CPU,Memory_Bytes,Disk_Usage,,Date_and_time
1629676752,3.87308E+11,415870976,199848,,0
1629676753,3.87364E+11,415977472,199852,,1
1629676754,3.87412E+11,415920128,199864,,2
1629676755,3.87459E+11,415875072,199868,,3
1629676757,3.87506E+11,415977472,199876,,5
1629676758,3.87569E+11,415940608,199880,,6
1629676759,3.87615E+11,416075776,199884,,7
1629676760,3.87662E+11,416190464,199892,,8
1629676761,3.87711E+11,416153600,199912,,9
1629676763,3.87757E+11,416010240,199920,,11
1629676764,3.8782E+11,416071680,199924,,12
1629676765,3.87868E+11,416153600,199932,,13
1629676766,3.87915E+11,416104448,199936,,14
1629676767,3.87971E+11,416223232,199944,,15
1629676769,3.88043E+11,416329728,199964,,17
1629676770,3.88096E+11,416346112,199972,,18
1629676771,3.88147E+11,416382976,199976,,19
1629676772,3.88204E+11,416452608,199984,,20
1629676773,3.88269E+11,416317440,199988,,21
1629676775,3.88318E+11,416395264,199992,,23
1629676776,3.88369E+11,416239616,200000,,24
1629676777,3.88416E+11,416276480,200004,,25
1629676778,3.88482E+11,416477184,200012,,26
1629676779,3.8853E+11,416579584,200016,,27
1629676780,3.88579E+11,416354304,200020,,28
1629676782,3.88634E+11,416444416,200028,,30
1629676783,3.887E+11,416210944,200048,,31
1629676784,3.88758E+11,416415744,200056,,32
1629676785,3.8881E+11,416665600,200060,,33
1629676786,3.88863E+11,416591872,200068,,34
1629676788,3.88916E+11,416559104,200072,,36
1629676789,3.88979E+11,416645120,200080,,37
1629676790,3.89029E+11,416460800,200084,,38
1629676791,3.89077E+11,416555008,200092,,39
1629676792,3.89127E+11,416423936,200096,,40
1629676794,3.89191E+11,416440320,200100,,42
1629676795,3.89242E+11,416239616,200108,,43
1629676796,3.89292E+11,416632832,200128,,44
1629676797,3.89342E+11,416489472,200136,,45
1629676798,3.89405E+11,416391168,200140,,46
1629676800,3.89459E+11,416575488,200148,,48
1629676801,3.89518E+11,416546816,200152,,49
1629676802,3.89573E+11,416428032,200160,,50
1629676803,3.89639E+11,416423936,200164,,51
1629676804,3.89687E+11,416579584,200168,,52
1629676806,3.89738E+11,416808960,200176,,54
1629676807,3.89787E+11,416489472,200180,,55
1629676808,3.89849E+11,416591872,200188,,56
1629676809,3.89896E+11,416505856,200192,,57
1629676810,3.89949E+11,416673792,200216,,58
1629676811,3.90002E+11,416526336,200224,,59
1629676813,3.90068E+11,416665600,200228,,61
1629676814,3.90117E+11,416514048,200236,,62
1629676815,3.90166E+11,416559104,200240,,63
1629676816,3.90214E+11,416550912,200248,,64
