Time,Disk_Usage,,Ref_Time
1632076998,419,,0
1632077000,627,,2
1632077001,628,,3
1632077003,838,,5
1632077005,1047,,7
1632077006,1255,,8
1632077008,1254,,10
1632077009,1462,,11
1632077011,1460,,13
1632077013,1877,,15
1632077014,2086,,16
1632077016,2086,,18
1632077018,2298,,20
1632077019,2298,,21
1632077021,2509,,23
1632077023,2717,,25
1632077024,2925,,26
1632077026,2922,,28
1632077027,3124,,29
1632077029,3123,,31
1632077031,3541,,33
1632077032,3751,,34
1632077034,3748,,36
1632077036,3958,,38
1632077037,3958,,39
1632077039,4379,,41
1632077040,4377,,42
1632077042,4586,,44
1632077044,4586,,46
1632077045,4795,,47
1632077047,4797,,49
1632077049,5215,,51
1632077050,5213,,52
1632077052,5420,,54
1632077053,5633,,55
1632077055,5636,,57
1632077057,6056,,59
1632077058,6059,,60
1632077060,6272,,62
1632077062,6272,,64
1632077063,6481,,65
1632077065,6688,,67
1632077066,6897,,68
1632077068,6897,,70
1632077070,7105,,72
1632077071,7102,,73
1632077073,7302,,75
1632077075,7509,,77
1632077076,7717,,78
1632077078,7924,,80
1632077079,7923,,81
1632077081,8133,,83
1632077083,8341,,85
1632077084,8552,,86
1632077086,8551,,88
1632077088,8759,,90
1632077089,8758,,91
1632077091,9176,,93
1632077093,9177,,95
1632077094,9385,,96
1632077096,9383,,98
1632077097,9590,,99
1632077099,9799,,101
1632077101,10008,,103
1632077102,10218,,104
1632077104,10220,,106
1632077106,10426,,108
1632077107,10425,,109
1632077109,10842,,111
1632077110,10839,,112
1632077112,11040,,114
1632077114,11039,,116
1632077115,11249,,117
1632077117,11458,,119
1632077119,11667,,121
1632077120,11875,,122
1632077122,11875,,124
1632077123,12085,,125
1632077125,12082,,127
1632077127,12498,,129
1632077128,12497,,130
1632077130,12705,,132
1632077132,12704,,134
1632077133,12911,,135
1632077135,13120,,137
1632077136,13330,,138
1632077138,13331,,140
1632077140,13545,,142
1632077141,13757,,143
1632077143,13966,,145
1632077145,14179,,147
1632077146,14179,,148
1632077148,14386,,150
1632077149,14385,,151
1632077151,14592,,153
1632077153,14801,,155
1632077154,15011,,156
1632077156,15010,,158
1632077158,15217,,160
1632077159,15219,,161
1632077161,15637,,163
1632077162,15847,,164
1632077164,15847,,166
1632077166,16055,,168
1632077167,16056,,169
1632077169,16262,,171
1632077171,16471,,173
1632077172,16681,,174
1632077174,16681,,176
1632077176,16891,,178
1632077177,16890,,179
1632077179,17309,,181
1632077180,17519,,182
1632077182,17519,,184
1632077184,17728,,186
1632077185,17731,,187
1632077187,18150,,189
1632077189,18151,,191
1632077190,18362,,192
1632077192,18363,,194
1632077194,18575,,196
1632077195,18577,,197
1632077197,18997,,199
1632077198,19210,,200
1632077200,19210,,202
1632077202,19421,,204
1632077203,19423,,205
1632077205,19841,,207
1632077206,19844,,208
1632077208,20055,,210
1632077210,20050,,212
1632077211,20253,,213
1632077213,20460,,215
1632077215,20669,,217
1632077216,20672,,218
1632077218,20886,,220
1632077219,20887,,221
1632077221,21098,,223
1632077223,21308,,225
1632077224,21516,,226
1632077226,21725,,228
1632077228,21723,,230
1632077229,21932,,231
1632077231,22142,,233
1632077233,22352,,235
1632077234,22351,,236
1632077236,22562,,238
1632077237,22565,,239
1632077239,22986,,241
1632077241,22986,,243
1632077242,23198,,244
1632077244,23406,,246
1632077245,23407,,247
1632077247,23619,,249
1632077249,23830,,251
1632077250,24037,,252
1632077252,24035,,254
1632077254,24245,,256
1632077255,24248,,257
1632077257,24670,,259
1632077259,24672,,261
1632077260,24883,,262
1632077262,24882,,264
1632077263,25090,,265
1632077265,25300,,267
1632077267,25510,,269
1632077268,25717,,270
1632077270,25715,,272
1632077272,25924,,274
1632077273,25925,,275
1632077275,26345,,277
1632077276,26344,,278
1632077278,26551,,280
1632077280,26552,,282
1632077281,26765,,283
1632077283,26975,,285
1632077285,27185,,287
1632077286,27397,,288
1632077288,27399,,290
1632077290,27610,,292
1632077291,27612,,293
1632077293,28031,,295
1632077294,28032,,296
1632077296,28245,,298
1632077298,28245,,300
1632077299,28456,,301
1632077301,28665,,303
1632077303,28872,,305
1632077304,29084,,306
1632077306,29083,,308
1632077307,29293,,309
1632077309,29503,,311
1632077311,29710,,313
1632077312,29710,,314
1632077314,29921,,316
1632077316,29919,,318
1632077317,30127,,319
1632077319,30336,,321
1632077320,30546,,322
1632077322,30544,,324
1632077324,30753,,326
1632077325,30960,,327
1632077327,31169,,329
1632077329,31375,,331
1632077330,31375,,332
1632077332,31586,,334
1632077334,31585,,336
1632077335,32004,,337
1632077337,32006,,339
1632077338,32217,,340
1632077340,32218,,342
1632077342,32429,,344
1632077343,32429,,345
1632077345,32847,,347
1632077347,33054,,349
1632077348,33054,,350
1632077350,33262,,352
1632077351,33261,,353
1632077353,33676,,355
1632077355,33674,,357
1632077356,33885,,358
1632077358,33885,,360
1632077360,34096,,362
1632077361,34306,,363
1632077363,34517,,365
1632077364,34517,,366
1632077366,34724,,368
1632077368,34928,,370
1632077369,34928,,371
1632077371,35343,,373
1632077373,35342,,375
1632077374,35548,,376
1632077376,35545,,378
1632077377,35751,,379
1632077379,35960,,381
1632077381,36171,,383
1632077382,36170,,384
1632077384,36379,,386
1632077386,36587,,388
1632077387,36586,,389
1632077389,37007,,391
1632077391,37007,,393
1632077392,37217,,394
1632077394,37215,,396
1632077395,37424,,397
1632077397,37635,,399
1632077399,37846,,401
1632077400,37842,,402
1632077402,38054,,404
1632077404,38056,,406
1632077405,38472,,407
1632077407,38475,,409
1632077408,38685,,410
1632077410,38896,,412
1632077412,38894,,414
1632077413,39102,,415
1632077415,39312,,417
1632077417,39519,,419
1632077418,39517,,420
1632077420,39727,,422
1632077421,39727,,423
1632077423,40145,,425
1632077425,40353,,427
1632077426,40352,,428
1632077428,40559,,430
1632077430,40560,,432
1632077431,40768,,433
1632077433,40977,,435
1632077435,41187,,437
1632077436,41190,,438
1632077438,41402,,440
1632077439,41402,,441
1632077441,41823,,443
1632077443,41824,,445
1632077444,42034,,446
1632077446,42035,,448
1632077448,42244,,450
1632077449,42663,,451
1632077451,42658,,453
1632077452,42867,,454
1632077454,42864,,456
1632077456,43071,,458
1632077457,43280,,459
1632077459,43486,,461
1632077461,43485,,463
1632077462,43694,,464
1632077464,43695,,466
1632077465,43905,,467
1632077467,44322,,469
1632077469,44323,,471
1632077470,44532,,472
1632077472,44532,,474
1632077474,44740,,476
1632077475,44949,,477
1632077477,45156,,479
1632077479,45156,,481
1632077480,45370,,482
1632077482,45373,,484
1632077483,45585,,485
1632077485,45795,,487
1632077487,46005,,489
1632077488,46211,,490
1632077490,46211,,492
1632077492,46421,,494
1632077493,46631,,495
1632077495,46840,,497
1632077496,46840,,498
1632077498,47046,,500
1632077500,47046,,502
1632077501,47464,,503
1632077503,47465,,505
1632077505,47671,,507
1632077506,47670,,508
1632077508,47880,,510
1632077509,48297,,511
1632077511,48295,,513
1632077513,48503,,515
1632077514,48503,,516
1632077516,48713,,518
1632077518,48712,,520
1632077519,49130,,521
1632077521,49133,,523
1632077522,49343,,524
1632077524,49344,,526
1632077526,49552,,528
1632077527,49762,,529
1632077529,49972,,531
1632077531,50183,,533
1632077532,50183,,534
1632077534,50391,,536
1632077535,50600,,537
1632077537,50808,,539
1632077539,50808,,541
1632077540,51019,,542
1632077542,51019,,544
1632077544,51227,,546
1632077545,51437,,547
1632077547,51645,,549
1632077549,51852,,551
1632077550,51851,,552
1632077552,52055,,554
1632077553,52262,,555
1632077555,52469,,557
1632077557,52470,,559
1632077558,52678,,560
1632077560,52677,,562
1632077562,52883,,564
1632077563,53091,,565
1632077565,53295,,567
1632077566,53293,,568
1632077568,53499,,570
1632077570,53499,,572
1632077571,53917,,573
1632077573,54125,,575
1632077575,54125,,577
1632077576,54332,,578
1632077578,54332,,580
1632077579,54750,,581
1632077581,54749,,583
1632077583,54959,,585
1632077584,54959,,586
1632077586,55168,,588
1632077588,55167,,590
1632077589,55585,,591
1632077591,55585,,593
1632077592,55795,,594
1632077594,56007,,596
1632077596,56007,,598
1632077597,56428,,599
1632077599,56427,,601
1632077601,56635,,603
1632077602,56636,,604
1632077604,56841,,606
1632077605,57050,,607
1632077607,57261,,609
1632077609,57261,,611
1632077610,57470,,612
1632077612,57468,,614
1632077614,57676,,616
1632077615,58092,,617
1632077617,58095,,619
1632077618,58301,,620
1632077620,58304,,622
1632077622,58513,,624
1632077623,58721,,625
1632077625,58930,,627
1632077627,58928,,629
1632077628,59135,,630
1632077630,59132,,632
1632077632,59339,,634
1632077633,59755,,635
1632077635,59754,,637
1632077636,59966,,638
1632077638,59965,,640
1632077640,60177,,642
1632077641,60387,,643
1632077643,60596,,645
1632077645,60598,,647
1632077646,60806,,648
1632077648,60806,,650
1632077649,61226,,651
1632077651,61224,,653
1632077653,61425,,655
1632077654,61633,,656
1632077656,61632,,658
1632077658,61845,,660
1632077659,62055,,661
1632077661,62265,,663
1632077663,62266,,665
1632077664,62475,,666
1632077666,62474,,668
1632077667,62890,,669
1632077669,62890,,671
1632077671,63099,,673
1632077672,63307,,674
1632077674,63308,,676
