Date_time,CPU,Memory_Bytes,Disk_Usage
1630124416,894893946,7647232,4
1630124417,909803451,7798784,4
1630124418,930751340,7782400,8
1630124419,980996805,7704576,12
1630124421,1001063851,7897088,16
1630124422,1022809013,7995392,20
1630124423,1043976567,8015872,24
1630124424,1078591851,7843840,32
1630124425,1112825561,8200192,36
1630124426,1135309539,8052736,40
1630124428,1155770519,8085504,44
1630124429,1190265090,8142848,48
1630124430,1224853444,8171520,52
1630124431,1246246462,8228864,56
1630124432,1266958621,8400896,60
1630124433,1302719569,8564736,64
1630124435,1338381138,8355840,68
1630124436,1360907006,8474624,72
1630124437,1380654005,8359936,76
1630124438,1403041632,8785920,80
1630124439,1437107026,8642560,84
1630124440,1473174457,8683520,88
1630124442,1496028636,8957952,92
1630124443,1517196435,9084928,96
1630124444,1551607618,8749056,100
1630124445,1587223814,8622080,104
1630124446,1607373350,8589312,112
1630124447,1628323369,8675328,116
1630124449,1663635468,8609792,120
1630124450,1698201518,8675328,124
1630124451,1719552969,8658944,128
1630124452,1741773730,8470528,132
1630124453,1763989957,8728576,136
1630124454,1813541535,8863744,144
1630124456,1834106471,8814592,148
1630124457,1854906604,8855552,152
1630124458,1876374871,8634368,156
1630124459,1911152434,8613888,160
1630124460,1946692562,8806400,164
1630124461,1968909532,8871936,168
1630124463,1990993600,8982528,172
1630124464,2027858712,8876032,176
1630124465,2064091436,8998912,180
1630124466,2086117658,8699904,184
1630124467,2109063526,8876032,188
1630124468,2144690476,8982528,196
1630124470,2180537331,9060352,200
1630124471,2201548435,9060352,204
1630124472,2222466568,8622080,208
1630124473,2243738915,8888320,212
1630124474,2293502237,8830976,216
1630124475,2314256522,8769536,220
1630124477,2345201948,9310208,224
1630124478,2365617311,9355264,228
1630124479,2401589471,9453568,232
1630124480,2436315674,9646080,236
1630124481,2457720645,9555968,240
1630124482,2479940456,9474048,244
1630124484,2516055753,9633792,248
1630124485,2551279313,9596928,252
1630124486,2572967166,9461760,256
1630124487,2595122519,9699328,260
1630124488,2617275648,9826304,264
1630124489,2667187197,9879552,268
1630124491,2689400089,9834496,276
1630124492,2712509209,9826304,280
1630124493,2749636890,10686464,284
1630124494,2784685200,10874880,288
1630124495,2820230707,10969088,292
1630124496,2841650342,10747904,296
1630124498,2864170856,10874880,300
1630124499,2902167409,10055680,304
1630124500,2938981746,10035200,308
1630124501,2960110042,9940992,312
1630124502,2981625883,10137600,316
1630124503,3016462891,10346496,320
1630124505,3052333044,10055680,324
1630124506,3074392220,10194944,328
1630124507,3095425994,9908224,332
1630124508,3117405355,9564160,336
1630124509,3169974086,9633792,340
1630124510,3192627810,9850880,348
1630124512,3215448076,9797632,352
1630124513,3239075131,9961472,356
1630124514,3276869886,9859072,360
1630124515,3313378036,9850880,364
1630124516,3335469480,10174464,368
1630124517,3357545572,9940992,372
1630124519,3395493781,10059776,376
1630124520,3431288246,9842688,380
1630124521,3453511381,10149888,384
1630124522,3475053424,10006528,388
1630124523,3497386163,9879552,392
1630124524,3547188352,9871360,396
1630124526,3569400785,10096640,400
1630124527,3591894922,10162176,404
1630124528,3613458909,9945088,408
1630124529,3649165584,10244096,416
1630124530,3684492086,10153984,420
1630124531,3707776627,10514432,424
1630124533,3729800941,10346496,428
1630124534,3765311554,10190848,432
1630124535,3801509678,10452992,436
1630124536,3824358985,10448896,440
1630124537,3844708606,10334208,444
1630124538,3880156246,10305536,448
1630124540,3915639797,10162176,452
1630124541,3935491591,10117120,456
1630124542,3956879423,10063872,460
1630124543,3978753118,10330112,464
1630124544,4027041737,10342400,468
1630124545,4048054252,10092544,472
1630124547,4070272590,10469376,476
1630124548,4091356676,10207232,484
1630124549,4126591269,10354688,488
1630124550,4161118745,10555392,492
1630124551,4182577633,10555392,496
1630124552,4204917952,10391552,500
1630124554,4240582393,10268672,504
1630124555,4275750574,10162176,508
1630124556,4296692399,10366976,512
1630124557,4317839687,10268672,516
1630124558,4339518048,10366976,520
1630124559,4388140162,10547200,524
1630124561,4408987374,10514432,528
1630124562,4430779592,10436608,532
1630124563,4452041020,10297344,536
1630124564,4487593847,10412032,540
1630124565,4522982245,10608640,544
1630124566,4544907600,10481664,552
1630124568,4567115491,10481664,556
1630124569,4602260327,10674176,560
1630124570,4637105602,10436608,564
1630124571,4658392716,10858496,568
1630124572,4679678640,10752000,572
1630124573,4716695892,10592256,576
1630124575,4750797144,10752000,580
1630124576,4771731646,10772480,584
1630124577,4793477220,10653696,588
1630124578,4815137839,10731520,592
1630124579,4850671261,10792960,596
1630124580,4885991648,11063296,600
1630124582,4906578081,11128832,604
1630124583,4928919095,11067392,608
1630124584,4963649477,11001856,612
1630124585,4998935279,10940416,616
1630124586,5020793979,11051008,620
1630124587,5041093260,11046912,624
1630124589,5076544654,11005952,632
1630124590,5111037972,11198464,636
1630124591,5132495547,11194368,640
1630124592,5153204758,11112448,644
1630124593,5175269489,11218944,648
1630124594,5224628946,11141120,652
1630124596,5246423814,11202560,656
1630124597,5267936183,10964992,660
1630124598,5289027912,10801152,664
1630124599,5325279158,11030528,668
1630124600,5360583128,10784768,672
1630124601,5382787226,10977280,676
1630124602,5404214542,11042816,680
1630124604,5440477366,11055104,684
1630124605,5475697583,11026432,688
1630124606,5497206106,11034624,692
1630124607,5519454332,11173888,696
1630124608,5540440468,11087872,700
1630124609,5590226632,11329536,704
1630124611,5612545068,11165696,712
1630124612,5634282178,11001856,716
1630124613,5655870239,11059200,720
1630124614,5691525364,11046912,724
1630124615,5726014328,11087872,728
1630124616,5747396016,10989568,732
1630124618,5769770035,11313152,736
1630124619,5803803266,11382784,740
1630124620,5839425427,11284480,744
1630124621,5861213583,11431936,748
1630124622,5882570991,11304960,752
1630124623,5919046700,11321344,756
1630124625,5954492498,11034624,760
1630124626,5976421428,11120640,768
1630124627,5996974990,11112448,772
1630124628,6018456644,11030528,776
1630124629,6068181145,11358208,780
1630124630,6090542685,11104256,784
1630124632,6113019837,11137024,788
1630124633,6135662968,11403264,792
1630124634,6171592423,11415552,796
1630124635,6206785827,11264000,800
1630124636,6228736809,11354112,804
1630124637,6250751122,11440128,808
1630124639,6286505094,11583488,812
1630124640,6322314018,11583488,816
1630124641,6343391282,11407360,820
1630124642,6364629527,11505664,824
1630124643,6386352812,11583488,828
1630124645,6433485526,11735040,832
1630124646,6455094508,11780096,836
1630124647,6475962809,11640832,840
1630124648,6496674955,11776000,844
1630124649,6544373196,11571200,848
1630124650,6564708070,11522048,852
1630124652,6585942190,11530240,856
1630124653,6606216273,11694080,860
1630124654,6640603377,11702272,868
