Date_time,CPU,Memory_Bytes,Disk_Usage,,Redis_Date_Time,,Disk_Usage_MB
1629986341,30006856021,8933376,4,,0,,0.004
1629986342,30031071828,9121792,8,,1,,0.008
1629986343,30068151800,9183232,16,,2,,0.016
1629986344,30119951756,9293824,28,,3,,0.028
1629986345,30175392384,9228288,36,,4,,0.036
1629986346,30213015682,9363456,48,,5,,0.048
1629986348,30253622325,9195520,56,,7,,0.056
1629986349,30309595756,9445376,68,,8,,0.068
1629986350,30364514127,9461760,80,,9,,0.08
1629986351,30403870471,9707520,88,,10,,0.088
1629986352,30441914099,9539584,100,,11,,0.1
1629986353,30495759309,9773056,112,,12,,0.112
1629986355,30553517920,9838592,120,,14,,0.12
1629986356,30595480066,9682944,132,,15,,0.132
1629986357,30639159939,9814016,144,,16,,0.144
1629986358,30694709898,9666560,152,,17,,0.152
1629986359,30733754391,9596928,164,,18,,0.164
1629986360,30790924674,9592832,176,,19,,0.176
1629986362,30834433048,9768960,188,,21,,0.188
1629986363,30879577539,9785344,196,,22,,0.196
1629986364,30938771053,9957376,208,,23,,0.208
1629986365,30994343659,10043392,220,,24,,0.22
1629986366,31033892052,9822208,228,,25,,0.228
1629986367,31074872263,10031104,240,,26,,0.24
1629986369,31130418256,10002432,252,,28,,0.252
1629986370,31188176077,10059776,264,,29,,0.264
1629986371,31229962304,10182656,272,,30,,0.272
1629986372,31268382070,10309632,284,,31,,0.284
1629986373,31324195532,10182656,296,,32,,0.296
1629986374,31377897338,10301440,304,,33,,0.304
1629986376,31418434806,10092544,316,,35,,0.316
1629986377,31458862819,10092544,328,,36,,0.328
1629986378,31498403146,10240000,336,,37,,0.336
1629986379,31553080158,10170368,348,,38,,0.348
1629986380,31605504199,10358784,360,,39,,0.36
1629986381,31650539210,10272768,368,,40,,0.368
1629986383,31690021207,10268672,380,,42,,0.38
1629986384,31742121452,10391552,392,,43,,0.392
1629986385,31798164262,10506240,404,,44,,0.404
1629986386,31837991651,10780672,412,,45,,0.412
1629986387,31875407747,10555392,424,,46,,0.424
1629986388,31930617926,10825728,436,,47,,0.436
1629986390,31983855338,10952704,448,,49,,0.448
1629986391,32021068018,10993664,460,,50,,0.46
1629986392,32060780847,11104256,468,,51,,0.468
