Date_time,CPU,Memory_Bytes,Disk_Usage,,Date_and_time
1629387119,82993292360,8824930304,1184,,0
1629387121,83205604179,8817938432,1188,,2
1629387122,84867843238,8891224064,1192,,3
1629387123,85538429457,8818343936,1196,,4
1629387124,85724529294,8818466816,1200,,5
1629387125,85910102272,8818794496,1204,,6
1629387126,86156890639,8818814976,1208,,7
1629387128,86354082575,8819200000,1212,,9
1629387129,86542372943,8819425280,1216,,10
1629387130,86748277374,8819671040,1220,,11
1629387131,87434907099,8845811712,1224,,12
1629387132,89067997366,8820101120,1228,,13
1629387134,89232149869,8819949568,1232,,15
1629387135,89529144111,8820207616,1240,,16
1629387136,89707139613,8820764672,1244,,17
1629387137,89867126633,8820846592,1248,,18
1629387138,90182156343,8824057856,1252,,19
1629387140,92461799319,8908410880,1256,,21
1629387141,92683754485,8821809152,1260,,22
1629387142,94650348124,8905928704,1264,,23
1629387143,95081445209,8821964800,1268,,24
1629387144,95261770042,8822329344,1272,,25
1629387146,95451318176,8822296576,1276,,27
1629387147,95633574815,8822022144,1280,,28
1629387148,95799263812,8822075392,1284,,29
1629387149,95956647571,8822018048,1288,,30
1629387150,96137477205,8822288384,1292,,31
1629387151,97136605563,8863948800,1296,,32
1629387153,98366207655,8822497280,1300,,34
1629387154,98499418072,8822202368,1304,,35
1629387155,98645393935,8822214656,1308,,36
1629387156,98776077538,8822411264,1312,,37
1629387157,98935026699,8822067200,1316,,38
1629387159,99083041064,8822546432,1320,,40
1629387160,99218233289,8822513664,1324,,41
1629387161,99452072571,8824283136,1328,,42
1629387162,1.01E+11,8822759424,1332,,43
1629387163,1.02E+11,8822738944,1336,,44
1629387165,1.02E+11,8822902784,1340,,46
1629387166,1.02E+11,8823066624,1344,,47
1629387167,1.02E+11,8822915072,1348,,48
1629387168,1.02E+11,8822874112,1352,,49
1629387169,1.04E+11,8905994240,1356,,50
1629387170,1.04E+11,8823095296,1360,,51
1629387172,1.06E+11,8892076032,1368,,53
1629387173,1.07E+11,8823136256,1368,,54
1629387174,1.07E+11,8823398400,1372,,55
1629387175,1.07E+11,8823500800,1376,,56
1629387176,1.07E+11,8822661120,1380,,57
1629387178,1.08E+11,8822558720,1384,,59
1629387179,1.08E+11,8822685696,1392,,60
1629387180,1.08E+11,8822603776,1396,,61
1629387181,1.08E+11,8840450048,1400,,62
1629387182,1.10E+11,8822681600,1404,,63
1629387184,1.10E+11,8822530048,1408,,65
1629387185,1.11E+11,8822784000,1412,,66
1629387186,1.11E+11,8822636544,1416,,67
1629387187,1.11E+11,8822562816,1420,,68
1629387188,1.11E+11,8822624256,1424,,69
1629387189,1.11E+11,8822411264,1428,,70
1629387191,1.11E+11,8822611968,1432,,72
1629387192,1.13E+11,8899670016,1436,,73
1629387193,1.13E+11,8822554624,1440,,74
1629387194,1.14E+11,8822947840,1640,,75
1629387195,1.14E+11,8822984704,1644,,76
1629387196,1.14E+11,8823173120,1648,,77
1629387198,1.14E+11,8823042048,1652,,79
1629387199,1.15E+11,8871915520,1656,,80
1629387200,1.16E+11,8822996992,1660,,81
1629387201,1.17E+11,8850792448,1664,,82
1629387202,1.19E+11,8822767616,1668,,83
1629387204,1.19E+11,8822710272,1672,,85
1629387205,1.19E+11,8822763520,1676,,86
1629387206,1.19E+11,8822718464,1680,,87
1629387207,1.19E+11,8822865920,1684,,88
1629387208,1.19E+11,8822845440,1688,,89
1629387210,1.19E+11,8822927360,1692,,91
1629387211,1.19E+11,8822636544,1696,,92
1629387212,1.22E+11,8823345152,1700,,93
1629387213,1.22E+11,8822931456,1704,,94
1629387214,1.22E+11,8822968320,1708,,95
1629387216,1.22E+11,8822784000,1712,,97
1629387217,1.22E+11,8823095296,1716,,98
1629387218,1.22E+11,8823185408,1720,,99
1629387219,1.23E+11,8823115776,1724,,100
1629387220,1.23E+11,8823058432,1728,,101
1629387222,1.24E+11,8884412416,1736,,103
1629387223,1.25E+11,8823136256,1740,,104
1629387224,1.25E+11,8823291904,1744,,105
1629387225,1.26E+11,8823410688,1748,,106
1629387226,1.26E+11,8822992896,1752,,107
1629387227,1.26E+11,8823238656,1756,,108
1629387229,1.27E+11,8851419136,1760,,110
1629387230,1.29E+11,8823066624,1764,,111
1629387231,1.29E+11,8835010560,1768,,112
1629387232,1.31E+11,8823443456,1772,,113
1629387233,1.31E+11,8823230464,1776,,114
1629387235,1.31E+11,8823312384,1780,,116
1629387236,1.31E+11,8823328768,1784,,117
1629387237,1.31E+11,8823095296,1788,,118
1629387238,1.31E+11,8823164928,1792,,119
1629387239,1.32E+11,8823353344,1796,,120
1629387241,1.32E+11,8823095296,1800,,122
1629387242,1.34E+11,8906424320,1804,,123
1629387243,1.34E+11,8823640064,1808,,124
1629387244,1.34E+11,8823390208,1812,,125
1629387245,1.34E+11,8823631872,1816,,126
1629387247,1.34E+11,8823402496,1820,,128
1629387248,1.34E+11,8823676928,1824,,129
1629387249,1.35E+11,8823390208,1828,,130
1629387250,1.35E+11,8823582720,1832,,131
1629387251,1.36E+11,8859963392,1836,,132
1629387253,1.37E+11,8823414784,1840,,134
1629387254,1.37E+11,8823459840,1844,,135
1629387255,1.37E+11,8823607296,1848,,136
1629387256,1.38E+11,8823103488,1852,,137
1629387257,1.38E+11,8823468032,1856,,138
1629387258,1.38E+11,8831021056,1860,,139
1629387260,1.40E+11,8823545856,1864,,141
1629387261,1.40E+11,8823144448,1868,,142
1629387262,1.42E+11,8822886400,1872,,143
1629387263,1.42E+11,8823181312,1876,,144
1629387264,1.42E+11,8823377920,1880,,145
1629387266,1.43E+11,8823341056,1884,,147
1629387267,1.43E+11,8823435264,1888,,148
1629387268,1.43E+11,8823418880,1892,,149
1629387269,1.43E+11,8823418880,1896,,150
1629387270,1.43E+11,8823324672,1900,,151
1629387272,1.44E+11,8893288448,1904,,153
1629387273,1.45E+11,8823730176,1912,,154
1629387274,1.45E+11,8823377920,1916,,155
1629387275,1.46E+11,8823185408,1920,,156
1629387276,1.46E+11,8823537664,1924,,157
1629387277,1.46E+11,8823496704,1928,,158
1629387279,1.46E+11,8823664640,1932,,160
1629387280,1.46E+11,8823504896,1936,,161
1629387281,1.46E+11,8830324736,1940,,162
1629387282,1.48E+11,8823820288,1944,,163
1629387283,1.48E+11,8823582720,1948,,164
1629387285,1.49E+11,8823508992,1952,,166
1629387286,1.49E+11,8823169024,1956,,167
1629387287,1.49E+11,8823742464,1960,,168
1629387288,1.49E+11,8823853056,1964,,169
1629387289,1.51E+11,8906788864,1968,,170
1629387291,1.51E+11,8823853056,1972,,172
1629387292,1.53E+11,8899657728,1976,,173
1629387293,1.53E+11,8823914496,1980,,174
1629387294,1.54E+11,8823713792,1984,,175
1629387295,1.54E+11,8823914496,1988,,176
1629387297,1.54E+11,8824123392,1992,,178
1629387298,1.54E+11,8824369152,1996,,179
1629387299,1.54E+11,8824246272,2000,,180
1629387300,1.55E+11,8824123392,2004,,181
1629387301,1.55E+11,8857665536,2008,,182
1629387303,1.57E+11,8824098816,2012,,184
1629387304,1.57E+11,8824233984,2016,,185
1629387305,1.57E+11,8824180736,2020,,186
1629387306,1.57E+11,8824188928,2024,,187
1629387307,1.57E+11,8824033280,2028,,188
1629387308,1.58E+11,8823914496,2032,,189
1629387310,1.58E+11,8824205312,2036,,191
1629387311,1.58E+11,8823865344,2040,,192
1629387312,1.60E+11,8824893440,2044,,193
1629387313,1.60E+11,8824082432,2048,,194
1629387314,1.60E+11,8824328192,2052,,195
1629387316,1.60E+11,8824094720,2056,,197
1629387317,1.61E+11,8824197120,2060,,198
1629387318,1.61E+11,8824397824,2064,,199
1629387319,1.62E+11,8896974848,2068,,200
1629387320,1.63E+11,8824238080,2072,,201
1629387321,1.64E+11,8871944192,2080,,202
1629387323,1.65E+11,8824238080,2084,,204
1629387324,1.65E+11,8824340480,2088,,205
1629387325,1.65E+11,8824401920,2092,,206
1629387326,1.66E+11,8824250368,2096,,207
1629387327,1.66E+11,8824356864,2100,,208
1629387329,1.66E+11,8824344576,2104,,210
1629387330,1.66E+11,8824320000,2108,,211
1629387331,1.66E+11,8832573440,2112,,212
1629387332,1.68E+11,8824373248,2116,,213
1629387333,1.68E+11,8824467456,2120,,214
1629387335,1.68E+11,8824537088,2124,,216
1629387336,1.68E+11,8824180736,2128,,217
1629387337,1.69E+11,8824442880,2132,,218
1629387338,1.69E+11,8824229888,2136,,219
1629387339,1.69E+11,8824389632,2140,,220
1629387341,1.69E+11,8824291328,2144,,222
1629387342,1.71E+11,8900075520,2148,,223
1629387343,1.71E+11,8824377344,2152,,224
1629387344,1.71E+11,8824377344,2156,,225
1629387345,1.71E+11,8824504320,2160,,226
1629387347,1.71E+11,8824729600,2164,,228
1629387348,1.71E+11,8824365056,2168,,229
1629387349,1.73E+11,8884142080,2172,,230
1629387350,1.74E+11,8824451072,2176,,231
1629387351,1.75E+11,8861323264,2180,,232
1629387353,1.76E+11,8824627200,2184,,234
1629387354,1.76E+11,8824684544,2188,,235
1629387355,1.76E+11,8824426496,2192,,236
1629387356,1.76E+11,8824270848,2196,,237
1629387357,1.76E+11,8824471552,2200,,238
1629387359,1.77E+11,8824635392,2204,,240
1629387360,1.77E+11,8824238080,2208,,241
1629387361,1.77E+11,8827129856,2212,,242
1629387362,1.79E+11,8824438784,2216,,243
1629387363,1.79E+11,8824438784,2220,,244
1629387365,1.79E+11,8824610816,2220,,246
1629387366,1.79E+11,8824496128,2224,,247
1629387367,1.79E+11,8824557568,2228,,248
1629387368,1.80E+11,8824549376,2232,,249
1629387369,1.80E+11,8824442880,2236,,250
1629387371,1.80E+11,8824258560,2240,,252
1629387372,1.81E+11,8898015232,2244,,253
1629387373,1.82E+11,8824422400,2248,,254
