Date_time,CPU,Memory_Bytes,Disk_Usage,,Ref_time
1629327234,1.255E+11,2379214848,1484,,0
1629327235,1.26122E+11,2409922560,1484,,1
1629327237,1.28797E+11,2381840384,1644,,3
1629327238,1.29048E+11,2382180352,1644,,4
1629327239,1.29179E+11,2382319616,1644,,5
1629327241,1.2988E+11,2382839808,1648,,7
1629327242,1.30111E+11,2383130624,1652,,8
1629327243,1.3044E+11,2383327232,1656,,9
1629327245,1.30628E+11,2383740928,1656,,11
1629327246,1.3251E+11,2455969792,1660,,12
1629327247,1.33546E+11,2383757312,1664,,13
1629327249,1.35103E+11,2454880256,1664,,15
1629327250,1.36183E+11,2384175104,1668,,16
1629327251,1.36445E+11,2384695296,1672,,17
1629327253,1.36629E+11,2384642048,1676,,19
1629327254,1.36839E+11,2384977920,1676,,20
1629327255,1.37703E+11,2417287168,1680,,21
1629327257,1.40133E+11,2396114944,1684,,23
1629327258,1.40325E+11,2396188672,1688,,24
1629327260,1.40584E+11,2396667904,1688,,26
1629327261,1.40725E+11,2386927616,1692,,27
1629327262,1.40885E+11,2386980864,1696,,28
1629327264,1.41022E+11,2386907136,1696,,30
1629327265,1.41303E+11,2391306240,1700,,31
1629327266,1.43522E+11,2476204032,1704,,32
1629327268,1.43838E+11,2387574784,1708,,34
1629327269,1.43985E+11,2387632128,1708,,35
1629327270,1.4414E+11,2387693568,1712,,36
1629327272,1.4443E+11,2388226048,1716,,38
1629327273,1.4457E+11,2388226048,1716,,39
1629327275,1.44731E+11,2388733952,1720,,41
1629327276,1.46348E+11,2458750976,1724,,42
1629327277,1.47606E+11,2388926464,1728,,43
1629327279,1.49061E+11,2459267072,1728,,45
1629327280,1.50197E+11,2389016576,1732,,46
1629327281,1.50342E+11,2389147648,1736,,47
1629327283,1.50503E+11,2389266432,1740,,49
1629327284,1.50723E+11,2389856256,1740,,50
1629327285,1.51137E+11,2408775680,1744,,51
1629327287,1.53451E+11,2389954560,1748,,53
1629327288,1.53591E+11,2389942272,1748,,54
1629327290,1.53765E+11,2390147072,1752,,56
1629327291,1.5389E+11,2390167552,1756,,57
1629327292,1.54038E+11,2390257664,1760,,58
1629327294,1.54311E+11,2390433792,1760,,60
1629327295,1.54569E+11,2392248320,1764,,61
1629327296,1.57037E+11,2389848064,1768,,62
1629327298,1.57185E+11,2389798912,1772,,64
1629327299,1.57322E+11,2389741568,1772,,65
1629327301,1.57431E+11,2389712896,1776,,67
1629327302,1.57582E+11,2389532672,1780,,68
1629327303,1.57811E+11,2389721088,1784,,69
1629327305,1.58125E+11,2389958656,1784,,71
1629327306,1.59882E+11,2462879744,1788,,72
1629327307,1.60747E+11,2389688320,1792,,73
1629327309,1.62723E+11,2470768640,1796,,75
1629327310,1.63454E+11,2389929984,1796,,76
1629327312,1.63602E+11,2390069248,1800,,78
1629327313,1.63711E+11,2390204416,1804,,79
1629327314,1.63879E+11,2390061056,1808,,80
1629327316,1.65146E+11,2460684288,1808,,82
1629327317,1.6653E+11,2390446080,1812,,83
1629327318,1.66684E+11,2390269952,1816,,84
1629327320,1.6683E+11,2390241280,1820,,86
1629327321,1.66988E+11,2390421504,1824,,87
1629327323,1.67103E+11,2390360064,1824,,89
1629327324,1.67206E+11,2390413312,1828,,90
1629327325,1.67801E+11,2417381376,1828,,91
1629327327,1.69845E+11,2390474752,1832,,93
1629327328,1.69972E+11,2390589440,1836,,94
1629327329,1.70494E+11,2390163456,1840,,95
1629327331,1.70659E+11,2390249472,1840,,97
1629327332,1.70779E+11,2390269952,1844,,98
1629327333,1.7091E+11,2390503424,1848,,99
1629327335,1.7102E+11,2390437888,1852,,101
1629327336,1.72839E+11,2464088064,1852,,102
1629327337,1.73665E+11,2390331392,1856,,103
1629327339,1.75144E+11,2460921856,1860,,105
1629327340,1.76138E+11,2390245376,1864,,106
1629327341,1.76279E+11,2390388736,1864,,107
1629327343,1.76564E+11,2390618112,1868,,109
1629327344,1.76689E+11,2390376448,1872,,110
1629327345,1.77368E+11,2419351552,1876,,111
1629327347,1.7943E+11,2390282240,1876,,113
1629327348,1.79553E+11,2390302720,1880,,114
1629327349,1.79685E+11,2390323200,1884,,115
1629327351,1.79827E+11,2390421504,1884,,117
1629327352,1.79963E+11,2390441984,1888,,118
1629327353,1.80138E+11,2390274048,1892,,119
1629327355,1.80247E+11,2390777856,1896,,121
