Date_time,CPU,Memory_Bytes,Disk_Usage
1626357797,164831585097675,8944340992,2684
1626357817,164835478219229,8944369664,2688
1626357838,164841057983214,8944607232,2688
1626357858,164846682817785,8944463872,2692
1626357878,164850625707215,8944328704,2696
1626357898,164856515996099,8944041984,2696
1626357918,164862232983407,8944492544,2896
1626357938,164866090999401,8944422912,2896
1626357959,164872254469821,8944693248,2900
1626357979,164878161133533,8944668672,2900
1626357999,164882044792692,8944373760,2904
1626358019,164887584416399,8944394240,2908
1626358039,164893111799763,8944537600,2908
1626358059,164897004178370,8944377856,2912
1626358080,164902526504989,8944754688,2916
1626358100,164907966568922,8944525312,2916
1626358120,164911619433322,8944283648,2920
1626358140,164917099575761,8944291840,2920
1626358160,164922625209419,8944521216,2924
1626358180,164926546120069,8952262656,2928
1626358200,164932547934253,8970510336,2928
1626358221,164938626547445,8989450240,3128
1626358241,164942823826432,9014788096,3128
1626358261,164949005490432,9028038656,3132
1626358281,164954793686207,8944922624,3132
1626358301,164958596276505,8944607232,3136
1626358322,164964112143358,8945098752,3140
1626358342,164969827764332,8944422912,3140
1626358362,164974310823056,8986058752,3144
1626358382,164979138808935,8944717824,3148
1626358402,164984821650748,8944578560,3148
1626358422,164990285294387,9029218304,3152
1626358442,164994260204305,8944738304,3152
1626358463,165000019359268,8944635904,3156
1626358483,165005952768417,8945127424,3160
1626358503,165009924264515,8944705536,3160
1626358523,165016176638838,8945168384,3360
1626358543,165021973442284,8945348608,3360
1626358563,165026327404807,8945229824,3364
1626358584,165032460090960,8945004544,3364
1626358604,165038436184440,8945156096,3368
1626358624,165042407670553,8944955392,3372
1626358644,165048268599759,8945225728,3372
1626358664,165053975109185,8945041408,3376
1626358684,165058055318554,8945221632,3376
1626358705,165063806329483,8945086464,3380
1626358725,165069607049930,8945106944,3384
1626358745,165073379080060,8945053696,3384
1626358765,165079092671634,8944992256,3388
1626358785,165084658056644,8944762880,3392
1626358805,165088780306936,8945508352,3588
1626358826,165094422261926,8944668672,3592
1626358846,165100110178662,8945074176,3592
1626358866,165103948617157,8945373184,3596
1626358886,165109677673715,8945106944,3596
1626358906,165115493066645,8945201152,3600
1626358926,165119357976633,8945311744,3604
1626358947,165125294912779,8945360896,3604
1626358967,165131059162752,8945102848,3608
1626358987,165134850364061,8945184768,3608
1626359007,165140493459175,8945360896,3612
1626359027,165146203086272,8944959488,3616
1626359047,165150222313418,8945254400,3616
1626359068,165156190321293,8945025024,3620
1626359088,165162414402815,8945139712,3624
1626359108,165166500521307,8945455104,3820
1626359128,165172591002235,8945332224,3824
1626359148,165178600689737,8945483776,3824
