Date_time,CPU,Memory_Bytes,Disk_Usage,,Ref_Date_time
1629279570,1.75E+13,2494689280,21896,,0
1629279571,1.75E+13,2438774784,21900,,1
1629279572,1.75E+13,2511945728,21904,,2
1629279573,1.75E+13,2438729728,21908,,3
1629279574,1.75E+13,2438975488,21912,,4
1629279576,1.75E+13,2438799360,21916,,6
1629279577,1.75E+13,2438909952,21920,,7
1629279578,1.75E+13,2439020544,21924,,8
1629279579,1.75E+13,2439061504,21928,,9
1629279580,1.75E+13,2526183424,21932,,10
1629279581,1.75E+13,2438914048,21936,,11
1629279583,1.75E+13,2439028736,21944,,13
1629279584,1.75E+13,2439094272,21948,,14
1629279585,1.75E+13,2439049216,21952,,15
1629279586,1.75E+13,2438975488,21956,,16
1629279587,1.75E+13,2439094272,21960,,17
1629279588,1.75E+13,2438901760,21964,,18
1629279590,1.75E+13,2485633024,21968,,20
1629279591,1.75E+13,2438983680,21972,,21
1629279592,1.75E+13,2439012352,21976,,22
1629279593,1.75E+13,2438848512,21980,,23
1629279594,1.75E+13,2439061504,21984,,24
1629279595,1.75E+13,2439045120,21988,,25
1629279597,1.75E+13,2439188480,21992,,27
1629279598,1.75E+13,2439118848,21996,,28
1629279599,1.75E+13,2439131136,22000,,29
1629279600,1.75E+13,2525683712,22004,,30
1629279601,1.75E+13,2449813504,22012,,31
1629279603,1.75E+13,2439163904,22016,,33
1629279604,1.75E+13,2439073792,22020,,34
1629279605,1.75E+13,2439278592,22024,,35
1629279606,1.75E+13,2439110656,22028,,36
1629279607,1.75E+13,2439090176,22032,,37
1629279608,1.75E+13,2439172096,22036,,38
1629279610,1.75E+13,2486624256,22040,,40
1629279611,1.75E+13,2439229440,22044,,41
1629279612,1.75E+13,2439319552,22048,,42
1629279613,1.75E+13,2440302592,22760,,43
1629279614,1.75E+13,2440343552,22764,,44
1629279615,1.75E+13,2440216576,22768,,45
1629279617,1.75E+13,2440114176,22772,,47
1629279618,1.75E+13,2440089600,22776,,48
1629279619,1.75E+13,2440101888,22780,,49
1629279620,1.75E+13,2528047104,22784,,50
1629279621,1.75E+13,2439942144,22788,,51
1629279623,1.75E+13,2439901184,22792,,53
1629279624,1.75E+13,2439999488,22796,,54
1629279625,1.75E+13,2439995392,22800,,55
1629279626,1.75E+13,2440089600,22808,,56
1629279627,1.75E+13,2439913472,22812,,57
1629279628,1.75E+13,2439565312,22816,,58
1629279630,1.75E+13,2479026176,22820,,60
1629279631,1.75E+13,2439479296,22824,,61
1629279632,1.75E+13,2510655488,22828,,62
1629279633,1.75E+13,2439647232,22832,,63
1629279634,1.75E+13,2439483392,22836,,64
1629279635,1.75E+13,2439622656,22840,,65
1629279637,1.75E+13,2439991296,22844,,67
1629279638,1.75E+13,2439684096,22848,,68
1629279639,1.75E+13,2439618560,22852,,69
1629279640,1.75E+13,2523803648,22856,,70
1629279641,1.75E+13,2439856128,22860,,71
1629279642,1.75E+13,2439606272,22864,,72
1629279644,1.75E+13,2439823360,22868,,74
1629279645,1.75E+13,2439647232,22876,,75
1629279646,1.75E+13,2439987200,22880,,76
1629279647,1.75E+13,2439876608,22884,,77
1629279648,1.75E+13,2439626752,22888,,78
1629279649,1.75E+13,2477654016,22892,,79
1629279651,1.75E+13,2439720960,22896,,81
1629279652,1.75E+13,2439852032,22900,,82
1629279653,1.75E+13,2439782400,22904,,83
1629279654,1.75E+13,2439749632,22908,,84
1629279655,1.75E+13,2439757824,22912,,85
1629279657,1.75E+13,2439778304,22916,,87
1629279658,1.75E+13,2439704576,22920,,88
1629279659,1.75E+13,2439581696,22924,,89
1629279660,1.75E+13,2520453120,22928,,90
1629279661,1.75E+13,2442498048,22932,,91
1629279662,1.75E+13,2439962624,22940,,92
