Date_time,CPU,Memory_Bytes,Disk_Usage
1628634924,66181466349894,14267060224,1854628
1628634929,66186111268847,14238257152,1855560
1628634934,66191113412688,14227808256,1857420
1628634939,66197839619780,14437326848,1858856
1628634944,66201979476406,14345441280,1860212
1628634949,66207587049113,14341750784,1862076
1628634955,66213458021292,14497964032,1863004
1628634960,66217645978308,14370619392,1864868
1628634965,66223777226818,14353047552,1866728
1628634970,66229259697004,14468575232,1867660
1628634975,66233614243121,14360006656,1869520
1628634980,66239773122481,14359228416,1871384
1628634986,66244861774804,14434795520,1872312
1628634991,66249701717929,14361997312,1874176
1628634996,66255980736015,14521888768,1876036
1628635001,66260510781961,14418763776,1876968
1628635006,66265500875173,14367944704,1878828
1628635011,66271344771526,14523551744,1879760
1628635017,66275348161289,14398345216,1881620
1628635022,66280851452719,14372401152,1883480
1628635027,66286358870263,14505779200,1884412
1628635032,66290479444806,14377910272,1886276
1628635037,66296323834956,14377275392,1888136
1628635042,66301473257302,14481432576,1889068
1628635048,66305683440073,14382817280,1890928
1628635053,66311587060116,14382473216,1892788
1628635058,66316494848716,14465744896,1893720
1628635063,66320905218617,14386397184,1895580
1628635068,66327141728960,14389067776,1897444
1628635074,66331667840175,14460755968,1898372
1628635079,66336254226478,14392532992,1900236
1628635084,66342268825313,14551437312,1902096
1628635089,66346573852370,14443798528,1903028
1628635094,66351699692844,14400626688,1904888
1628635099,66357530390618,14556762112,1905820
1628635104,66361615469792,14440030208,1907680
1628635110,66367148637397,14410117120,1909544
1628635115,66372816736884,14561566720,1910472
1628635120,66376922779577,14437150720,1912336
1628635125,66382606963743,14420213760,1914196
1628635130,66387973920982,14543634432,1915128
1628635135,66392232773560,14429589504,1916988
1628635141,66398082806128,14429876224,1918848
1628635146,66403175161809,14536564736,1919780
1628635151,66407424465494,14435401728,1921640
1628635156,66413421113756,14435164160,1923504
1628635161,66418372719463,14537478144,1924436
1628635166,66422642372563,14439018496,1926296
1628635172,66428746486786,14558380032,1928156
1628635177,66433421464627,14513250304,1929088
1628635182,66437955230409,14444691456,1930948
1628635187,66443952203894,14605856768,1932812
1628635192,66448524051613,14518222848,1933740
1628635197,66453173669923,14458404864,1935604
1628635203,66459288010473,14619496448,1937464
1628635208,66463603646345,14511157248,1938396
1628635213,66468707058832,14465273856,1940256
1628635218,66474759432842,14623756288,1941188
1628635223,66478777411411,14508195840,1943048
1628635228,66484059415011,14470365184,1944912
1628635234,66489834586995,14625275904,1945840
1628635239,66493827701606,14502080512,1947704
1628635244,66499309584952,14475296768,1949564
1628635249,66504906906043,14628147200,1950496
1628635254,66508945771088,14500696064,1952356
1628635259,66514636322743,14480044032,1954216
1628635265,66519985694319,14597120000,1955148
1628635270,66524120041515,14484443136,1957008
1628635275,66529940423580,14484975616,1958872
1628635280,66535263913178,14596370432,1959800
1628635285,66539437751610,14490316800,1961664
1628635290,66545263443303,14489649152,1963524
1628635296,66550765878380,14591574016,1964456
1628635301,66554985742063,14495531008,1966316
1628635306,66561024111137,14495096832,1968180
1628635311,66565955027742,14579085312,1969108
1628635316,66570191567515,14497898496,1970972
1628635321,66576340523823,14655995904,1972832
1628635327,66580920723646,14570246144,1973764
1628635332,66585450078388,14502277120,1975624
1628635337,66591538253197,14661861376,1977484
1628635342,66596029830610,14577278976,1978416
1628635347,66600735659285,14507438080,1980280
1628635352,66606819822651,14667984896,1982140
1628635358,66611169877380,14565445632,1983072
1628635363,66616041816841,14512173056,1984932
1628635368,66622069045193,14671056896,1986792
1628635373,66626081996037,14558969856,1987724
1628635378,66631175163739,14517100544,1989584
1628635383,66637094086435,14673674240,1990516
1628635388,66641127456301,14557757440,1992376
1628635394,66646546521981,14521790464,1994240
1628635399,66652253429625,14677135360,1995168
1628635404,66656254416192,14557290496,1997032
1628635409,66661772137219,14526189568,1998892
1628635414,66667252574561,14679830528,1999824
1628635419,66671290567514,14544199680,2001684
1628635425,66677019646617,14531141632,2003556
1628635430,66682108670627,14640410624,2004484
1628635435,66686285564382,14537490432,2006348
1628635440,66692111415240,14536114176,2008208
1628635445,66697004187079,14619795456,2009140
1628635450,66701242003006,14538645504,2011000
1628635456,66707530318819,14699470848,2012860
1628635461,66712247339365,14612545536,2013792
1628635466,66716957657421,14543929344,2015656
1628635471,66723031246098,14704467968,2017516
1628635476,66727294000544,14601932800,2018448
1628635481,66732347906829,14548721664,2020308
1628635487,66738348165526,14707892224,2022168
1628635492,66742541376768,14597304320,2023100
1628635497,66747702152495,14553583616,2024960
1628635502,66753530445009,14709514240,2025892
1628635507,66757477171933,14581907456,2027752
1628635513,66763026317373,14558674944,2029616
1628635518,66768423754259,14690914304,2030544
1628635523,66772349889292,14564081664,2032408
1628635528,66778069908161,14563463168,2034268
1628635533,66783306841833,14675050496,2035200
1628635538,66787432880233,14569385984,2037060
1628635543,66793176810283,14568116224,2038924
1628635549,66798157090187,14671843328,2039852
1628635554,66802568829203,14574145536,2041716
1628635559,66808412995784,14572838912,2043576
1628635564,66813324789098,14669926400,2044508
1628635569,66817822949069,14575845376,2046368
1628635575,66824338005819,14735654912,2048228
1628635580,66828510128004,14609960960,2049160
1628635585,66834093096880,14581727232,2051020
1628635590,66839302601274,14695575552,2051952
1628635595,66843536914137,14587850752,2053816
1628635600,66849476969459,14586568704,2055676
1628635606,66854414826472,14661480448,2056608
1628635611,66859243111116,14589640704,2058468
1628635616,66865403028624,14746763264,2059400
1628635621,66869430064358,14615379968,2061260
1628635626,66875205048685,14594371584,2063120
1628635631,66880226355926,14676430848,2064052
