Date_time,CPU,Memory_Bytes,Disk_Usage
1629122733,13755153127,491892736,28
1629122734,15075906088,392691712,992
1629122735,17202709879,520171520,992
1629122736,18407312183,421023744,1960
1629122737,20655535074,549892096,1960
1629122739,21789352720,442785792,2924
1629122740,23705610607,558895104,3884
1629122741,25131450239,472383488,3884
1629122742,26703654991,404762624,4844
1629122743,28410133946,484790272,4844
1629122744,29755196717,409264128,5808
1629122746,31798921987,519245824,5808
1629122747,32984929470,424468480,6768
1629122748,35245539233,562745344,6768
1629122749,36318753298,448688128,7728
1629122750,40133089876,650240000,7728
1629122752,43125285427,615555072,8964
1629122753,46362572320,774918144,10056
1629122754,47740047414,687771648,10056
1629122755,49343216543,780255232,11016
1629122756,50989794599,701112320,11016
1629122757,52456787252,620052480,11980
1629122759,54280825019,722448384,11980
1629122760,55585117745,627187712,12940
1629122761,57684915491,743407616,12940
1629122762,58771134431,650084352,13900
1629122763,61021263233,784674816,13900
1629122765,62164522137,674377728,14864
1629122766,64312526428,796286976,15824
1629122767,65555612389,694788096,15824
1629122768,67265624592,801325056,16784
1629122769,68902159889,716546048,16784
1629122770,70387392275,647667712,17748
1629122772,72243323233,736518144,17748
1629122773,73610605333,654561280,18708
1629122774,75828714671,766111744,18708
1629122775,76907405908,670994432,19668
1629122776,79135764546,808214528,19668
1629122777,80123542234,690892800,20632
1629122779,82412194134,816476160,20632
1629122780,83638798286,712568832,21592
1629122781,85555889519,826916864,22552
1629122782,87064809477,738787328,22552
1629122783,88585239456,672862208,23516
1629122784,90272783447,753876992,23516
1629122786,91613197768,680165376,24476
1629122787,93585998107,785027072,24476
1629122788,94869126494,683651072,25440
1629122789,97052095866,832286720,25440
1629122790,98126300369,716558336,26400
1629122791,100349404263,842268672,26400
1629122793,101622533109,741093376,27360
1629122794,103388792166,851107840,28324
1629122795,104916301698,765431808,28324
1629122796,106439604785,697671680,29284
1629122797,108282703877,780738560,29284
1629122799,109620734971,703102976,30244
1629122800,111690913915,816758784,30244
1629122801,112855974962,720506880,31208
1629122802,115098467041,859877376,31208
1629122803,116232583738,746745856,32168
1629122804,118505431520,870477824,33128
1629122806,119694700491,767234048,33128
1629122807,121428367274,873463808,34092
1629122808,122975297512,787628032,34092
1629122809,124396799345,718614528,35052
1629122810,126251463185,803479552,35052
1629122811,127499990297,724807680,36012
1629122813,129626070484,839933952,36012
1629122814,130686284243,745562112,36976
1629122815,132953750617,878862336,36976
1629122816,134182912085,770420736,37936
1629122817,136376910533,888139776,38896
1629122818,137691367132,796827648,38896
1629122820,139389537915,893247488,39860
1629122821,141068222722,815173632,39860
1629122822,142455990744,742707200,40820
1629122823,144463257678,850546688,40820
1629122824,145734754357,758267904,41780
1629122826,147962486436,895422464,41780
1629122827,148982039573,779485184,42744
1629122828,151266407681,904192000,42744
1629122829,152433637255,797368320,43704
1629122830,154266351156,909230080,44664
1629122831,155746324327,821878784,44664
1629122833,157290198211,755306496,45628
1629122834,159006644091,837160960,45628
1629122835,160371665461,761102336,46588
1629122836,162416156554,870264832,46588
1629122837,163576909317,766967808,47548
1629122838,165827665893,914128896,47548
