Time,Disk_Usage,,Ref_Time
1632137773,0,,0
1632137775,0,,2
1632137776,0,,3
1632137778,0,,5
1632137780,0,,7
1632137781,209,,8
1632137783,0,,10
1632137784,208,,11
1632137786,0,,13
1632137788,208,,15
1632137789,0,,16
1632137791,207,,18
1632137793,0,,20
1632137794,208,,21
1632137796,0,,23
1632137797,0,,24
1632137799,0,,26
1632137801,0,,28
1632137802,0,,29
1632137804,0,,31
1632137806,211,,33
1632137807,0,,34
1632137809,207,,36
1632137811,0,,38
1632137812,206,,39
1632137814,0,,41
1632137815,207,,42
1632137817,0,,44
1632137819,210,,46
1632137820,0,,47
1632137822,0,,49
1632137824,0,,51
1632137825,0,,52
1632137827,0,,54
1632137829,0,,56
1632137830,206,,57
1632137832,0,,59
1632137833,209,,60
1632137835,0,,62
1632137837,210,,64
1632137838,0,,65
1632137840,206,,67
1632137842,0,,69
1632137843,210,,70
1632137845,0,,72
1632137847,0,,74
1632137848,0,,75
1632137850,0,,77
1632137852,0,,79
1632137853,0,,80
1632137855,210,,82
1632137856,0,,83
1632137858,208,,85
1632137860,0,,87
1632137861,210,,88
1632137863,0,,90
1632137865,209,,92
1632137866,0,,93
1632137868,0,,95
1632137869,0,,96
1632137871,0,,98
1632137873,0,,100
1632137874,0,,101
1632137876,0,,103
1632137878,0,,105
1632137879,209,,106
1632137881,0,,108
1632137883,208,,110
1632137884,0,,111
1632137886,207,,113
1632137887,0,,114
1632137889,209,,116
1632137891,0,,118
1632137892,0,,119
1632137894,0,,121
1632137896,0,,123
1632137897,0,,124
1632137899,0,,126
1632137901,209,,128
1632137902,0,,129
1632137904,209,,131
1632137905,0,,132
1632137907,210,,134
1632137909,0,,136
1632137910,209,,137
1632137912,0,,139
1632137914,207,,141
1632137915,0,,142
1632137917,0,,144
1632137918,0,,145
1632137920,0,,147
1632137922,0,,149
1632137923,0,,150
1632137925,210,,152
1632137927,0,,154
1632137928,207,,155
1632137930,0,,157
1632137931,205,,158
1632137933,0,,160
1632137935,207,,162
1632137936,0,,163
1632137938,208,,165
1632137940,0,,167
1632137941,0,,168
1632137943,0,,170
1632137945,0,,172
1632137946,0,,173
1632137948,0,,175
1632137949,208,,176
1632137951,0,,178
1632137953,207,,180
1632137954,0,,181
1632137956,207,,183
1632137958,0,,185
1632137959,210,,186
1632137961,0,,188
1632137963,209,,190
1632137964,0,,191
1632137966,0,,193
1632137967,0,,194
1632137969,0,,196
1632137971,0,,198
1632137972,0,,199
1632137974,206,,201
1632137976,0,,203
1632137977,210,,204
1632137979,0,,206
1632137981,210,,208
1632137982,0,,209
1632137984,209,,211
1632137985,0,,212
1632137987,209,,214
1632137989,0,,216
1632137990,0,,217
1632137992,0,,219
1632137994,0,,221
1632137995,0,,222
1632137997,0,,224
1632137998,209,,225
1632138000,0,,227
1632138002,210,,229
1632138003,0,,230
1632138005,211,,232
1632138007,0,,234
1632138008,209,,235
1632138010,0,,237
1632138012,211,,239
1632138013,0,,240
1632138015,0,,242
1632138016,0,,243
1632138018,0,,245
1632138020,0,,247
1632138021,0,,248
1632138023,202,,250
1632138025,0,,252
1632138026,204,,253
1632138028,0,,255
1632138029,208,,256
1632138031,0,,258
1632138033,207,,260
1632138034,0,,261
1632138036,208,,263
1632138038,0,,265
1632138039,0,,266
1632138041,0,,268
1632138043,0,,270
1632138044,0,,271
1632138046,0,,273
1632138047,0,,274
1632138049,0,,276
1632138051,209,,278
1632138052,0,,279
1632138054,207,,281
1632138056,0,,283
1632138057,209,,284
1632138059,0,,286
1632138060,211,,287
1632138062,0,,289
1632138064,206,,291
1632138065,0,,292
1632138067,0,,294
1632138069,0,,296
1632138070,0,,297
1632138072,0,,299
1632138073,0,,300
1632138075,206,,302
1632138077,0,,304
1632138078,206,,305
1632138080,0,,307
1632138082,206,,309
1632138083,0,,310
1632138085,207,,312
1632138087,0,,314
1632138088,208,,315
1632138090,0,,317
1632138091,0,,318
1632138093,0,,320
1632138095,0,,322
1632138096,0,,323
1632138098,0,,325
1632138100,210,,327
1632138101,0,,328
1632138103,208,,330
1632138104,0,,331
1632138106,209,,333
1632138108,0,,335
1632138109,207,,336
1632138111,0,,338
1632138113,206,,340
1632138114,0,,341
1632138116,0,,343
1632138117,0,,344
1632138119,0,,346
1632138121,0,,348
1632138122,0,,349
1632138124,208,,351
1632138126,0,,353
1632138127,210,,354
1632138129,0,,356
1632138130,209,,357
1632138132,0,,359
1632138134,207,,361
