Time,Disk_Usage,,Reference_Time
1631982451,300,,0
1631982453,0,,2
1631982454,300,,3
1631982456,300,,5
1631982458,300,,7
1631982459,300,,8
1631982461,0,,10
1631982463,299,,12
1631982464,300,,13
1631982466,300,,15
1631982468,300,,17
1631982470,299,,19
1631982471,299,,20
1631982473,299,,22
1631982475,299,,24
1631982476,300,,25
1631982478,300,,27
1631982480,301,,29
1631982482,301,,31
1631982483,0,,32
1631982485,302,,34
1631982487,302,,36
1631982488,302,,37
1631982490,302,,39
1631982492,0,,41
1631982493,302,,42
1631982495,302,,44
1631982497,302,,46
1631982499,302,,48
1631982500,0,,49
1631982502,302,,51
1631982504,302,,53
1631982505,302,,54
1631982507,302,,56
1631982509,0,,58
1631982510,301,,59
1631982512,301,,61
1631982514,301,,63
1631982516,302,,65
1631982517,302,,66
1631982519,302,,68
1631982521,302,,70
1631982522,302,,71
1631982524,302,,73
1631982526,302,,75
1631982527,302,,76
1631982529,302,,78
1631982531,0,,80
1631982533,302,,82
1631982534,302,,83
1631982536,301,,85
1631982538,301,,87
1631982539,0,,88
1631982541,302,,90
1631982543,302,,92
1631982544,302,,93
1631982546,302,,95
1631982548,0,,97
1631982549,302,,98
1631982551,302,,100
1631982553,302,,102
1631982555,301,,104
1631982556,0,,105
1631982558,301,,107
1631982560,302,,109
1631982561,302,,110
1631982563,302,,112
1631982565,302,,114
1631982566,302,,115
1631982568,302,,117
1631982570,302,,119
1631982572,302,,121
1631982573,302,,122
1631982575,302,,124
1631982577,302,,126
1631982578,0,,127
1631982580,301,,129
1631982582,301,,131
1631982584,301,,133
1631982585,302,,134
1631982587,302,,136
1631982589,302,,138
1631982590,302,,139
1631982592,302,,141
1631982594,302,,143
1631982595,302,,144
1631982597,302,,146
1631982599,302,,148
1631982601,0,,150
1631982602,302,,151
1631982604,302,,153
1631982606,302,,155
1631982607,302,,156
1631982609,0,,158
1631982611,302,,160
1631982613,302,,162
1631982614,302,,163
1631982616,302,,165
1631982618,0,,167
1631982619,302,,168
1631982621,302,,170
1631982623,302,,172
1631982624,302,,173
1631982626,302,,175
1631982628,302,,177
1631982630,302,,179
1631982631,0,,180
1631982633,301,,182
1631982635,302,,184
1631982636,302,,185
1631982638,302,,187
1631982640,0,,189
1631982642,302,,191
1631982643,302,,192
1631982645,302,,194
1631982647,302,,196
1631982648,0,,197
1631982650,302,,199
1631982652,302,,201
1631982653,302,,202
1631982655,302,,204
1631982657,302,,206
1631982659,302,,208
1631982660,302,,209
1631982662,0,,211
1631982664,302,,213
1631982665,302,,214
1631982667,302,,216
1631982669,302,,218
1631982671,0,,220
1631982672,302,,221
1631982674,302,,223
1631982676,0,,225
1631982677,301,,226
1631982679,301,,228
1631982681,302,,230
1631982683,302,,232
1631982684,0,,233
1631982686,302,,235
1631982688,302,,237
1631982689,302,,238
1631982691,300,,240
1631982693,0,,242
1631982694,300,,243
1631982696,302,,245
1631982698,302,,247
1631982699,302,,248
1631982701,302,,250
1631982703,302,,252
1631982705,301,,254
1631982706,301,,255
1631982708,301,,257
1631982710,0,,259
1631982711,302,,260
1631982713,302,,262
1631982715,302,,264
1631982717,301,,266
1631982718,0,,267
1631982720,301,,269
1631982722,300,,271
1631982723,300,,272
1631982725,299,,274
1631982727,0,,276
1631982728,299,,277
1631982730,301,,279
1631982732,301,,281
1631982733,301,,282
1631982735,0,,284
1631982737,299,,286
1631982739,299,,288
1631982740,299,,289
1631982742,302,,291
1631982744,0,,293
1631982745,299,,294
1631982747,299,,296
1631982749,299,,298
1631982750,302,,299
1631982752,0,,301
1631982754,302,,303
1631982756,299,,305
1631982757,299,,306
1631982759,299,,308
1631982761,0,,310
1631982762,302,,311
1631982764,302,,313
1631982766,299,,315
1631982767,299,,316
1631982769,299,,318
1631982771,302,,320
1631982772,302,,321
1631982774,0,,323
1631982776,299,,325
1631982778,299,,327
1631982779,299,,328
1631982781,302,,330
1631982783,302,,332
1631982784,302,,333
1631982786,302,,335
1631982788,302,,337
1631982790,302,,339
1631982791,0,,340
1631982793,301,,342
1631982795,301,,344
1631982796,302,,345
1631982798,302,,347
1631982800,302,,349
