Time,Disk_Usage,,Reference_Time
1631993691,0,,0
1631993693,306,,2
1631993695,306,,4
1631993696,0,,5
1631993698,0,,7
1631993700,0,,9
1631993701,306,,10
1631993703,305,,12
1631993705,0,,14
1631993706,0,,15
1631993708,0,,17
1631993710,306,,19
1631993711,306,,20
1631993713,0,,22
1631993715,0,,24
1631993716,0,,25
1631993718,306,,27
1631993720,306,,29
1631993721,306,,30
1631993723,0,,32
1631993725,0,,34
1631993726,0,,35
1631993728,306,,37
1631993730,306,,39
1631993731,0,,40
1631993733,0,,42
1631993735,0,,44
1631993736,305,,45
1631993738,305,,47
1631993740,0,,49
1631993741,0,,50
1631993743,0,,52
1631993745,306,,54
1631993746,306,,55
1631993748,306,,57
1631993750,0,,59
1631993751,0,,60
1631993753,0,,62
1631993755,305,,64
1631993757,305,,66
1631993758,0,,67
1631993760,0,,69
1631993762,0,,71
1631993763,306,,72
1631993765,306,,74
1631993767,306,,76
1631993768,0,,77
1631993770,0,,79
1631993772,0,,81
1631993773,306,,82
1631993775,306,,84
1631993777,0,,86
1631993778,0,,87
1631993780,0,,89
1631993782,306,,91
1631993783,306,,92
1631993785,306,,94
1631993787,0,,96
1631993788,0,,97
1631993790,0,,99
1631993792,305,,101
1631993793,306,,102
1631993795,0,,104
1631993797,0,,106
1631993799,0,,108
1631993800,306,,109
1631993802,306,,111
1631993804,306,,113
1631993805,0,,114
1631993807,0,,116
1631993809,305,,118
1631993810,305,,119
1631993812,305,,121
1631993814,0,,123
1631993815,0,,124
1631993817,0,,126
1631993819,306,,128
1631993820,306,,129
1631993822,0,,131
1631993824,0,,133
1631993825,0,,134
1631993827,306,,136
1631993829,306,,138
1631993830,306,,139
1631993832,0,,141
1631993834,0,,143
1631993835,305,,144
1631993837,305,,146
1631993839,305,,148
1631993840,0,,149
1631993842,0,,151
1631993844,0,,153
1631993845,305,,154
1631993847,304,,156
1631993849,304,,158
1631993850,0,,159
1631993852,0,,161
1631993854,305,,163
1631993856,305,,165
1631993857,305,,166
1631993859,0,,168
1631993861,0,,170
1631993862,0,,171
1631993864,305,,173
1631993865,305,,174
1631993867,0,,176
1631993869,0,,178
1631993871,0,,180
1631993872,306,,181
1631993874,305,,183
1631993876,0,,185
1631993877,0,,186
1631993879,0,,188
1631993881,305,,190
1631993882,306,,191
1631993884,306,,193
1631993886,0,,195
1631993887,0,,196
1631993889,0,,198
1631993891,306,,200
1631993892,306,,201
1631993894,0,,203
1631993896,0,,205
1631993897,0,,206
1631993899,306,,208
1631993901,306,,210
1631993902,306,,211
1631993904,0,,213
1631993906,0,,215
1631993907,306,,216
1631993909,305,,218
1631993911,305,,220
1631993912,0,,221
1631993914,0,,223
1631993916,0,,225
1631993917,305,,226
1631993919,306,,228
1631993921,0,,230
1631993922,0,,231
1631993924,0,,233
1631993926,306,,235
1631993927,305,,236
1631993929,305,,238
1631993931,0,,240
1631993932,0,,241
1631993934,305,,243
1631993936,305,,245
1631993937,306,,246
1631993939,0,,248
1631993941,0,,250
1631993942,0,,251
1631993944,305,,253
1631993946,305,,255
1631993947,0,,256
1631993949,0,,258
1631993951,0,,260
1631993952,305,,261
1631993954,305,,263
1631993956,0,,265
1631993958,0,,267
1631993959,0,,268
1631993961,306,,270
1631993963,306,,272
1631993964,306,,273
1631993966,0,,275
1631993968,0,,277
1631993969,0,,278
1631993971,306,,280
1631993973,306,,282
1631993974,0,,283
1631993976,0,,285
1631993978,0,,287
1631993979,305,,288
1631993981,305,,290
1631993983,306,,292
1631993984,0,,293
1631993986,0,,295
1631993988,305,,297
1631993989,305,,298
1631993991,305,,300
1631993993,0,,302
1631993994,0,,303
1631993996,0,,305
1631993998,306,,307
1631993999,306,,308
1631994001,0,,310
1631994003,0,,312
1631994004,0,,313
1631994006,306,,315
1631994008,304,,317
1631994009,0,,318
1631994011,0,,320
1631994013,0,,322
1631994015,0,,324
1631994017,0,,326
1631994018,306,,327
1631994020,306,,329
1631994022,0,,331
1631994023,0,,332
1631994025,0,,334
1631994027,306,,336
1631994029,306,,338
1631994030,306,,339
1631994032,0,,341
1631994034,0,,343
1631994035,0,,344
1631994037,306,,346
1631994039,306,,348
1631994041,306,,350
1631994042,0,,351
1631994044,0,,353
1631994046,0,,355
1631994047,306,,356
1631994049,306,,358
1631994051,306,,360
1631994053,0,,362
1631994054,0,,363
1631994056,0,,365
1631994058,306,,367
1631994059,306,,368
1631994061,306,,370
1631994063,0,,372
1631994065,0,,374
1631994066,0,,375
1631994068,305,,377
1631994070,305,,379
1631994071,305,,380
1631994073,0,,382
1631994075,0,,384
1631994077,0,,386
1631994078,306,,387
1631994080,306,,389
1631994082,306,,391
1631994083,0,,392
1631994085,0,,394
1631994087,0,,396
1631994089,306,,398
1631994090,306,,399
1631994092,306,,401
1631994094,0,,403
1631994095,0,,404
1631994097,0,,406
1631994099,306,,408
1631994101,306,,410
1631994102,306,,411
1631994104,0,,413
1631994106,0,,415
1631994107,0,,416
1631994109,306,,418
1631994111,306,,420
1631994113,305,,422
1631994114,0,,423
1631994116,0,,425
1631994118,0,,427
1631994119,306,,428
1631994121,306,,430
1631994123,305,,432
1631994124,0,,433
1631994126,0,,435
1631994128,0,,437
1631994130,305,,439
1631994131,305,,440
1631994133,305,,442
1631994135,0,,444
1631994137,0,,446
1631994138,0,,447
1631994140,306,,449
1631994142,306,,451
1631994143,306,,452
1631994145,0,,454
1631994147,0,,456
1631994148,0,,457
1631994150,304,,459
1631994152,304,,461
1631994154,305,,463
1631994155,0,,464
1631994157,0,,466
1631994159,0,,468
1631994162,306,,471
1631994163,0,,472
1631994165,0,,474
1631994167,305,,476
1631994168,306,,477
1631994170,306,,479
1631994172,0,,481
1631994173,0,,482
1631994175,306,,484
1631994177,306,,486
1631994178,306,,487
1631994180,0,,489
1631994181,0,,490
1631994183,305,,492
1631994185,305,,494
1631994186,0,,495
1631994188,0,,497
1631994190,0,,499
1631994191,306,,500
1631994193,306,,502
1631994195,0,,504
1631994197,0,,506
1631994198,0,,507
1631994200,0,,509
1631994202,306,,511
1631994203,306,,512
1631994205,306,,514
1631994207,0,,516
1631994208,0,,517
1631994210,306,,519
1631994212,306,,521
1631994213,306,,522
1631994215,0,,524
1631994217,0,,526
1631994218,0,,527
1631994220,306,,529
1631994222,306,,531
1631994223,0,,532
1631994225,0,,534
1631994227,0,,536
1631994228,306,,537
1631994230,306,,539
1631994232,0,,541
1631994233,0,,542
1631994235,0,,544
1631994237,306,,546
1631994238,306,,547
1631994240,0,,549
1631994242,0,,551
1631994243,0,,552
1631994245,306,,554
1631994247,306,,556
1631994248,306,,557
1631994250,0,,559
1631994252,0,,561
1631994253,306,,562
1631994255,306,,564
1631994256,306,,565
1631994258,0,,567
1631994260,0,,569
1631994261,305,,570
1631994263,306,,572
1631994265,306,,574
1631994266,0,,575
1631994268,0,,577
1631994270,0,,579
1631994271,305,,580
1631994273,306,,582
1631994275,0,,584
1631994276,0,,585
1631994278,0,,587
1631994280,306,,589
1631994281,306,,590
1631994283,0,,592
1631994285,0,,594
1631994286,0,,595
1631994288,306,,597
1631994290,306,,599
1631994291,306,,600
1631994293,0,,602
1631994295,0,,604
1631994296,306,,605
1631994298,305,,607
1631994300,305,,609
1631994301,0,,610
1631994303,0,,612
1631994305,0,,614
1631994306,306,,615
1631994308,306,,617
1631994310,0,,619
1631994311,0,,620
1631994313,0,,622
1631994315,306,,624
1631994316,306,,625
1631994318,0,,627
1631994320,0,,629
1631994321,0,,630
1631994323,306,,632
1631994325,306,,634
1631994326,0,,635
1631994328,0,,637
1631994330,0,,639
1631994331,306,,640
1631994333,306,,642
1631994334,0,,643
1631994336,0,,645
1631994338,0,,647
1631994339,306,,648
1631994341,306,,650
1631994343,0,,652
1631994344,0,,653
1631994346,0,,655
1631994348,306,,657
1631994349,305,,658
1631994351,305,,660
1631994353,0,,662
1631994354,0,,663
1631994356,305,,665
1631994358,305,,667
1631994359,305,,668
1631994361,0,,670
1631994363,0,,672
1631994364,306,,673
1631994366,306,,675
1631994368,306,,677
1631994369,0,,678
1631994371,0,,680
1631994373,306,,682
1631994374,305,,683
1631994376,305,,685
1631994378,0,,687
1631994379,0,,688
1631994381,0,,690
1631994383,306,,692
1631994384,305,,693
1631994386,0,,695
1631994388,0,,697
1631994391,306,,700
1631994392,305,,701
1631994394,0,,703
1631994396,0,,705
1631994397,305,,706
1631994399,306,,708
1631994401,306,,710
1631994402,0,,711
1631994404,0,,713
1631994406,305,,715
1631994407,305,,716
1631994409,305,,718
1631994411,0,,720
1631994412,0,,721
1631994414,305,,723
1631994415,305,,724
1631994417,305,,726
1631994419,0,,728
1631994420,0,,729
1631994422,305,,731
1631994424,306,,733
1631994425,306,,734
1631994427,0,,736
1631994429,0,,738
1631994430,306,,739
1631994432,306,,741
1631994434,306,,743
1631994435,0,,744
1631994437,0,,746
1631994439,306,,748
1631994440,306,,749
1631994442,306,,751
1631994443,0,,752
1631994445,0,,754
1631994447,306,,756
1631994448,305,,757
1631994450,305,,759
1631994452,0,,761
1631994453,0,,762
1631994455,306,,764
1631994457,306,,766
1631994458,0,,767
1631994460,0,,769
1631994461,0,,770
1631994463,305,,772
1631994465,305,,774
1631994466,0,,775
1631994468,0,,777
1631994470,0,,779
1631994471,306,,780
1631994473,305,,782
1631994475,0,,784
1631994476,0,,785
1631994478,0,,787
1631994480,305,,789
1631994481,305,,790
1631994483,0,,792
1631994484,0,,793
1631994486,0,,795
1631994488,305,,797
1631994489,306,,798
1631994491,0,,800
1631994493,0,,802
1631994494,306,,803
1631994496,306,,805
1631994497,306,,806
1631994499,0,,808
1631994501,0,,810
1631994502,306,,811
1631994504,305,,813
1631994505,0,,814
1631994507,0,,816
1631994509,0,,818
1631994510,305,,819
1631994512,305,,821
1631994514,0,,823
1631994515,0,,824
1631994517,0,,826
1631994519,306,,828
1631994520,306,,829
1631994522,0,,831
1631994523,0,,832
1631994525,306,,834
1631994527,306,,836
1631994528,306,,837
1631994530,0,,839
1631994532,0,,841
1631994533,306,,842
1631994535,306,,844
1631994536,306,,845
1631994538,0,,847
1631994540,0,,849
1631994541,305,,850
1631994543,305,,852
1631994545,0,,854
1631994546,0,,855
1631994548,0,,857
1631994549,306,,858
1631994551,306,,860
1631994553,0,,862
1631994554,0,,863
1631994556,0,,865
1631994558,306,,867
1631994559,306,,868
1631994561,0,,870
1631994563,0,,872
1631994564,0,,873
1631994566,304,,875
1631994567,304,,876
1631994569,0,,878
1631994571,0,,880
1631994572,305,,881
1631994574,305,,883
1631994576,305,,885
1631994577,0,,886
1631994579,0,,888
1631994580,305,,889
1631994582,305,,891
1631994584,306,,893
1631994585,0,,894
1631994587,0,,896
1631994589,306,,898
1631994590,306,,899
1631994592,0,,901
1631994594,0,,903
1631994595,0,,904
1631994597,305,,906
1631994598,305,,907
1631994600,0,,909
1631994602,0,,911
1631994603,0,,912
1631994605,306,,914
1631994607,306,,916
1631994608,0,,917
1631994610,0,,919
1631994612,0,,921
1631994613,306,,922
1631994615,306,,924
1631994616,0,,925
1631994618,0,,927
1631994620,0,,929
1631994621,305,,930
1631994623,304,,932
1631994625,0,,934
1631994626,0,,935
1631994628,304,,937
1631994630,306,,939
1631994631,306,,940
1631994633,0,,942
1631994634,0,,943
1631994636,305,,945
1631994638,306,,947
1631994639,306,,948
1631994641,0,,950
1631994643,0,,952
1631994644,305,,953
1631994646,305,,955
1631994648,306,,957
1631994649,0,,958
1631994651,0,,960
1631994652,306,,961
1631994654,306,,963
1631994656,0,,965
1631994657,0,,966
1631994659,0,,968
1631994661,306,,970
1631994662,306,,971
1631994664,0,,973
1631994665,0,,974
1631994667,0,,976
1631994669,305,,978
1631994670,305,,979
1631994672,0,,981
1631994674,0,,983
1631994675,306,,984
1631994677,306,,986
1631994678,306,,987
1631994680,0,,989
1631994682,0,,991
1631994683,305,,992
1631994685,305,,994
1631994686,0,,995
1631994688,0,,997
1631994690,0,,999
1631994691,306,,1000
1631994693,306,,1002
1631994695,0,,1004
1631994696,0,,1005
1631994698,0,,1007
1631994700,306,,1009
1631994701,306,,1010
1631994703,0,,1012
1631994704,0,,1013
1631994706,306,,1015
1631994708,306,,1017
1631994709,306,,1018
1631994711,0,,1020
1631994713,0,,1022
1631994714,306,,1023
