Date_time,CPU,Memory_Bytes,Disk_Usage,,Redis_Date_Time,,Disk_Usage_MB
1630124416,894893946,7647232,4,,0,,0.004
1630124417,909803451,7798784,4,,1,,0.004
1630124418,930751340,7782400,8,,2,,0.008
1630124419,980996805,7704576,12,,3,,0.012
1630124421,1001063851,7897088,16,,5,,0.016
1630124422,1022809013,7995392,20,,6,,0.02
1630124423,1043976567,8015872,24,,7,,0.024
1630124424,1078591851,7843840,32,,8,,0.032
1630124425,1112825561,8200192,36,,9,,0.036
1630124426,1135309539,8052736,40,,10,,0.04
1630124428,1155770519,8085504,44,,12,,0.044
1630124429,1190265090,8142848,48,,13,,0.048
1630124430,1224853444,8171520,52,,14,,0.052
1630124431,1246246462,8228864,56,,15,,0.056
1630124432,1266958621,8400896,60,,16,,0.06
1630124433,1302719569,8564736,64,,17,,0.064
1630124435,1338381138,8355840,68,,19,,0.068
1630124436,1360907006,8474624,72,,20,,0.072
1630124437,1380654005,8359936,76,,21,,0.076
1630124438,1403041632,8785920,80,,22,,0.08
1630124439,1437107026,8642560,84,,23,,0.084
1630124440,1473174457,8683520,88,,24,,0.088
1630124442,1496028636,8957952,92,,26,,0.092
1630124443,1517196435,9084928,96,,27,,0.096
1630124444,1551607618,8749056,100,,28,,0.1
1630124445,1587223814,8622080,104,,29,,0.104
1630124446,1607373350,8589312,112,,30,,0.112
1630124447,1628323369,8675328,116,,31,,0.116
1630124449,1663635468,8609792,120,,33,,0.12
1630124450,1698201518,8675328,124,,34,,0.124
1630124451,1719552969,8658944,128,,35,,0.128
1630124452,1741773730,8470528,132,,36,,0.132
1630124453,1763989957,8728576,136,,37,,0.136
1630124454,1813541535,8863744,144,,38,,0.144
1630124456,1834106471,8814592,148,,40,,0.148
1630124457,1854906604,8855552,152,,41,,0.152
1630124458,1876374871,8634368,156,,42,,0.156
1630124459,1911152434,8613888,160,,43,,0.16
1630124460,1946692562,8806400,164,,44,,0.164
1630124461,1968909532,8871936,168,,45,,0.168
1630124463,1990993600,8982528,172,,47,,0.172
1630124464,2027858712,8876032,176,,48,,0.176
1630124465,2064091436,8998912,180,,49,,0.18
1630124466,2086117658,8699904,184,,50,,0.184
1630124467,2109063526,8876032,188,,51,,0.188
1630124468,2144690476,8982528,196,,52,,0.196
1630124470,2180537331,9060352,200,,54,,0.2
1630124471,2201548435,9060352,204,,55,,0.204
1630124472,2222466568,8622080,208,,56,,0.208
1630124473,2243738915,8888320,212,,57,,0.212
1630124474,2293502237,8830976,216,,58,,0.216
1630124475,2314256522,8769536,220,,59,,0.22
1630124477,2345201948,9310208,224,,61,,0.224
1630124478,2365617311,9355264,228,,62,,0.228
1630124479,2401589471,9453568,232,,63,,0.232
1630124480,2436315674,9646080,236,,64,,0.236
1630124481,2457720645,9555968,240,,65,,0.24
1630124482,2479940456,9474048,244,,66,,0.244
1630124484,2516055753,9633792,248,,68,,0.248
1630124485,2551279313,9596928,252,,69,,0.252
1630124486,2572967166,9461760,256,,70,,0.256
1630124487,2595122519,9699328,260,,71,,0.26
1630124488,2617275648,9826304,264,,72,,0.264
1630124489,2667187197,9879552,268,,73,,0.268
1630124491,2689400089,9834496,276,,75,,0.276
1630124492,2712509209,9826304,280,,76,,0.28
1630124493,2749636890,10686464,284,,77,,0.284
1630124494,2784685200,10874880,288,,78,,0.288
1630124495,2820230707,10969088,292,,79,,0.292
1630124496,2841650342,10747904,296,,80,,0.296
1630124498,2864170856,10874880,300,,82,,0.3
1630124499,2902167409,10055680,304,,83,,0.304
1630124500,2938981746,10035200,308,,84,,0.308
1630124501,2960110042,9940992,312,,85,,0.312
1630124502,2981625883,10137600,316,,86,,0.316
1630124503,3016462891,10346496,320,,87,,0.32
1630124505,3052333044,10055680,324,,89,,0.324
1630124506,3074392220,10194944,328,,90,,0.328
1630124507,3095425994,9908224,332,,91,,0.332
1630124508,3117405355,9564160,336,,92,,0.336
1630124509,3169974086,9633792,340,,93,,0.34
1630124510,3192627810,9850880,348,,94,,0.348
1630124512,3215448076,9797632,352,,96,,0.352
1630124513,3239075131,9961472,356,,97,,0.356
1630124514,3276869886,9859072,360,,98,,0.36
1630124515,3313378036,9850880,364,,99,,0.364
1630124516,3335469480,10174464,368,,100,,0.368
1630124517,3357545572,9940992,372,,101,,0.372
1630124519,3395493781,10059776,376,,103,,0.376
1630124520,3431288246,9842688,380,,104,,0.38
1630124521,3453511381,10149888,384,,105,,0.384
1630124522,3475053424,10006528,388,,106,,0.388
1630124523,3497386163,9879552,392,,107,,0.392
1630124524,3547188352,9871360,396,,108,,0.396
1630124526,3569400785,10096640,400,,110,,0.4
1630124527,3591894922,10162176,404,,111,,0.404
1630124528,3613458909,9945088,408,,112,,0.408
1630124529,3649165584,10244096,416,,113,,0.416
1630124530,3684492086,10153984,420,,114,,0.42
1630124531,3707776627,10514432,424,,115,,0.424
1630124533,3729800941,10346496,428,,117,,0.428
1630124534,3765311554,10190848,432,,118,,0.432
1630124535,3801509678,10452992,436,,119,,0.436
1630124536,3824358985,10448896,440,,120,,0.44
1630124537,3844708606,10334208,444,,121,,0.444
1630124538,3880156246,10305536,448,,122,,0.448
1630124540,3915639797,10162176,452,,124,,0.452
1630124541,3935491591,10117120,456,,125,,0.456
1630124542,3956879423,10063872,460,,126,,0.46
1630124543,3978753118,10330112,464,,127,,0.464
1630124544,4027041737,10342400,468,,128,,0.468
1630124545,4048054252,10092544,472,,129,,0.472
1630124547,4070272590,10469376,476,,131,,0.476
1630124548,4091356676,10207232,484,,132,,0.484
1630124549,4126591269,10354688,488,,133,,0.488
1630124550,4161118745,10555392,492,,134,,0.492
1630124551,4182577633,10555392,496,,135,,0.496
1630124552,4204917952,10391552,500,,136,,0.5
1630124554,4240582393,10268672,504,,138,,0.504
