timeslot,disk_space
0,28.0
1,28.0
2,-936.0
3,-936.0
4,-936.0
5,-936.0
6,-936.0
7,3884.0
8,2520.0
9,2520.0
10,6212.0
11,6212.0
12,6212.0
13,6212.0
14,6212.0
15,6212.0
16,9096.0
17,10056.0
18,10056.0
19,11016.0
20,11016.0
21,11980.0
22,11980.0
23,11980.0
24,11020.0
25,11020.0
26,14864.0
27,14864.0
28,14864.0
29,14864.0
30,14864.0
31,14864.0
32,17748.0
33,17748.0
34,18708.0
35,19668.0
36,19668.0
37,20632.0
38,20632.0
39,21592.0
40,21592.0
41,21592.0
42,21592.0
43,23516.0
44,24476.0
45,24476.0
46,25440.0
47,25440.0
48,26400.0
49,26400.0
50,25440.0
51,23520.0
52,18716.0
53,8148.0
54,8148.0
55,30244.0
56,30244.0
57,31208.0
58,31208.0
59,30248.0
60,28328.0
61,33128.0
62,32164.0
63,34092.0
64,35052.0
65,35052.0
66,34092.0
67,32172.0
68,32172.0
69,32172.0
70,37936.0
71,36976.0
72,36976.0
73,39860.0
74,39860.0
75,39860.0
76,39860.0
77,41780.0
78,41780.0
79,40816.0
80,43704.0
81,43704.0
82,44664.0
83,44664.0
84,44664.0
85,44664.0
86,44664.0
87,47548.0
88,47548.0
89,46584.0
90,46584.0
91,49472.0
92,49472.0
93,49472.0
94,50436.0
95,50436.0
96,52356.0
97,52356.0
98,51392.0
99,53320.0
100,52360.0
101,54280.0
102,54280.0
103,54280.0
104,56204.0
105,57164.0
106,57164.0
107,58124.0
108,58124.0
109,58124.0
110,59088.0
111,60048.0
112,60048.0
113,59088.0
114,56204.0
115,61972.0
116,62932.0
117,62932.0
118,63892.0
119,63892.0
120,64856.0
121,64856.0
122,65816.0
123,66776.0
124,66776.0
125,67740.0
126,67740.0
127,68700.0
128,68700.0
129,68700.0
130,69660.0
131,70624.0
132,71584.0
133,71584.0
134,72548.0
135,72548.0
136,73508.0
137,73508.0
138,73508.0
139,74468.0
140,75432.0
141,76392.0
142,76392.0
143,77352.0
144,77352.0
145,78316.0
146,78316.0
147,78316.0
