Disk_Usage,Reference_time
199800,0
199804,1
199812,2
199816,3
199820,5
199828,6
199832,7
199840,8
199844,10
199852,11
199856,12
199864,13
199884,15
199888,16
199896,17
199900,18
199908,20
199912,21
199932,22
199940,23
199944,25
199952,26
199960,27
199964,28
199972,29
199976,31
199984,32
199988,33
199996,34
200016,36
200020,37
200028,39
200032,40
200040,41
200044,42
200052,44
200056,45
200060,46
200068,48
200072,49
200076,50
200100,51
200104,53
200108,54
200112,55
200120,57
200124,58
200128,59
200136,61
200140,62
200148,63
200152,64
200160,66
200164,67
200188,68
200192,69
200200,70
200204,72
200212,73
200216,74
200224,75
200228,76
200236,78
200240,79
200248,80
200268,81
200276,82
200280,84
200288,85
200292,86
200300,87
200304,88
200312,90
200316,91
200324,92
200328,93
200352,94
200360,96
200364,97
200372,98
200376,99
200384,100
200388,102
200396,103
200400,104
200408,105
200412,106
200420,108
200440,109
200448,110
200452,111
200460,112
200464,114
200472,115
200480,116
200484,117
200492,119
200496,120
200504,121
200528,122
200532,123
200536,125
200544,126
200552,127
200556,128
200564,130
200568,131
200576,132
200580,133
200584,134
200608,136
200612,137
200620,138
200624,139
200632,140
200636,142
200640,143
200648,144
200652,145
200660,146
200664,148
200672,149
200696,150
200700,151
200708,152
200712,154
200716,155
200724,156
200728,158
200732,159
200740,160
200744,162
200748,163
200756,164
200776,165
200784,167
200788,168
200796,169
200800,170
200808,171
200812,173
200820,174
200824,175
200832,176
200836,177
200860,179
200868,180
200872,181
200880,182
200884,184
200892,185
200896,186
200904,187
200912,188
200916,189
200924,191
200944,192
200952,193
200956,194
200960,195
200968,197
200976,198
200980,199
200984,200
200992,201
201000,203
201004,204
201012,205
201032,206
201040,207
201044,209
201052,210
201056,211
201064,212
201068,213
201072,215
201080,216
201084,217
201092,218
201112,219
201120,221
201124,222
201132,223
201136,224
201144,226
201148,227
201156,228
201160,229
201168,230
201172,232
201180,233
201200,234
201208,235
201212,236
201220,238
201224,239
201232,240
201240,241
201244,242
201252,244
201256,245
201264,246
201284,247
201292,248
201296,250
201304,251
201308,252
201316,253
201320,254
201328,256
201336,257
201340,258
201344,259
201368,260
201376,262
201380,263
201388,264
201392,265
201400,266
201404,267
201412,269
201416,270
201424,271
201432,272
201452,273
201456,275
201464,276
201472,277
201476,278
201480,280
201488,281
201492,282
201496,283
201504,284
201512,286
201516,287
201540,288
201544,289
201552,291
201556,292
201564,293
201568,294
201576,295
201580,297
201588,298
201596,299
201616,300
201624,301
201628,303
201636,304
201644,305
201648,306
201656,307
201660,309
201668,310
201672,311
201680,312
201704,314
201708,315
201716,316
201720,317
201724,319
201732,320
201736,321
201744,322
201752,323
201756,325
201764,326
201784,327
201792,328
201796,329
201804,331
201812,332
201816,333
201824,334
201828,336
201836,337
201840,338
201848,339
201852,341
201872,342
201880,343
201884,344
201892,345
201896,347
201900,348
201908,349
201916,350
201920,351
201924,353
201932,354
201956,355
201964,356
201972,357
201976,359
201984,360
201988,361
201996,362
202000,364
202008,365
202012,366
202020,367
202024,368
202048,370
202052,371
202060,372
202064,373
202072,375
202076,376
202084,377
202088,378
202096,379
202100,381
202108,382
202128,383
202136,384
202140,385
202148,387
202152,388
202160,389
202164,390
202172,391
202176,393
202184,394
202188,395
202192,396
202216,397
202220,399
202228,400
202236,401
202240,402
202244,404
202252,405
202256,406
202264,407
202268,409
202276,410
202300,411
202304,412
202308,414
202320,415
202324,416
202332,417
202336,419
202344,420
202348,421
202356,422
202360,424
202368,425
202388,426
202396,427
202400,428
202408,430
202412,431
202420,432
202424,433
202432,434
202436,436
202444,437
202448,438
203892,440
203900,441
203904,442
203912,443
203916,444
203924,446
203928,447
203936,448
203940,449
203948,450
203952,452
203960,453
211132,454
211140,455
211144,457
211152,458
211156,459
211164,460
211168,462
211172,463
211176,465
211180,466
211184,467
211188,469
211188,470
211192,471
211196,472
211200,474
211204,475
211208,476
211212,478
211216,479
211216,480
211220,482
211224,483
211228,484
211228,486
211232,487
211236,488
211236,490
211240,491
211244,492
211244,494
211248,495
211248,497
211252,498
211256,500
211256,501
211260,502
211264,504
211264,505
211268,506
211272,508
211272,509
211276,510
211280,512
211280,513
211284,515
211288,516
211288,517
211292,519
211292,520
211296,522
211300,523
211300,524
211304,526
211308,527
211308,528
211312,530
211316,531
211316,533
211320,534
211320,535
211324,537
211328,538
211328,539
211332,541
211332,542
211336,544
211340,545
211340,546
211344,548
211344,549
211348,551
211348,552
211352,553
211356,555
211356,556
211360,558
211360,559
211364,561
211364,562
211364,564
211368,566
211372,567
211372,569
211376,570
211376,571
211380,573
211384,574
211384,576
211388,577
211388,578
211392,580
211392,581
211396,583
211396,584
211400,586
211404,587
211404,588
211408,590
211412,591
211416,593
211416,594
211420,595
211424,597
211428,598
211432,599
211432,601
211436,602
211440,603
211444,604
211448,606
211452,607
211456,608
211460,610
211464,611
211468,612
211472,613
211476,615
211480,616
211484,617
211488,619
211488,620
211492,621
211496,623
211500,624
211500,626
211504,627
211508,628
211512,630
211512,631
211516,632
211520,634
211524,635
211528,636
211528,638
