current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
[1053.91123957],0,0,[1053.91123957]
[1153.91123957],[95.60809105],[0.00087838],[1058.30314852]
[1153.91123957],[8.7838179],[0.00087838],[1062.69505747]
[1153.91123957],[13.17572685],[0.00087838],[1067.08696642]
[1153.91123957],[17.5676358],[0.00087838],[1071.47887537]
[1153.91123957],[21.95954475],[0.00087838],[1075.87078432]
[1153.91123957],[26.35145369],[0.00087838],[1080.26269327]
[1153.91123957],[30.74336264],[0.00087838],[1084.65460222]
[1153.91123957],[35.13527159],[0.00087838],[1089.04651117]
[1153.91123957],[39.52718054],[0.00087838],[1093.43842012]
[1153.91123957],[43.91908949],[0.00087838],[1097.83032906]
[1153.91123957],[48.31099844],[0.00087838],[1102.22223801]
[1153.91123957],[52.70290739],[0.00087838],[1106.61414696]
[1153.91123957],[57.09481634],[0.00087838],[1111.00605591]
[1153.91123957],[61.48672529],[0.00087838],[1115.39796486]
[1153.91123957],[65.87863424],[0.00087838],[1119.78987381]
[1153.91123957],[70.27054318],[0.00087838],[1124.18178276]
[1153.91123957],[74.66245213],[0.00087838],[1128.57369171]
[1153.91123957],[79.05436108],[0.00087838],[1132.96560066]
[1153.91123957],[83.44627003],[0.00087838],[1137.35750961]
[1153.91123957],[87.83817898],[0.00087838],[1141.74941855]
[1153.91123957],[92.23008793],[0.00087838],[1146.1413275]
[1153.91123957],[96.62199688],[0.00087838],[1150.53323645]
[1253.91123957],[98.98609417],[0.00108116],[1154.9251454]
[1253.91123957],[5.40581478],[0.00108116],[1159.31705435]
[1253.91123957],[9.79772373],[0.00108116],[1163.7089633]
[1253.91123957],[14.18963267],[0.00108116],[1168.10087225]
[1253.91123957],[18.58154162],[0.00108116],[1172.4927812]
[1253.91123957],[22.97345057],[0.00108116],[1176.88469015]
[1253.91123957],[27.36535952],[0.00108116],[1181.2765991]
[1253.91123957],[31.75726847],[0.00108116],[1185.66850805]
[1253.91123957],[36.14917742],[0.00108116],[1190.06041699]
[1253.91123957],[40.54108637],[0.00108116],[1194.45232594]
[1253.91123957],[44.93299532],[0.00108116],[1198.84423489]
[1253.91123957],[49.32490427],[0.00108116],[1203.23614384]
[1253.91123957],[53.71681322],[0.00108116],[1207.62805279]
[1253.91123957],[58.10872217],[0.00108116],[1212.01996174]
[1253.91123957],[62.50063111],[0.00108116],[1216.41187069]
[1253.91123957],[66.89254006],[0.00108116],[1220.80377964]
[1253.91123957],[71.28444901],[0.00108116],[1225.19568859]
[1253.91123957],[75.67635796],[0.00108116],[1229.58759754]
[1253.91123957],[80.06826691],[0.00108116],[1233.97950648]
[1253.91123957],[84.46017586],[0.00108116],[1238.37141543]
[1253.91123957],[88.85208481],[0.00108116],[1242.76332438]
[1253.91123957],[93.24399376],[0.00108116],[1247.15523333]
[1253.91123957],[97.63590271],[0.00108116],[1251.54714228]
[1353.91123957],[97.97218834],[0.00148673],[1255.93905123]
[1353.91123957],[6.4197206],[0.00148673],[1260.33096018]
[1353.91123957],[10.81162955],[0.00148673],[1264.72286913]
[1353.91123957],[15.2035385],[0.00148673],[1269.11477808]
[1353.91123957],[19.59544745],[0.00148673],[1273.50668703]
[1353.91123957],[23.9873564],[0.00148673],[1277.89859597]
[1353.91123957],[28.37926535],[0.00148673],[1282.29050492]
[1353.91123957],[32.7711743],[0.00148673],[1286.68241387]
[1353.91123957],[37.16308325],[0.00148673],[1291.07432282]
[1353.91123957],[41.5549922],[0.00148673],[1295.46623177]
[1353.91123957],[45.94690115],[0.00148673],[1299.85814072]
[1353.91123957],[50.33881009],[0.00148673],[1304.25004967]
[1353.91123957],[54.73071904],[0.00148673],[1308.64195862]
[1353.91123957],[59.12262799],[0.00148673],[1313.03386757]
[1353.91123957],[63.51453694],[0.00148673],[1317.42577652]
[1353.91123957],[67.90644589],[0.00148673],[1321.81768547]
[1353.91123957],[72.29835484],[0.00148673],[1326.20959441]
[1353.91123957],[76.69026379],[0.00148673],[1330.60150336]
[1353.91123957],[81.08217274],[0.00148673],[1334.99341231]
[1353.91123957],[85.47408169],[0.00148673],[1339.38532126]
[1353.91123957],[89.86599064],[0.00148673],[1343.77723021]
[1353.91123957],[94.25789959],[0.00148673],[1348.16913916]
[1353.91123957],[98.64980853],[0.00148673],[1352.56104811]
[1453.91123957],[96.95828252],[0.00209507],[1356.95295706]
[1453.91123957],[7.43362643],[0.00209507],[1361.34486601]
[1453.91123957],[11.82553538],[0.00209507],[1365.73677496]
[1453.91123957],[16.21744433],[0.00209507],[1370.1286839]
[1453.91123957],[20.60935328],[0.00209507],[1374.52059285]
[1453.91123957],[25.00126223],[0.00209507],[1378.9125018]
[1453.91123957],[29.39317118],[0.00209507],[1383.30441075]
[1453.91123957],[33.78508013],[0.00209507],[1387.6963197]
[1453.91123957],[38.17698908],[0.00209507],[1392.08822865]
[1453.91123957],[42.56889802],[0.00209507],[1396.4801376]
[1453.91123957],[46.96080697],[0.00209507],[1400.87204655]
[1453.91123957],[51.35271592],[0.00209507],[1405.2639555]
[1453.91123957],[55.74462487],[0.00209507],[1409.65586445]
[1453.91123957],[60.13653382],[0.00209507],[1414.0477734]
[1453.91123957],[64.52844277],[0.00209507],[1418.43968234]
[1453.91123957],[68.92035172],[0.00209507],[1422.83159129]
[1453.91123957],[73.31226067],[0.00209507],[1427.22350024]
[1453.91123957],[77.70416962],[0.00209507],[1431.61540919]
[1453.91123957],[82.09607857],[0.00209507],[1436.00731814]
[1453.91123957],[86.48798751],[0.00209507],[1440.39922709]
[1453.91123957],[90.87989646],[0.00209507],[1444.79113604]
[1453.91123957],[95.27180541],[0.00209507],[1449.18304499]
[1453.91123957],[99.66371436],[0.00209507],[1453.57495394]
[1553.91123957],[95.94437669],[0.00290619],[1457.96686289]
[1553.91123957],[8.44753226],[0.00290619],[1462.35877183]
[1553.91123957],[12.83944121],[0.00290619],[1466.75068078]
[1553.91123957],[17.23135016],[0.00290619],[1471.14258973]
[1553.91123957],[21.62325911],[0.00290619],[1475.53449868]
[1553.91123957],[26.01516806],[0.00290619],[1479.92640763]
[1553.91123957],[30.40707701],[0.00290619],[1484.31831658]
