current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
21.896,0,0,21.896
26.896,0.004,1,21.9
26.896,4.992,41,21.904
26.896,4.988,81,21.908
26.896,4.984,121,21.912
26.896,4.98,161,21.916
26.896,4.976,201,21.92
26.896,4.972,241,21.924
26.896,4.968,281,21.928
26.896,4.964,321,21.932
26.896,4.96,361,21.936
26.896,4.952,401,21.944
26.896,4.948,441,21.948
26.896,4.944,481,21.952
26.896,4.94,521,21.956
26.896,4.936,561,21.96
26.896,4.932,601,21.964
26.896,4.928,641,21.968
26.896,4.924,681,21.972
26.896,4.92,721,21.976
26.896,4.916,761,21.98
26.896,4.912,801,21.984
26.896,4.908,841,21.988
26.896,4.904,881,21.992
26.896,4.9,921,21.996
26.896,4.896,961,22
26.896,4.892,1001,22.004
26.896,4.884,1041,22.012
26.896,4.88,1081,22.016
26.896,4.876,1121,22.02
26.896,4.851662,1161,22.044338
26.896,4.847674,1201,22.048326
26.896,4.843704,1241,22.052296
26.896,4.83974,1281,22.05626
26.896,4.835795,1321,22.060205
26.896,4.831846,1361,22.064154
26.896,4.827902,1401,22.068098
26.896,4.137865,1441,22.758135
26.896,4.186283,1481,22.709717
26.896,4.140072,1521,22.755928
26.896,4.122492,1561,22.773508
26.896,4.110285,1601,22.785715
26.896,4.103632,1641,22.792368
26.896,4.098919,1681,22.797081
26.896,4.095053,1721,22.800947
26.896,4.091448,1761,22.804552
26.896,4.087872,1801,22.808128
26.896,4.084227,1841,22.811773
26.896,4.076635,1881,22.819365
26.896,4.07314,1921,22.82286
26.896,4.069054,1961,22.826946
26.896,4.065107,2001,22.830893
26.896,4.061144,2041,22.834856
26.896,4.057207,2081,22.838793
26.896,4.053265,2121,22.842735
26.896,4.049332,2161,22.846668
26.896,4.045376,2201,22.850624
26.896,4.04143,2241,22.85457
26.896,4.037481,2281,22.858519
26.896,4.033533,2321,22.862467
26.896,4.02959,2361,22.86641
26.896,4.025635,2401,22.870365
26.896,4.021692,2441,22.874308
26.896,4.017725,2481,22.878275
26.896,4.009901,2521,22.886099
26.896,4.006245,2561,22.889755
26.896,4.00205,2601,22.89395
26.896,3.998022,2641,22.897978
26.896,3.99403,2681,22.90197
26.896,3.990055,2721,22.905945
26.896,3.986101,2761,22.909899
26.896,3.982145,2801,22.913855
26.896,3.978188,2841,22.917812
26.896,3.97424,2881,22.92176
26.896,3.970282,2921,22.925718
26.896,3.96633,2961,22.92967
26.896,3.962387,3001,22.933613
26.896,3.958424,3041,22.937576
26.896,3.954481,3081,22.941519
26.896,3.946642,3121,22.949358
26.896,3.94298,3161,22.95302
26.896,3.938784,3201,22.957216
26.896,3.934754,3241,22.961246
26.896,3.930748,3281,22.965252
26.896,3.926785,3321,22.969215
26.896,3.922834,3361,22.973166
26.896,3.918867,3401,22.977133
26.896,3.91492,3441,22.98108
26.896,3.910961,3481,22.985039
26.896,3.907,3521,22.989
26.896,3.899176,3561,22.996824
26.896,3.895506,3601,23.000494
26.896,3.891325,3641,23.004675
26.896,3.887283,3681,23.008717
26.896,3.883288,3721,23.012712
26.896,3.87933,3761,23.01667
26.896,3.875364,3801,23.020636
26.896,3.871409,3841,23.024591
26.896,3.867468,3881,23.028532
26.896,3.863514,3921,23.032486
26.896,3.859562,3961,23.036438
26.896,3.8556,4001,23.0404
26.896,3.84778,4041,23.04822
26.896,3.844114,4081,23.051886
26.896,3.839922,4121,23.056078
26.896,3.835888,4161,23.060112
26.896,3.831883,4201,23.064117
26.896,3.82792,4241,23.06808
26.896,3.823954,4281,23.072046
26.896,3.819998,4321,23.076002
26.896,3.816048,4361,23.079952
26.896,3.8121,4401,23.0839
26.896,3.80426,4441,23.09174
26.896,3.800604,4481,23.095396
26.896,3.796414,4521,23.099586
26.896,3.792381,4561,23.103619
26.896,3.788385,4601,23.107615
26.896,3.784416,4641,23.111584
26.896,3.780453,4681,23.115547
26.896,3.776507,4721,23.119493
26.896,3.772558,4761,23.123442
26.896,3.768602,4801,23.127398
26.896,3.764645,4841,23.131355
26.896,3.760689,4881,23.135311
26.896,3.752861,4921,23.143139
26.896,3.74919,4961,23.14681
26.896,3.744997,5001,23.151003
26.896,3.740967,5041,23.155033
26.896,3.736963,5081,23.159037
26.896,3.732998,5121,23.163002
26.896,3.729035,5161,23.166965
26.896,3.72508,5201,23.17092
26.896,3.721129,5241,23.174871
26.896,3.717167,5281,23.178833
26.896,3.713215,5321,23.182785
26.896,3.709269,5361,23.186731
26.896,3.701449,5401,23.194551
26.896,3.697779,5441,23.198221
26.896,3.693579,5481,23.202421
26.896,3.68955,5521,23.20645
26.896,3.685547,5561,23.210453
26.896,3.681583,5601,23.214417
26.896,3.677622,5641,23.218378
26.896,3.67367,5681,23.22233
26.896,3.669708,5721,23.226292
26.896,3.665753,5761,23.230247
26.896,3.661802,5801,23.234198
26.896,3.657858,5841,23.238142
26.896,3.6539,5881,23.2421
26.896,3.649948,5921,23.246052
26.896,3.645987,5961,23.250013
26.896,3.642027,6001,23.253973
26.896,3.634192,6041,23.261808
26.896,3.630531,6081,23.265469
26.896,3.626333,6121,23.269667
26.896,3.622309,6161,23.273691
26.896,3.618305,6201,23.277695
26.896,3.614332,6241,23.281668
26.896,3.610376,6281,23.285624
26.896,3.606423,6321,23.289577
26.896,3.602463,6361,23.293537
26.896,3.59852,6401,23.29748
26.896,3.59456,6441,23.30144
26.896,3.590603,6481,23.305397
26.896,3.58665,6521,23.30935
26.896,3.5827,6561,23.3133
26.896,3.578745,6601,23.317255
26.896,3.574787,6641,23.321213
26.896,3.570831,6681,23.325169
26.896,3.562988,6721,23.333012
26.896,3.55932,6761,23.33668
26.896,3.555126,6801,23.340874
26.896,3.551098,6841,23.344902
26.896,3.547087,6881,23.348913
26.896,3.543121,6921,23.352879
26.896,3.539162,6961,23.356838
26.896,3.53522,7001,23.36078
26.896,3.53126,7041,23.36474
26.896,3.527302,7081,23.368698
26.896,3.523361,7121,23.372639
26.896,3.519396,7161,23.376604
26.896,3.51544,7201,23.38056
26.896,3.511475,7241,23.384525
26.896,3.50753,7281,23.38847
26.896,3.499683,7321,23.396317
26.896,3.496035,7361,23.399965
26.896,3.49184,7401,23.40416
26.896,3.487808,7441,23.408192
26.896,3.483805,7481,23.412195
26.896,3.479832,7521,23.416168
26.896,3.47586,7561,23.42014
26.896,3.471914,7601,23.424086
26.896,3.467955,7641,23.428045
26.896,3.464008,7681,23.431992
26.896,3.460049,7721,23.435951
26.896,3.456099,7761,23.439901
26.896,3.452143,7801,23.443857
26.896,3.448181,7841,23.447819
26.896,3.440342,7881,23.455658
26.896,3.43668,7921,23.45932
26.896,3.43248,7961,23.46352
26.896,3.428457,8001,23.467543
26.896,3.424448,8041,23.471552
26.896,3.420477,8081,23.475523
26.896,3.416508,8121,23.479492
26.896,3.412567,8161,23.483433
26.896,3.40861,8201,23.48739
26.896,3.404665,8241,23.491335
26.896,3.400704,8281,23.495296
26.896,3.396744,8321,23.499256
26.896,3.39279,8361,23.50321
26.896,3.388834,8401,23.507166
26.896,3.384873,8441,23.511127
26.896,3.377037,8481,23.518963
26.896,3.373373,8521,23.522627
26.896,3.369186,8561,23.526814
26.896,3.365154,8601,23.530846
26.896,3.36114,8641,23.53486
26.896,3.357176,8681,23.538824
26.896,3.353214,8721,23.542786
26.896,3.349257,8761,23.546743
26.896,3.345293,8801,23.550707
26.896,3.341343,8841,23.554657
26.896,3.337391,8881,23.558609
26.896,3.333433,8921,23.562567
26.896,3.329477,8961,23.566523
26.896,3.325516,9001,23.570484
26.896,3.321568,9041,23.574432
26.896,3.31372,9081,23.58228
26.896,3.310057,9121,23.585943
26.896,3.305863,9161,23.590137
26.896,3.301838,9201,23.594162
26.896,3.297834,9241,23.598166
26.896,3.29387,9281,23.60213
26.896,3.289898,9321,23.606102
26.896,3.285944,9361,23.610056
26.896,3.281992,9401,23.614008
26.896,3.278038,9441,23.617962
26.896,3.274082,9481,23.621918
26.896,3.27012,9521,23.62588
26.896,3.266161,9561,23.629839
26.896,3.262215,9601,23.633785
26.896,3.258251,9641,23.637749
26.896,3.250408,9681,23.645592
26.896,3.246744,9721,23.649256
26.896,3.24256,9761,23.65344
26.896,3.238522,9801,23.657478
26.896,3.234518,9841,23.661482
26.896,3.230541,9881,23.665459
26.896,3.22659,9921,23.66941
26.896,3.222624,9961,23.673376
26.896,3.218666,10001,23.677334
26.896,3.214707,10041,23.681293
26.896,3.210753,10081,23.685247
26.896,3.206797,10121,23.689203
26.896,3.202843,10161,23.693157
26.896,3.195,10201,23.701
26.896,3.191341,10241,23.704659
26.896,3.187153,10281,23.708847
26.896,3.183115,10321,23.712885
26.896,3.179113,10361,23.716887
26.896,3.175146,10401,23.720854
26.896,3.171173,10441,23.724827
26.896,3.167221,10481,23.728779
26.896,3.163263,10521,23.732737
26.896,3.159315,10561,23.736685
26.896,3.155357,10601,23.740643
26.896,3.151398,10641,23.744602
26.896,3.147455,10681,23.748545
26.896,3.143488,10721,23.752512
