fixed_storage_allocation,unused_allocated_disk_space,total_downtime,predicted_disk_space
203687.3561,0,0,203687.3561
203787.3561,93.77683435,0.00124463,203693.5793
203787.3561,93.77683435,0.00124463,203699.8025
203787.3561,93.77683435,0.00124463,203706.0256
203787.3561,93.77683435,0.00124463,203712.2488
203787.3561,93.77683435,0.00124463,203718.472
203787.3561,93.77683435,0.00124463,203724.6951
203787.3561,93.77683435,0.00124463,203730.9183
203787.3561,93.77683435,0.00124463,203737.1415
203787.3561,93.77683435,0.00124463,203743.3646
203787.3561,93.77683435,0.00124463,203749.5878
203787.3561,93.77683435,0.00124463,203755.811
203787.3561,93.77683435,0.00124463,203762.0341
203787.3561,93.77683435,0.00124463,203768.2573
203787.3561,93.77683435,0.00124463,203774.4805
203787.3561,93.77683435,0.00124463,203780.7036
203787.3561,93.77683435,0.00124463,203786.9268
203887.3561,187.9830184,0.0024034,203793.15
203887.3561,187.9830184,0.0024034,203799.3731
203887.3561,187.9830184,0.0024034,203805.5963
203887.3561,187.9830184,0.0024034,203811.8195
203887.3561,187.9830184,0.0024034,203818.0426
203887.3561,187.9830184,0.0024034,203824.2658
203887.3561,187.9830184,0.0024034,203830.489
203887.3561,187.9830184,0.0024034,203836.7121
203887.3561,187.9830184,0.0024034,203842.9353
203887.3561,187.9830184,0.0024034,203849.1584
203887.3561,187.9830184,0.0024034,203855.3816
203887.3561,187.9830184,0.0024034,203861.6048
203887.3561,187.9830184,0.0024034,203867.8279
203887.3561,187.9830184,0.0024034,203874.0511
203887.3561,187.9830184,0.0024034,203880.2743
203887.3561,187.9830184,0.0024034,203886.4974
203987.3561,282.618552,0.00347629,203892.7206
203987.3561,282.618552,0.00347629,203898.9438
203987.3561,282.618552,0.00347629,203905.1669
203987.3561,282.618552,0.00347629,203911.3901
203987.3561,282.618552,0.00347629,203917.6133
203987.3561,282.618552,0.00347629,203923.8364
203987.3561,282.618552,0.00347629,203930.0596
203987.3561,282.618552,0.00347629,203936.2828
203987.3561,282.618552,0.00347629,203942.5059
203987.3561,282.618552,0.00347629,203948.7291
203987.3561,282.618552,0.00347629,203954.9523
203987.3561,282.618552,0.00347629,203961.1754
203987.3561,282.618552,0.00347629,203967.3986
203987.3561,282.618552,0.00347629,203973.6218
203987.3561,282.618552,0.00347629,203979.8449
203987.3561,282.618552,0.00347629,203986.0681
204087.3561,377.6834353,0.00446331,203992.2913
204087.3561,377.6834353,0.00446331,203998.5144
204087.3561,377.6834353,0.00446331,204004.7376
204087.3561,377.6834353,0.00446331,204010.9608
204087.3561,377.6834353,0.00446331,204017.1839
204087.3561,377.6834353,0.00446331,204023.4071
204087.3561,377.6834353,0.00446331,204029.6303
204087.3561,377.6834353,0.00446331,204035.8534
204087.3561,377.6834353,0.00446331,204042.0766
204087.3561,377.6834353,0.00446331,204048.2998
204087.3561,377.6834353,0.00446331,204054.5229
204087.3561,377.6834353,0.00446331,204060.7461
204087.3561,377.6834353,0.00446331,204066.9692
204087.3561,377.6834353,0.00446331,204073.1924
204087.3561,377.6834353,0.00446331,204079.4156
204087.3561,377.6834353,0.00446331,204085.6387
204187.3561,473.1776683,0.00536447,204091.8619
204187.3561,473.1776683,0.00536447,204098.0851
204187.3561,473.1776683,0.00536447,204104.3082
204187.3561,473.1776683,0.00536447,204110.5314
204187.3561,473.1776683,0.00536447,204116.7546
