current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space,,,
199724,0,0,199724,,,
204724,4992,1,199732,,,
204724,4980,1,199744,,,
204724,4976,1,199748,,,
204724,4968,1,199756,,,
204724,4960,1,199764,,,
204724,4956,1,199768,,,
204724,4948,1,199776,,,
204724,4944,1,199780,,,
204724,4936,1,199788,,,
204724,4928,1,199796,,,
204724,4916,1,199808,,,
204724,4908,1,199816,,,
204724,4904,1,199820,,,
204724,4896,1,199828,,,
204724,4888,1,199836,,,
204724,4872,1,199852,,,
204724,4864,1,199860,,,
204724,4856,1,199868,,,
204724,4852,1,199872,,,
204724,4844,1,199880,,,
204724,4840,1,199884,,,
204724,4832,1,199892,,,
204724,4824,1,199900,,,
204724,4820,1,199904,,,
204724,4812,1,199912,,,
204724,4804,1,199920,,,
204724,4792,1,199932,,,
204724,4784,1,199940,,,
204724,4780,1,199944,,,
204724,4772,1,199952,,,
204724,4764,1,199960,,,
204724,4756,1,199968,,,
204724,4752,1,199972,,,
204724,4744,1,199980,,,
204724,4736,1,199988,,,
204724,4732,1,199992,,,
204724,4724,1,200000,,,
204724,4708,1,200016,,,
204724,4704,1,200020,,,
204724,4696,1,200028,,,
204724,4692,1,200032,,,
204724,4684,1,200040,,,
204724,4676,1,200048,,,
204724,4672,1,200052,,,
204724,4664,1,200060,,,
204724,4656,1,200068,,,
204724,4652,1,200072,,,
204724,4644,1,200080,,,
204724,4628,1,200096,,,
204724,4624,1,200100,,,
204724,4616,1,200108,,,
204724,4608,1,200116,,,
204724,4604,1,200120,,,
204724,4596,1,200128,,,
204724,4592,1,200132,,,
204724,4584,1,200140,,,
204724,4576,1,200148,,,
204724,4572,1,200152,,,
204724,4564,1,200160,,,
204724,4556,1,200168,,,
204724,4544,1,200180,,,
204724,4536,1,200188,,,
204724,4532,1,200192,,,
204724,4524,1,200200,,,
204724,4520,1,200204,,,
204724,4512,1,200212,,,
204724,4504,1,200220,,,
204724,4500,1,200224,,,
204724,4492,1,200232,,,
204724,4484,1,200240,,,
204724,4480,1,200244,,,
204724,4464,1,200260,,,
204724,4456,1,200268,,,
204724,4452,1,200272,,,
204724,4444,1,200280,,,
204724,4440,1,200284,,,
204724,4432,1,200292,,,
204724,4424,1,200300,,,
204724,4420,1,200304,,,
204724,4412,1,200312,,,
204724,4408,1,200316,,,
204724,4400,1,200324,,,
204724,4384,1,200340,,,
204724,4380,1,200344,,,
204724,4372,1,200352,,,
204724,4364,1,200360,,,
204724,4360,1,200364,,,
204724,4352,1,200372,,,
204724,4348,1,200376,,,
204724,4340,1,200384,,,
204724,4336,1,200388,,,
204724,4328,1,200396,,,
204724,4320,1,200404,,,
204724,4308,1,200416,,,
204724,4300,1,200424,,,
204724,4292,1,200432,,,
204724,4288,1,200436,,,
204724,4280,1,200444,,,
204724,4276,1,200448,,,
204724,4268,1,200456,,,
204724,4260,1,200464,,,
204724,4256,1,200468,,,
204724,4248,1,200476,,,
204724,4244,1,200480,,,
204724,4236,1,200488,,,
204724,4220,1,200504,,,
204724,4216,1,200508,,,
204724,4208,1,200516,,,
204724,4204,1,200520,,,
204724,4196,1,200528,,,
204724,4188,1,200536,,,
204724,4184,1,200540,,,
204724,4176,1,200548,,,
204724,4172,1,200552,,,
204724,4164,1,200560,,,
204724,4156,1,200568,,,
204724,4144,1,200580,,,
204724,4136,1,200588,,,
204724,4128,1,200596,,,
204724,4124,1,200600,,,
204724,4116,1,200608,,,
204724,4112,1,200612,,,
204724,4104,1,200620,,,
204724,4096,1,200628,,,
204724,4092,1,200632,,,
204724,4084,1,200640,,,
204724,4080,1,200644,,,
204724,4064,1,200660,,,
204724,4056,1,200668,,,
204724,4052,1,200672,,,
204724,4044,1,200680,,,
204724,4036,1,200688,,,
204724,4032,1,200692,,,
204724,4024,1,200700,,,
204724,4020,1,200704,,,
204724,4012,1,200712,,,
204724,4004,1,200720,,,
204724,4000,1,200724,,,
204724,3984,1,200740,,,
204724,3980,1,200744,,,
204724,3972,1,200752,,,
204724,3964,1,200760,,,
204724,3960,1,200764,,,
204724,3952,1,200772,,,
204724,3944,1,200780,,,
204724,3940,1,200784,,,
204724,3932,1,200792,,,
204724,3924,1,200800,,,
204724,3920,1,200804,,,
204724,3912,1,200812,,,
204724,3900,1,200824,,,
204724,3892,1,200832,,,
204724,3884,1,200840,,,
204724,3880,1,200844,,,
204724,3872,1,200852,,,
204724,3868,1,200856,,,
204724,3860,1,200864,,,
204724,3852,1,200872,,,
204724,3848,1,200876,,,
204724,3840,1,200884,,,
204724,3836,1,200888,,,
204724,3820,1,200904,,,
204724,3812,1,200912,,,
204724,3808,1,200916,,,
204724,3800,1,200924,,,
204724,3796,1,200928,,,
204724,3788,1,200936,,,
204724,3780,1,200944,,,
204724,3776,1,200948,,,
204724,3768,1,200956,,,
204724,3760,1,200964,,,
204724,3756,1,200968,,,
204724,3740,1,200984,,,
204724,3732,1,200992,,,
204724,3728,1,200996,,,
204724,3720,1,201004,,,
204724,3716,1,201008,,,
204724,3708,1,201016,,,
204724,3700,1,201024,,,
204724,3696,1,201028,,,
204724,3688,1,201036,,,
204724,3680,1,201044,,,
204724,3676,1,201048,,,
204724,3660,1,201064,,,
204724,3656,1,201068,,,
204724,3648,1,201076,,,
204724,3640,1,201084,,,
204724,3636,1,201088,,,
204724,3628,1,201096,,,
204724,3620,1,201104,,,
204724,3616,1,201108,,,
204724,3608,1,201116,,,
204724,3604,1,201120,,,
204724,3596,1,201128,,,
204724,3580,1,201144,,,
204724,3576,1,201148,,,
204724,3568,1,201156,,,
204724,3560,1,201164,,,
