timeslot,disk_space
0,203687.0
1,203694.0
2,203700.0
3,203706.0
4,203712.0
5,203718.0
6,203725.0
7,203725.0
8,203737.0
9,203743.0
10,203750.0
11,203756.0
12,203762.0
13,203768.0
14,203774.0
15,203781.0
16,203787.0
17,203793.0
18,203799.0
19,203806.0
20,203812.0
21,203818.0
22,203824.0
23,203830.0
24,203837.0
25,203843.0
26,203849.0
27,203855.0
28,203862.0
29,203868.0
30,203874.0
31,203880.0
32,203886.0
33,203893.0
34,203899.0
35,203905.0
36,203911.0
37,203918.0
38,203924.0
39,203930.0
40,203936.0
41,203943.0
42,203949.0
43,203955.0
44,203961.0
45,203967.0
46,203974.0
47,203980.0
48,203986.0
49,203992.0
50,203999.0
51,204005.0
52,204011.0
53,204017.0
54,204023.0
55,204030.0
56,204036.0
57,204042.0
58,204048.0
59,204055.0
60,204061.0
61,204067.0
62,204073.0
63,204079.0
64,204086.0
65,204092.0
66,204098.0
67,204104.0
68,204111.0
69,204117.0
70,204123.0
71,204129.0
72,204135.0
73,204142.0
74,204148.0
75,204154.0
76,204160.0
77,204167.0
78,204173.0
79,204179.0
80,204185.0
81,204191.0
82,204198.0
83,204204.0
84,204210.0
85,204216.0
86,204223.0
87,204229.0
88,204235.0
89,204241.0
90,204247.0
91,204254.0
92,204260.0
93,204266.0
94,204272.0
95,204279.0
96,204285.0
97,204291.0
98,204297.0
99,204303.0
100,204310.0
101,204316.0
102,204322.0
103,204328.0
104,204335.0
105,204341.0
106,204347.0
107,204353.0
108,204359.0
109,204366.0
110,204372.0
111,204378.0
112,204384.0
113,204391.0
114,204397.0
115,204403.0
116,204409.0
117,204415.0
118,204422.0
119,204428.0
120,204434.0
121,204440.0
122,204447.0
123,204453.0
124,204459.0
125,204465.0
126,204471.0
127,204478.0
128,204484.0
129,204490.0
130,204496.0
131,204503.0
132,204509.0
133,204515.0
134,204521.0
135,204527.0
136,204534.0
137,204540.0
138,204546.0
139,204552.0
140,204559.0
141,204565.0
142,204571.0
143,204577.0
144,204583.0
145,204590.0
146,204596.0
147,204602.0
148,204608.0
149,204615.0
150,204621.0
151,204627.0
152,204633.0
153,204640.0
154,204646.0
155,204652.0
156,204658.0
157,204664.0
158,204671.0
159,204677.0
160,204683.0
161,204689.0
162,204696.0
163,204702.0
164,204708.0
165,204714.0
166,204720.0
167,204727.0
168,204733.0
169,204739.0
170,204745.0
171,204752.0
172,204758.0
173,204764.0
174,204770.0
175,204776.0
176,204783.0
177,204789.0
178,204795.0
179,204801.0
180,204808.0
181,204814.0
182,204820.0
183,204826.0
184,204832.0
185,204839.0
186,204845.0
187,204851.0
188,204857.0
189,204864.0
190,204870.0
191,204876.0
192,204882.0
193,204888.0
194,204895.0
195,204901.0
196,204907.0
197,204913.0
198,204920.0
199,204926.0
200,204932.0
201,204938.0
202,204944.0
203,204951.0
204,204957.0
205,204963.0
206,204969.0
207,204976.0
208,204982.0
209,204988.0
210,204994.0
211,205000.0
212,205007.0
213,205013.0
214,205019.0
215,205025.0
216,205032.0
217,205038.0
218,205044.0
219,205050.0
220,205056.0
221,205063.0
222,205069.0
223,205075.0
224,205081.0
225,205088.0
226,205094.0
227,205100.0
228,205106.0
229,205112.0
230,205119.0
231,205125.0
232,205131.0
233,205137.0
234,205144.0
235,205150.0
236,205156.0
237,205162.0
238,205168.0
239,205175.0
240,205181.0
241,205187.0
242,205193.0
243,205200.0
244,205206.0
245,205212.0
246,205218.0
247,205224.0
248,205231.0
249,205237.0
250,205243.0
251,205249.0
252,205256.0
253,205262.0
254,205268.0
255,205274.0
256,205280.0
257,205287.0
258,205293.0
259,205299.0
260,205305.0
261,205312.0
262,205318.0
263,205324.0
264,205330.0
265,205336.0
266,205343.0
267,205349.0
268,205355.0
269,205361.0
270,205368.0
271,205374.0
272,205380.0
273,205386.0
274,205393.0
275,205399.0
276,205405.0
277,205411.0
278,205417.0
279,205424.0
280,205430.0
281,205436.0
282,205442.0
283,205449.0
284,205455.0
285,205461.0
286,205467.0
287,205473.0
288,205480.0
289,205486.0
290,205492.0
291,205498.0
292,205505.0
293,205511.0
294,205517.0
295,205523.0
296,205529.0
297,205536.0
298,205542.0
299,205548.0
300,205554.0
301,205561.0
302,205567.0
303,205573.0
304,205579.0
305,205585.0
306,205592.0
307,205598.0
308,205604.0
309,205610.0
310,205617.0
311,205623.0
312,205629.0
313,205635.0
314,205641.0
315,205648.0
316,205654.0
317,205660.0
318,205666.0
319,205673.0
320,205679.0
321,205685.0
322,205691.0
323,205697.0
324,205704.0
325,205710.0
326,205716.0
327,205722.0
328,205729.0
329,205735.0
330,205741.0
331,205747.0
332,205753.0
333,205760.0
334,205766.0
335,205772.0
336,205778.0
337,205785.0
338,205791.0
339,205797.0
340,205803.0
341,205809.0
342,205816.0
343,205822.0
344,205828.0
345,205834.0
346,205841.0
347,205847.0
348,205853.0
349,205859.0
350,205865.0
351,205872.0
352,205878.0
353,205884.0
354,205890.0
355,205897.0
356,205903.0
357,205909.0
358,205915.0
359,205921.0
360,205928.0
361,205934.0
362,205940.0
363,205946.0
364,205953.0
365,205959.0
366,205965.0
367,205971.0
368,205977.0
369,205984.0
370,205990.0
371,205996.0
372,206002.0
373,206009.0
374,206015.0
375,206021.0
376,206027.0
377,206033.0
378,206040.0
379,206046.0
380,206052.0
381,206058.0
382,206065.0
383,206071.0
384,206077.0
385,206083.0
386,206089.0
387,206096.0
388,206102.0
389,206108.0
390,206114.0
391,206121.0
392,206127.0
393,206133.0
394,206139.0
395,206146.0
396,206152.0
397,206158.0
398,206164.0
399,206170.0
400,206177.0
401,206183.0
402,206189.0
403,206195.0
404,206202.0
405,206208.0
406,206214.0
407,206220.0
408,206226.0
409,206233.0
410,206239.0
411,206245.0
412,206251.0
413,206258.0
414,206264.0
415,206270.0
416,206276.0
417,206282.0
418,206289.0
419,206295.0
420,206301.0
421,206307.0
422,206314.0
423,206320.0
424,206326.0
425,206332.0
426,206338.0
427,206345.0
428,206351.0
429,206357.0
430,206363.0
431,206370.0
432,206376.0
433,206382.0
434,206388.0
435,206394.0
436,206401.0
437,206407.0
438,206413.0
439,206419.0
440,206426.0
441,206432.0
442,206438.0
443,206444.0
444,206450.0
