current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
0.004,0,0,0.004
5.004,0.004,1,0.008
5.004,4.9879999999999995,1,0.016
5.004,4.976,1,0.027999999999999997
5.004,4.968,1,0.036000000000000004
5.004,4.9559999999999995,1,0.048
5.004,4.9479999999999995,1,0.055999999999999994
5.004,4.936,1,0.068
5.004,4.9239999999999995,1,0.08
5.004,4.9159999999999995,1,0.08800000000000001
5.004,4.904,1,0.1
5.004,4.8919999999999995,1,0.11199999999999999
5.004,4.8839999999999995,1,0.12
5.004,4.872,1,0.132
5.004,4.859999999999999,1,0.14400000000000002
5.004,4.851999999999999,1,0.152
5.004,4.84,1,0.16399999999999998
5.004,4.827999999999999,1,0.17600000000000002
5.004,4.816,1,0.188
5.004,4.808,1,0.196
5.004,4.795999999999999,1,0.20800000000000002
5.004,4.784,1,0.22
5.004,4.776,1,0.228
5.004,4.763999999999999,1,0.24
5.004,4.752,1,0.252
5.004,4.739999999999999,1,0.264
5.004,4.731999999999999,1,0.272
5.004,4.72,1,0.284
5.004,4.707999999999999,1,0.29600000000000004
5.004,4.52027672,1,0.48372328
5.004,4.507539469999999,1,0.49646053
5.004,4.49744164,1,0.50655836
5.004,4.488936829999999,1,0.51506317
5.004,4.476179599999999,1,0.5278204000000001
5.004,4.4661216999999995,1,0.5378783
5.004,4.457610239999999,1,0.54638976
5.004,4.444886299999999,1,0.5591136999999999
5.004,4.4348284499999995,1,0.56917155
5.004,4.423210999999999,1,0.580789
5.004,4.414679499999999,1,0.5893205
5.004,4.401988899999999,1,0.6020111
5.004,4.391797799999999,1,0.6122022
5.004,4.3801869,1,0.6238130999999999
5.004,4.368576099999999,1,0.6354239
5.004,4.360024599999999,1,0.6439754
5.004,4.347200699999999,1,0.6567993000000001
5.004,4.3370095399999995,1,0.66699046
5.004,4.32541876,1,0.67858124
5.004,4.31685393,1,0.68714607
5.004,4.3040967,1,0.6999033
5.004,4.29395216,1,0.71004784
5.004,4.285400699999999,1,0.7185993
5.004,4.272636759999999,1,0.73136324
5.004,4.26565164,1,0.73834836
5.004,4.2528944,1,0.7511055999999999
5.004,4.24282985,1,0.76117015
5.004,4.23440503,1,0.76959497
5.004,4.221674429999999,1,0.78232557
5.004,4.2116432999999995,1,0.7923566999999999
5.004,4.2000391,1,0.8039609000000001
5.004,4.191547559999999,1,0.81245244
5.004,4.1788037,1,0.8251963
5.004,4.168639199999999,1,0.8353608
5.004,4.160114399999999,1,0.8438856
5.004,4.1473238,1,0.8566761999999999
5.004,4.137252599999999,1,0.8667474000000001
5.004,4.1256352,1,0.8783648000000001
5.004,4.1171237,1,0.8868763000000001
5.004,4.104373099999999,1,0.8996269
5.004,4.094181949999999,1,0.90981805
5.004,4.082591099999999,1,0.9214089
5.004,4.070973599999999,1,0.9330264000000001
5.004,4.062462139999999,1,0.94153786
5.004,4.04957824,1,0.95442176
5.004,4.039387099999999,1,0.9646129000000001
5.004,4.027756269999999,1,0.97624373
5.004,4.016138799999999,1,0.9878611999999999
5.004,4.007620599999999,1,0.9963794
5.004,3.9947567999999998,1,1.0092431999999998
5.004,3.9845654999999995,1,1.0194345
5.004,3.9729013999999996,1,1.0310986
5.004,3.9644033,1,1.0395967
5.004,3.9516193,1,1.0523806999999998
5.004,3.941454899999999,1,1.0625451000000001
5.004,3.929804,1,1.074196
5.004,3.9212791999999994,1,1.0827208000000001
5.004,3.9085019999999995,1,1.0954979999999999
5.004,3.8983641999999996,1,1.1056358
5.004,3.8867065999999997,1,1.1172933999999999
5.004,3.8750958999999994,1,1.1289041000000002
5.004,3.8665709999999995,1,1.137429
5.004,3.8536937999999994,1,1.1503062
5.004,3.8435093999999994,1,1.1604906000000001
5.004,3.8318984999999994,1,1.1721015
5.004,3.8202343999999995,1,1.1837656
5.004,3.8117361999999995,1,1.1922638
5.004,3.798838999999999,1,1.2051610000000001
5.004,3.7886477999999997,1,1.2153521999999999
5.004,3.7801163999999994,1,1.2238836000000002
5.004,3.7673324999999993,1,1.2366675
5.004,3.7572611999999994,1,1.2467388000000001
5.004,3.7456237999999997,1,1.2583761999999998
5.004,3.7371122999999997,1,1.2668877
5.004,3.724354999999999,1,1.2796450000000001
5.004,3.7141838999999996,1,1.2898161
5.004,3.7056457,1,1.2983543
5.004,3.6928684999999994,1,1.3111315000000001
5.004,3.682784,1,1.321216
5.004,3.6711797999999995,1,1.3328202
5.004,3.6595423999999994,1,1.3444576000000001
5.004,3.6510441999999994,1,1.3529558000000002
5.004,3.6381802999999993,1,1.3658197
5.004,3.6279823999999996,1,1.3760176000000002
