current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
1184,0,0,1184
6184,4,1,1188
6184,4992,1,1192
6184,4988,1,1196
6184,4984,1,1200
6184,4980,1,1204
6184,4976,1,1208
6184,4972,1,1212
6184,4968,1,1216
6184,4964,1,1220
6184,4960,1,1224
6184,4956,1,1228
6184,4952,1,1232
6184,4944,1,1240
6184,4940,1,1244
6184,4936,1,1248
6184,4932,1,1252
6184,4928,1,1256
6184,4924,1,1260
6184,4920,1,1264
6184,4916,1,1268
6184,4912,1,1272
6184,4908,1,1276
6184,4904,1,1280
6184,4900,1,1284
6184,4896,1,1288
6184,4892,1,1292
6184,4888,1,1296
6184,4884,1,1300
6184,4880,1,1304
6184,4876,1,1308
6184,4872,1,1312
6184,4868,1,1316
6184,4864,1,1320
6184,4860,1,1324
6184,4856,1,1328
6184,4852,1,1332
6184,4848,1,1336
6184,4844,1,1340
6184,4840,1,1344
6184,4836,1,1348
6184,4832,1,1352
6184,4828,1,1356
6184,4824,1,1360
6184,4816,1,1368
6184,4816,1,1368
6184,4812,1,1372
6184,4808,1,1376
6184,4804,1,1380
6184,4800,1,1384
6184,4792,1,1392
6184,4788,1,1396
6184,4784,1,1400
6184,4780,1,1404
6184,4776,1,1408
6184,4772,1,1412
6184,4768,1,1416
6184,4764,1,1420
6184,4760,1,1424
6184,4756,1,1428
6184,4752,1,1432
6184,4748,1,1436
6184,4744,1,1440
6184,4544,1,1640
6184,4540,1,1644
6184,4536,1,1648
6184,4532,1,1652
6184,4528,1,1656
6184,4524,1,1660
6184,4520,1,1664
6184,4516,1,1668
6184,4512,1,1672
6184,4508,1,1676
6184,4504,1,1680
6184,4500,1,1684
6184,4496,1,1688
6184,4492,1,1692
6184,4488,1,1696
6184,4484,1,1700
6184,4480,1,1704
6184,4476,1,1708
6184,4472,1,1712
6184,4468,1,1716
6184,4464,1,1720
6184,4460,1,1724
6184,4456,1,1728
6184,4448,1,1736
6184,4444,1,1740
6184,4440,1,1744
6184,4436,1,1748
6184,4432,1,1752
6184,4428,1,1756
6184,4424,1,1760
6184,4420,1,1764
6184,4416,1,1768
6184,4412,1,1772
6184,4408,1,1776
6184,4404,1,1780
6184,4400,1,1784
6184,4396,1,1788
6184,4392,1,1792
6184,4388,1,1796
6184,4384,1,1800
6184,4380,1,1804
6184,4376,1,1808
6184,4372,1,1812
6184,4368,1,1816
6184,4364,1,1820
6184,4360,1,1824
6184,4356,1,1828
6184,4352,1,1832
6184,4348,1,1836
6184,4344,1,1840
6184,4340,1,1844
6184,4336,1,1848
6184,4332,1,1852
6184,4328,1,1856
6184,4324,1,1860
6184,4320,1,1864
6184,4316,1,1868
6184,4312,1,1872
6184,4308,1,1876
6184,4304,1,1880
6184,4300,1,1884
6184,4296,1,1888
6184,4292,1,1892
6184,4288,1,1896
6184,4284,1,1900
6184,4280,1,1904
6184,4272,1,1912
6184,4268,1,1916
6184,4264,1,1920
6184,4260,1,1924
6184,4256,1,1928
6184,4252,1,1932
6184,4248,1,1936
6184,4244,1,1940
6184,4240,1,1944
6184,4236,1,1948
6184,4232,1,1952
6184,4228,1,1956
6184,4224,1,1960
6184,4220,1,1964
6184,4216,1,1968
6184,4212,1,1972
6184,4208,1,1976
6184,4204,1,1980
6184,4200,1,1984
6184,4196,1,1988
6184,4192,1,1992
6184,4188,1,1996
6184,4184,1,2000
6184,4180,1,2004
6184,4176,1,2008
6184,4172,1,2012
6184,4168,1,2016
6184,4164,1,2020
6184,4160,1,2024
6184,4156,1,2028
6184,4152,1,2032
6184,4148,1,2036
6184,4144,1,2040
6184,4140,1,2044
6184,4136,1,2048
6184,4132,1,2052
6184,4128,1,2056
6184,4124,1,2060
6184,4120,1,2064
6184,4116,1,2068
6184,4112,1,2072
6184,4104,1,2080
6184,4100,1,2084
6184,4096,1,2088
6184,4092,1,2092
6184,4088,1,2096
6184,4084,1,2100
6184,4080,1,2104
6184,4076,1,2108
6184,4072,1,2112
6184,4068,1,2116
6184,4064,1,2120
6184,4060,1,2124
6184,4056,1,2128
6184,4052,1,2132
6184,4048,1,2136
6184,4044,1,2140
6184,4040,1,2144
6184,4036,1,2148
6184,4032,1,2152
6184,4028,1,2156
6184,4024,1,2160
6184,4020,1,2164
6184,4016,1,2168
6184,4012,1,2172
6184,4008,1,2176
6184,4004,1,2180
6184,4000,1,2184
6184,3996,1,2188
6184,3992,1,2192
6184,3988,1,2196
6184,3984,1,2200
6184,3980,1,2204
6184,3976,1,2208
6184,3972,1,2212
6184,3968,1,2216
6184,3964,1,2220
6184,3964,1,2220
6184,3960,1,2224
6184,3956,1,2228
6184,3952,1,2232
6184,3948,1,2236
6184,3944,1,2240
6184,3940,1,2244
6184,3936,1,2248
6184,3932,1,2252
6184,3928,1,2256
6184,3924,1,2260
6184,3920,1,2264
6184,3916,1,2268
6184,3912,1,2272
6184,3908,1,2276
6184,3904,1,2280
6184,3900,1,2284
6184,3896,1,2288
6184,3892,1,2292
6184,3888,1,2296
6184,3884,1,2300
6184,3880,1,2304
6184,3876,1,2308
6184,3872,1,2312
6184,3868,1,2316
6184,3864,1,2320
6184,3860,1,2324
6184,3856,1,2328
6184,3852,1,2332
6184,3848,1,2336
6184,3844,1,2340
6184,3836,1,2348
6184,3832,1,2352
6184,3828,1,2356
6184,3824,1,2360
6184,3820,1,2364
6184,3816,1,2368
6184,3812,1,2372
6184,3808,1,2376
6184,3804,1,2380
6184,3800,1,2384
6184,3796,1,2388
6184,3792,1,2392
6184,3788,1,2396
6184,3784,1,2400
6184,3780,1,2404
6184,3776,1,2408
6184,3772,1,2412
6184,3768,1,2416
6184,3764,1,2420
6184,3760,1,2424
6184,3756,1,2428
6184,3752,1,2432
6184,3748,1,2436
6184,3744,1,2440
6184,3740,1,2444
6184,3736,1,2448
6184,3732,1,2452
6184,3728,1,2456
6184,3724,1,2460
6184,3720,1,2464
6184,3716,1,2468
6184,3712,1,2472
6184,3708,1,2476
6184,3704,1,2480
6184,3700,1,2484
6184,3696,1,2488
6184,3688,1,2496
6184,3684,1,2500
6184,3680,1,2504
6184,3676,1,2508
6184,3672,1,2512
6184,3668,1,2516
6184,3664,1,2520
6184,3660,1,2524
6184,3656,1,2528
6184,3652,1,2532
6184,3648,1,2536
6184,3644,1,2540
6184,3640,1,2544
6184,3636,1,2548
6184,3632,1,2552
6184,3628,1,2556
6184,3624,1,2560
6184,3620,1,2564
6184,3616,1,2568
6184,3612,1,2572
6184,3608,1,2576
6184,3604,1,2580
6184,3600,1,2584
6184,3596,1,2588
6184,3592,1,2592
6184,3588,1,2596
6184,3580,1,2604
6184,3576,1,2608
6184,3572,1,2612
6184,3568,1,2616
6184,3564,1,2620
6184,3560,1,2624
6184,3556,1,2628
6184,3552,1,2632
6184,3548,1,2636
6184,3544,1,2640
6184,3540,1,2644
6184,3536,1,2648
6184,3532,1,2652
6184,3528,1,2656
6184,3524,1,2660
6184,3324,1,2860
6184,3320,1,2864
6184,3316,1,2868
6184,3312,1,2872
6184,3308,1,2876
6184,3304,1,2880
6184,3300,1,2884
6184,3296,1,2888
6184,3292,1,2892
6184,3288,1,2896
6184,3284,1,2900
6184,3280,1,2904
6184,3276,1,2908
6184,3272,1,2912
6184,3268,1,2916
6184,3264,1,2920
6184,3256,1,2928
6184,3252,1,2932
6184,3248,1,2936
6184,3244,1,2940
6184,3240,1,2944
6184,3236,1,2948
6184,3232,1,2952
6184,3228,1,2956
6184,3224,1,2960
6184,3220,1,2964
6184,3216,1,2968
6184,3212,1,2972
6184,3208,1,2976
6184,3204,1,2980
6184,3200,1,2984
6184,3196,1,2988
6184,3192,1,2992
6184,3188,1,2996
6184,3184,1,3000
6184,3176,1,3008
6184,3172,1,3012
6184,3168,1,3016
6184,3164,1,3020
6184,3160,1,3024
6184,3156,1,3028
6184,3152,1,3032
6184,3148,1,3036
6184,3144,1,3040
6184,3140,1,3044
6184,3136,1,3048
6184,3132,1,3052
6184,3128,1,3056
6184,3124,1,3060
6184,3120,1,3064
6184,3116,1,3068
6184,3112,1,3072
6184,3108,1,3076
6184,3104,1,3080
6184,3100,1,3084
6184,3096,1,3088
6184,3092,1,3092
6184,3088,1,3096
6184,3080,1,3104
6184,3076,1,3108
6184,3072,1,3112
6184,3068,1,3116
6184,3064,1,3120
6184,3060,1,3124
6184,3056,1,3128
6184,3052,1,3132
6184,3048,1,3136
6184,3044,1,3140
6184,3040,1,3144
6184,3036,1,3148
6184,3032,1,3152
6184,3028,1,3156
6184,3024,1,3160
6184,3020,1,3164
6184,3016,1,3168
6184,3008,1,3176
6184,3004,1,3180
6184,3000,1,3184
6184,2996,1,3188
6184,2992,1,3192
6184,2988,1,3196
6184,2984,1,3200
6184,2980,1,3204
6184,2976,1,3208
6184,2972,1,3212
6184,2968,1,3216
6184,2964,1,3220
6184,2960,1,3224
6184,2956,1,3228
6184,2952,1,3232
6184,2948,1,3236
6184,2944,1,3240
6184,2940,1,3244
6184,2936,1,3248
6184,2932,1,3252
6184,2928,1,3256
6184,2924,1,3260
6184,2920,1,3264
6184,2912,1,3272
6184,2908,1,3276
6184,2904,1,3280
6184,2900,1,3284
6184,2896,1,3288
6184,2892,1,3292
6184,2888,1,3296
6184,2884,1,3300
6184,2880,1,3304
6184,2876,1,3308
6184,2872,1,3312
6184,2868,1,3316
6184,2864,1,3320
6184,2860,1,3324
6184,2856,1,3328
6184,2852,1,3332
6184,2848,1,3336
6184,2844,1,3340
6184,2840,1,3344
6184,2832,1,3352
6184,2828,1,3356
6184,2824,1,3360
6184,2820,1,3364
6184,2816,1,3368
6184,2812,1,3372
6184,2808,1,3376
6184,2804,1,3380
6184,2800,1,3384
6184,2796,1,3388
6184,2792,1,3392
6184,2788,1,3396
6184,2784,1,3400
6184,2780,1,3404
6184,2776,1,3408
6184,2772,1,3412
6184,2768,1,3416
6184,2764,1,3420
6184,2760,1,3424
6184,2756,1,3428
6184,2748,1,3436
6184,2748,1,3436
6184,2744,1,3440
6184,2736,1,3448
6184,2732,1,3452
6184,2728,1,3456
6184,2724,1,3460
6184,2724,1,3460
6184,2720,1,3464
6184,2716,1,3468
6184,2708,1,3476
6184,2704,1,3480
6184,2700,1,3484
6184,2696,1,3488
6184,2692,1,3492
6184,2688,1,3496
6184,2684,1,3500
6184,2680,1,3504
6184,2676,1,3508
6184,2672,1,3512
6184,2668,1,3516
6184,2664,1,3520
6184,2660,1,3524
6184,2656,1,3528
6184,2652,1,3532
6184,2648,1,3536
6184,2644,1,3540
6184,2640,1,3544
