current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
21.896,0,0,21.896
26.896,0.004,1,21.9
26.896,4.992,1,21.904
26.896,4.988,1,21.908
26.896,4.984,1,21.912
26.896,4.98,1,21.916
26.896,4.976,1,21.92
26.896,4.972,1,21.924
26.896,4.968,1,21.928
26.896,4.964,1,21.932
26.896,4.96,1,21.936
26.896,4.952,1,21.944
26.896,4.948,1,21.948
26.896,4.944,1,21.952
26.896,4.94,1,21.956
26.896,4.936,1,21.96
26.896,4.932,1,21.964
26.896,4.928,1,21.968
26.896,4.924,1,21.972
26.896,4.92,1,21.976
26.896,4.916,1,21.98
26.896,4.912,1,21.984
26.896,4.908,1,21.988
26.896,4.904,1,21.992
26.896,4.9,1,21.996
26.896,4.896,1,22
26.896,4.892,1,22.004
26.896,4.884,1,22.012
26.896,4.88,1,22.016
26.896,4.876,1,22.02
26.896,4.851662,1,22.044338
26.896,4.847674,1,22.048326
26.896,4.843704,1,22.052296
26.896,4.83974,1,22.05626
26.896,4.835795,1,22.060205
26.896,4.831846,1,22.064154
26.896,4.827902,1,22.068098
26.896,4.137865,1,22.758135
26.896,4.186283,1,22.709717
26.896,4.140072,1,22.755928
26.896,4.122492,1,22.773508
26.896,4.110285,1,22.785715
26.896,4.103632,1,22.792368
26.896,4.098919,1,22.797081
26.896,4.095053,1,22.800947
26.896,4.091448,1,22.804552
26.896,4.087872,1,22.808128
26.896,4.084227,1,22.811773
26.896,4.076635,1,22.819365
26.896,4.07314,1,22.82286
26.896,4.069054,1,22.826946
26.896,4.065107,1,22.830893
26.896,4.061144,1,22.834856
26.896,4.057207,1,22.838793
26.896,4.053265,1,22.842735
26.896,4.049332,1,22.846668
26.896,4.045376,1,22.850624
26.896,4.04143,1,22.85457
26.896,4.037481,1,22.858519
26.896,4.033533,1,22.862467
26.896,4.02959,1,22.86641
26.896,4.025635,1,22.870365
26.896,4.021692,1,22.874308
26.896,4.017725,1,22.878275
26.896,4.009901,1,22.886099
26.896,4.006245,1,22.889755
26.896,4.00205,1,22.89395
26.896,3.998022,1,22.897978
26.896,3.99403,1,22.90197
26.896,3.990055,1,22.905945
26.896,3.986101,1,22.909899
26.896,3.982145,1,22.913855
26.896,3.978188,1,22.917812
26.896,3.97424,1,22.92176
26.896,3.970282,1,22.925718
26.896,3.96633,1,22.92967
26.896,3.962387,1,22.933613
26.896,3.958424,1,22.937576
26.896,3.954481,1,22.941519
26.896,3.946642,1,22.949358
26.896,3.94298,1,22.95302
26.896,3.938784,1,22.957216
26.896,3.934754,1,22.961246
26.896,3.930748,1,22.965252
26.896,3.926785,1,22.969215
26.896,3.922834,1,22.973166
26.896,3.918867,1,22.977133
26.896,3.91492,1,22.98108
26.896,3.910961,1,22.985039
26.896,3.907,1,22.989
26.896,3.899176,1,22.996824
26.896,3.895506,1,23.000494
26.896,3.891325,1,23.004675
26.896,3.887283,1,23.008717
26.896,3.883288,1,23.012712
26.896,3.87933,1,23.01667
26.896,3.875364,1,23.020636
26.896,3.871409,1,23.024591
26.896,3.867468,1,23.028532
26.896,3.863514,1,23.032486
26.896,3.859562,1,23.036438
26.896,3.8556,1,23.0404
26.896,3.84778,1,23.04822
26.896,3.844114,1,23.051886
26.896,3.839922,1,23.056078
26.896,3.835888,1,23.060112
26.896,3.831883,1,23.064117
26.896,3.82792,1,23.06808
26.896,3.823954,1,23.072046
26.896,3.819998,1,23.076002
26.896,3.816048,1,23.079952
26.896,3.8121,1,23.0839
26.896,3.80426,1,23.09174
26.896,3.800604,1,23.095396
26.896,3.796414,1,23.099586
26.896,3.792381,1,23.103619
26.896,3.788385,1,23.107615
26.896,3.784416,1,23.111584
26.896,3.780453,1,23.115547
26.896,3.776507,1,23.119493
26.896,3.772558,1,23.123442
26.896,3.768602,1,23.127398
26.896,3.764645,1,23.131355
26.896,3.760689,1,23.135311
26.896,3.752861,1,23.143139
26.896,3.74919,1,23.14681
26.896,3.744997,1,23.151003
26.896,3.740967,1,23.155033
26.896,3.736963,1,23.159037
26.896,3.732998,1,23.163002
26.896,3.729035,1,23.166965
26.896,3.72508,1,23.17092
26.896,3.721129,1,23.174871
26.896,3.717167,1,23.178833
26.896,3.713215,1,23.182785
26.896,3.709269,1,23.186731
26.896,3.701449,1,23.194551
26.896,3.697779,1,23.198221
26.896,3.693579,1,23.202421
26.896,3.68955,1,23.20645
26.896,3.685547,1,23.210453
26.896,3.681583,1,23.214417
26.896,3.677622,1,23.218378
26.896,3.67367,1,23.22233
26.896,3.669708,1,23.226292
26.896,3.665753,1,23.230247
26.896,3.661802,1,23.234198
26.896,3.657858,1,23.238142
26.896,3.6539,1,23.2421
26.896,3.649948,1,23.246052
26.896,3.645987,1,23.250013
26.896,3.642027,1,23.253973
26.896,3.634192,1,23.261808
26.896,3.630531,1,23.265469
26.896,3.626333,1,23.269667
26.896,3.622309,1,23.273691
26.896,3.618305,1,23.277695
26.896,3.614332,1,23.281668
26.896,3.610376,1,23.285624
26.896,3.606423,1,23.289577
26.896,3.602463,1,23.293537
26.896,3.59852,1,23.29748
26.896,3.59456,1,23.30144
26.896,3.590603,1,23.305397
26.896,3.58665,1,23.30935
26.896,3.5827,1,23.3133
26.896,3.578745,1,23.317255
26.896,3.574787,1,23.321213
26.896,3.570831,1,23.325169
26.896,3.562988,1,23.333012
26.896,3.55932,1,23.33668
26.896,3.555126,1,23.340874
26.896,3.551098,1,23.344902
26.896,3.547087,1,23.348913
26.896,3.543121,1,23.352879
26.896,3.539162,1,23.356838
26.896,3.53522,1,23.36078
26.896,3.53126,1,23.36474
26.896,3.527302,1,23.368698
26.896,3.523361,1,23.372639
26.896,3.519396,1,23.376604
26.896,3.51544,1,23.38056
26.896,3.511475,1,23.384525
26.896,3.50753,1,23.38847
26.896,3.499683,1,23.396317
26.896,3.496035,1,23.399965
26.896,3.49184,1,23.40416
26.896,3.487808,1,23.408192
26.896,3.483805,1,23.412195
26.896,3.479832,1,23.416168
26.896,3.47586,1,23.42014
26.896,3.471914,1,23.424086
26.896,3.467955,1,23.428045
26.896,3.464008,1,23.431992
26.896,3.460049,1,23.435951
26.896,3.456099,1,23.439901
26.896,3.452143,1,23.443857
26.896,3.448181,1,23.447819
26.896,3.440342,1,23.455658
26.896,3.43668,1,23.45932
26.896,3.43248,1,23.46352
26.896,3.428457,1,23.467543
26.896,3.424448,1,23.471552
26.896,3.420477,1,23.475523
26.896,3.416508,1,23.479492
26.896,3.412567,1,23.483433
26.896,3.40861,1,23.48739
26.896,3.404665,1,23.491335
26.896,3.400704,1,23.495296
26.896,3.396744,1,23.499256
26.896,3.39279,1,23.50321
26.896,3.388834,1,23.507166
26.896,3.384873,1,23.511127
26.896,3.377037,1,23.518963
26.896,3.373373,1,23.522627
26.896,3.369186,1,23.526814
26.896,3.365154,1,23.530846
26.896,3.36114,1,23.53486
26.896,3.357176,1,23.538824
26.896,3.353214,1,23.542786
26.896,3.349257,1,23.546743
26.896,3.345293,1,23.550707
26.896,3.341343,1,23.554657
26.896,3.337391,1,23.558609
26.896,3.333433,1,23.562567
26.896,3.329477,1,23.566523
26.896,3.325516,1,23.570484
26.896,3.321568,1,23.574432
26.896,3.31372,1,23.58228
26.896,3.310057,1,23.585943
26.896,3.305863,1,23.590137
26.896,3.301838,1,23.594162
26.896,3.297834,1,23.598166
26.896,3.29387,1,23.60213
26.896,3.289898,1,23.606102
26.896,3.285944,1,23.610056
26.896,3.281992,1,23.614008
26.896,3.278038,1,23.617962
26.896,3.274082,1,23.621918
26.896,3.27012,1,23.62588
26.896,3.266161,1,23.629839
26.896,3.262215,1,23.633785
26.896,3.258251,1,23.637749
26.896,3.250408,1,23.645592
26.896,3.246744,1,23.649256
26.896,3.24256,1,23.65344
26.896,3.238522,1,23.657478
26.896,3.234518,1,23.661482
26.896,3.230541,1,23.665459
26.896,3.22659,1,23.66941
26.896,3.222624,1,23.673376
26.896,3.218666,1,23.677334
26.896,3.214707,1,23.681293
26.896,3.210753,1,23.685247
26.896,3.206797,1,23.689203
26.896,3.202843,1,23.693157
26.896,3.195,1,23.701
26.896,3.191341,1,23.704659
26.896,3.187153,1,23.708847
26.896,3.183115,1,23.712885
26.896,3.179113,1,23.716887
26.896,3.175146,1,23.720854
26.896,3.171173,1,23.724827
26.896,3.167221,1,23.728779
26.896,3.163263,1,23.732737
26.896,3.159315,1,23.736685
26.896,3.155357,1,23.740643
26.896,3.151398,1,23.744602
26.896,3.147455,1,23.748545
26.896,3.143488,1,23.752512
26.896,3.13953,1,23.75647
26.896,3.13557,1,23.76043
26.896,3.131613,1,23.764387
26.896,3.12766,1,23.76834
26.896,3.1198,1,23.7762
26.896,3.120037,1,23.775963
26.896,3.11166,1,23.78434
26.896,3.108143,1,23.787857
26.896,3.103985,1,23.792015
26.896,3.099985,1,23.796015
26.896,3.095986,1,23.800014
26.896,3.092018,1,23.803982
26.896,3.088057,1,23.807943
26.896,3.084108,1,23.811892
26.896,3.080147,1,23.815853
