timeslot,rl_storage_allocator,greedy_storage_allocator,actual_disk_usage
0,199724,199724,199724
1,199732,204724,199732
2,199744,204724,199744
3,199748,204724,199748
4,199756,204724,199756
5,199764,204724,199764
6,199768,204724,199768
7,199776,204724,199776
8,199780,204724,199780
9,199788,204724,199788
10,199796,204724,199796
11,199808,204724,199808
12,199816,204724,199816
13,199820,204724,199820
14,199828,204724,199828
15,199836,204724,199836
16,199852,204724,199852
17,199860,204724,199860
18,199868,204724,199868
19,199872,204724,199872
20,199880,204724,199880
21,199884,204724,199884
22,199892,204724,199892
23,199900,204724,199900
24,199904,204724,199904
25,199912,204724,199912
26,199920,204724,199920
27,199932,204724,199932
28,199940,204724,199940
29,199944,204724,199944
30,199952,204724,199952
31,199960,204724,199960
32,199968,204724,199968
33,199972,204724,199972
34,199980,204724,199980
35,199988,204724,199988
36,199992,204724,199992
37,200000,204724,200000
38,200016,204724,200016
39,200020,204724,200020
40,200028,204724,200028
41,200032,204724,200032
42,200040,204724,200040
43,200048,204724,200048
44,200052,204724,200052
45,200060,204724,200060
46,200068,204724,200068
47,200072,204724,200072
48,200080,204724,200080
49,200096,204724,200096
50,200100,204724,200100
51,200108,204724,200108
52,200116,204724,200116
53,200120,204724,200120
54,200128,204724,200128
55,200132,204724,200132
56,200140,204724,200140
57,200148,204724,200148
58,200152,204724,200152
59,200160,204724,200160
60,200168,204724,200168
61,200180,204724,200180
62,200188,204724,200188
63,200192,204724,200192
64,200200,204724,200200
65,200204,204724,200204
66,200212,204724,200212
67,200220,204724,200220
68,200224,204724,200224
69,200232,204724,200232
70,200240,204724,200240
71,200244,204724,200244
72,200260,204724,200260
73,200268,204724,200268
74,200272,204724,200272
75,200280,204724,200280
76,200284,204724,200284
77,200292,204724,200292
78,200300,204724,200300
79,200304,204724,200304
80,200312,204724,200312
81,200316,204724,200316
82,200324,204724,200324
83,200340,204724,200340
84,200344,204724,200344
85,200352,204724,200352
86,200360,204724,200360
87,200364,204724,200364
88,200372,204724,200372
89,200376,204724,200376
90,200384,204724,200384
91,200388,204724,200388
92,200396,204724,200396
93,200404,204724,200404
94,200416,204724,200416
95,200424,204724,200424
96,200432,204724,200432
97,200436,204724,200436
98,200444,204724,200444
99,200448,204724,200448
100,200456,204724,200456
101,200464,204724,200464
102,200468,204724,200468
103,200476,204724,200476
104,200480,204724,200480
105,200488,204724,200488
106,200504,204724,200504
107,200508,204724,200508
108,200516,204724,200516
109,200520,204724,200520
110,200528,204724,200528
111,200536,204724,200536
112,200540,204724,200540
113,200548,204724,200548
114,200552,204724,200552
115,200560,204724,200560
116,200568,204724,200568
117,200580,204724,200580
118,200588,204724,200588
119,200596,204724,200596
120,200600,204724,200600
121,200608,204724,200608
122,200612,204724,200612
123,200620,204724,200620
124,200628,204724,200628
125,200632,204724,200632
126,200640,204724,200640
127,200644,204724,200644
128,200660,204724,200660
129,200668,204724,200668
130,200672,204724,200672
131,200680,204724,200680
132,200688,204724,200688
133,200692,204724,200692
