current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
1208,0,0,1208
1208,0,0,1208
6208,4696,1,1510
6208,4396,1,1812
6208,4396,1,1812
6208,3792,1,2416
6208,3792,1,2416
6208,3492,1,2716
6208,3493,1,2715
6208,3192,1,3016
6208,2890,1,3318
6208,2588,1,3620
6208,2588,1,3620
6208,2286,1,3922
6208,2286,1,3922
6208,1984,1,4224
6208,1682,1,4526
6208,1379,1,4829
6208,1076,1,5132
6208,1075,1,5133
6208,772,1,5436
6208,470,1,5738
6208,168,1,6040
6208,168,1,6040
11208,134,2,6342
11208,4866,2,6342
11208,4564,2,6644
11208,4262,2,6946
11208,3960,2,7248
11208,5163.88,2,6044.12
11208,4961.574,2,6246.426
11208,4749.1514,2,6458.8486
11208,4506.165,2,6701.835
11208,4238.1978,2,6969.8022
11208,4040.639,2,7167.361
11208,3831.261,2,7376.739
11208,3676.9863,2,7531.0137
11208,3408.577,2,7799.423
11208,3186.6104,2,8021.3896
11208,2956.312,2,8251.688
11208,2701.964,2,8506.036
11208,2513.9,2,8694.1
11208,2310.515,2,8897.485
11208,2073.078,2,9134.922
11208,1808.695,2,9399.305
11208,1613.527,2,9594.473
11208,1405.982,2,9802.018
11208,1252.756,2,9955.244
11208,1071.584,2,10136.416
11208,847.882,2,10360.118
11208,591.914,2,10616.086
11208,315.319,2,10892.681
11208,112.768,2,11095.232
16208,99.736,3,11307.736
16208,4657.031,3,11550.969
16208,4388.818,3,11819.182
16208,4191.063,3,12016.937
16208,3981.669,3,12226.331
16208,3827.427,3,12380.573
16208,3645.928,3,12562.072
16208,3421.948,3,12786.052
16208,3166.127,3,13041.873
16208,2976.868,3,13231.132
16208,2773.515,3,13434.485
16208,2536.603,3,13671.397
16208,2272.416,3,13935.584
16208,1990.174,3,14217.826
16208,1783.906,3,14424.094
16208,1569.879,3,14638.121
16208,1413.198,3,14794.802
16208,1143.871,3,15064.129
16208,921.217,3,15286.783
16208,690.7705,3,15517.2295
16208,522.941,3,15685.059
16208,333.208,3,15874.792
16208,191.227,3,16016.773
21208,69.636,4,16277.636
21208,4625.727,4,16582.273
21208,4399.34,4,16808.66
21208,4171.775,4,17036.225
21208,4006.154,4,17201.846
21208,3730.69,4,17477.31
21208,3503.549,4,17704.451
21208,3269.959,4,17938.041
21208,3100.148,4,18107.852
21208,2909.336,4,18298.664
21208,2767.043,4,18440.957
21208,2506.672,4,18701.328
21208,2203.082,4,19004.918
21208,1977.611,4,19230.389
21208,1750.783,4,19457.217
21208,1585.754,4,19622.246
21208,1310.795,4,19897.205
21208,1083.836,4,20124.164
21208,850.508,4,20357.492
21208,680.895,4,20527.105
21208,490.408,4,20717.592
21208,348.1,4,20859.9
21208,87.172,4,21120.828
26208,217.924,5,21425.924
26208,4555.443,5,21652.557
26208,4328.14,5,21879.86
26208,4163.42,5,22044.58
26208,3976.258,5,22231.742
26208,3748.889,5,22459.111
