current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
0.004,0,0,0.004
5.004,0.004,1,0.008
5.004,4.988,1,0.016
5.004,4.976,1,0.028
5.004,4.968,1,0.036
5.004,4.956,1,0.048
5.004,4.948,1,0.056
5.004,4.936,1,0.068
5.004,4.924,1,0.08
5.004,4.916,1,0.088
5.004,4.904,1,0.1
5.004,4.892,1,0.112
5.004,4.884,1,0.12
5.004,4.872,1,0.132
5.004,4.86,1,0.144
5.004,4.852,1,0.152
5.004,4.84,1,0.164
5.004,4.828,1,0.176
5.004,4.816,1,0.188
5.004,4.808,1,0.196
5.004,4.796,1,0.208
5.004,4.784,1,0.22
5.004,4.776,1,0.228
5.004,4.764,1,0.24
5.004,4.752,1,0.252
5.004,4.74,1,0.264
5.004,4.732,1,0.272
5.004,4.72,1,0.284
5.004,4.708,1,0.296
5.004,4.52027672,1,0.48372328
5.004,4.50753947,1,0.49646053
5.004,4.49744164,1,0.50655836
5.004,4.48893683,1,0.51506317
5.004,4.4761796,1,0.5278204
5.004,4.4661217,1,0.5378783
5.004,4.45761024,1,0.54638976
5.004,4.4448863,1,0.5591137
5.004,4.43482845,1,0.56917155
5.004,4.423211,1,0.580789
5.004,4.4146795,1,0.5893205
5.004,4.4019889,1,0.6020111
5.004,4.3917978,1,0.6122022
5.004,4.3801869,1,0.6238131
5.004,4.3685761,1,0.6354239
5.004,4.3600246,1,0.6439754
5.004,4.3472007,1,0.6567993
5.004,4.33700954,1,0.66699046
5.004,4.32541876,1,0.67858124
5.004,4.31685393,1,0.68714607
5.004,4.3040967,1,0.6999033
5.004,4.29395216,1,0.71004784
5.004,4.2854007,1,0.7185993
5.004,4.27263676,1,0.73136324
5.004,4.26565164,1,0.73834836
5.004,4.2528944,1,0.7511056
5.004,4.24282985,1,0.76117015
5.004,4.23440503,1,0.76959497
5.004,4.22167443,1,0.78232557
5.004,4.2116433,1,0.7923567
5.004,4.2000391,1,0.8039609
5.004,4.19154756,1,0.81245244
5.004,4.1788037,1,0.8251963
5.004,4.1686392,1,0.8353608
5.004,4.1601144,1,0.8438856
5.004,4.1473238,1,0.8566762
5.004,4.1372526,1,0.8667474
5.004,4.1256352,1,0.8783648
5.004,4.1171237,1,0.8868763
5.004,4.1043731,1,0.8996269
5.004,4.09418195,1,0.90981805
5.004,4.0825911,1,0.9214089
5.004,4.0709736,1,0.9330264
5.004,4.06246214,1,0.94153786
5.004,4.04957824,1,0.95442176
5.004,4.0393871,1,0.9646129
5.004,4.02775627,1,0.97624373
5.004,4.0161388,1,0.9878612
5.004,4.0076206,1,0.9963794
5.004,3.9947568,1,1.0092432
5.004,3.9845655,1,1.0194345
5.004,3.9729014,1,1.0310986
5.004,3.9644033,1,1.0395967
5.004,3.9516193,1,1.0523807
5.004,3.9414549,1,1.0625451
5.004,3.929804,1,1.074196
5.004,3.9212792,1,1.0827208
5.004,3.908502,1,1.095498
5.004,3.8983642,1,1.1056358
5.004,3.8867066,1,1.1172934
5.004,3.8750959,1,1.1289041
5.004,3.866571,1,1.137429
5.004,3.8536938,1,1.1503062
5.004,3.8435094,1,1.1604906
5.004,3.8318985,1,1.1721015
5.004,3.8202344,1,1.1837656
5.004,3.8117362,1,1.1922638
5.004,3.798839,1,1.205161
5.004,3.7886478,1,1.2153522
5.004,3.7801164,1,1.2238836
5.004,3.7673325,1,1.2366675
5.004,3.7572612,1,1.2467388
5.004,3.7456238,1,1.2583762
5.004,3.7371123,1,1.2668877
5.004,3.724355,1,1.279645
5.004,3.7141839,1,1.2898161
5.004,3.7056457,1,1.2983543
5.004,3.6928685,1,1.3111315
5.004,3.682784,1,1.321216
5.004,3.6711798,1,1.3328202
5.004,3.6595424,1,1.3444576
5.004,3.6510442,1,1.3529558
5.004,3.6381803,1,1.3658197
5.004,3.6279824,1,1.3760176
5.004,3.616345,1,1.387655
5.004,3.6078135,1,1.3961865
5.004,3.595023,1,1.408977
5.004,3.5848585,1,1.4191415
5.004,3.5732142,1,1.4307858
5.004,3.5615968,1,1.4424032
5.004,3.5530986,1,1.4509014
5.004,3.5401748,1,1.4638252
5.004,3.5300036,1,1.4739964
5.004,3.5183528,1,1.4856472
5.004,3.509808,1,1.494192
5.004,3.4970173,1,1.5069827
5.004,3.4868596,1,1.5171404
5.004,3.4752087,1,1.5287913
5.004,3.4667106,1,1.5372894
5.004,3.4538934,1,1.5501066
5.004,3.4437622,1,1.5602378
5.004,3.4320714,1,1.5719286
5.004,3.4235865,1,1.5804135
5.004,3.4107559,1,1.5932441
5.004,3.4006115,1,1.6033885
5.004,3.3889473,1,1.6150527
