current_allocated_disk_space,unused_allocated_disk_space,downtime_fixed_storage_allocation,predicted_disk_space,timeslot,unused_disk_space_MB,unused_disk_space_rl,downtime_rl_storage_allocator
1184,0,0.2368,1184,0,0,0,1
6184,4996,1,1188,1,4.996,0,2
6184,4992,1,1192,2,4.992,0,3
6184,4988,1,1196,3,4.988,0,4
6184,4984,1,1200,4,4.984,0,5
6184,4980,1,1204,5,4.98,0,6
6184,4976,1,1208,6,4.976,0,7
6184,4972,1,1212,7,4.972,0,8
6184,4968,1,1216,8,4.968,0,9
6184,4964,1,1220,9,4.964,0,10
6184,4960,1,1224,10,4.96,0,11
6184,4956,1,1228,11,4.956,0,12
6184,4952,1,1232,12,4.952,0,13
6184,4944,1,1240,13,4.944,0,14
6184,4940,1,1244,14,4.94,0,15
6184,4936,1,1248,15,4.936,0,16
6184,4932,1,1252,16,4.932,0,17
6184,4928,1,1256,17,4.928,0,18
6184,4924,1,1260,18,4.924,0,19
6184,4920,1,1264,19,4.92,0,20
6184,4916,1,1268,20,4.916,0,21
6184,4912,1,1272,21,4.912,0,22
6184,4908,1,1276,22,4.908,0,23
6184,4904,1,1280,23,4.904,0,24
6184,4900,1,1284,24,4.9,0,25
6184,4896,1,1288,25,4.896,0,26
6184,4892,1,1292,26,4.892,0,27
6184,4888,1,1296,27,4.888,0,28
6184,4884,1,1300,28,4.884,0,29
6184,4880,1,1304,29,4.88,0,30
6184,4876,1,1308,30,4.876,0,31
6184,4872,1,1312,31,4.872,0,32
6184,4868,1,1316,32,4.868,0,33
6184,4864,1,1320,33,4.864,0,34
6184,4860,1,1324,34,4.86,0,35
6184,4856,1,1328,35,4.856,0,36
6184,4852,1,1332,36,4.852,0,37
6184,4848,1,1336,37,4.848,0,38
6184,4844,1,1340,38,4.844,0,39
6184,4840,1,1344,39,4.84,0,40
6184,4836,1,1348,40,4.836,0,41
6184,4832,1,1352,41,4.832,0,42
6184,4828,1,1356,42,4.828,0,43
6184,4824,1,1360,43,4.824,0,44
6184,4816,1,1368,44,4.816,0,45
6184,4816,1,1368,45,4.816,0,46
6184,4812,1,1372,46,4.812,0,47
6184,4808,1,1376,47,4.808,0,48
6184,4804,1,1380,48,4.804,0,49
6184,4800,1,1384,49,4.8,0,50
6184,4792,1,1392,50,4.792,0,51
6184,4788,1,1396,51,4.788,0,52
6184,4784,1,1400,52,4.784,0,53
6184,4780,1,1404,53,4.78,0,54
6184,4776,1,1408,54,4.776,0,55
6184,4772,1,1412,55,4.772,0,56
6184,4768,1,1416,56,4.768,0,57
6184,4764,1,1420,57,4.764,0,58
6184,4760,1,1424,58,4.76,0,59
6184,4756,1,1428,59,4.756,0,60
6184,4752,1,1432,60,4.752,0,61
6184,4748,1,1436,61,4.748,0,62
6184,4744,1,1440,62,4.744,0,63
6184,4544,1,1640,63,4.544,0,64
6184,4540,1,1644,64,4.54,0,65
6184,4536,1,1648,65,4.536,0,66
6184,4532,1,1652,66,4.532,0,67
6184,4528,1,1656,67,4.528,0,68
6184,4524,1,1660,68,4.524,0,69
6184,4520,1,1664,69,4.52,0,70
6184,4516,1,1668,70,4.516,0,71
6184,4512,1,1672,71,4.512,0,72
6184,4508,1,1676,72,4.508,0,73
6184,4504,1,1680,73,4.504,0,74
6184,4500,1,1684,74,4.5,0,75
6184,4496,1,1688,75,4.496,0,76
6184,4492,1,1692,76,4.492,0,77
6184,4488,1,1696,77,4.488,0,78
6184,4484,1,1700,78,4.484,0,79
6184,4480,1,1704,79,4.48,0,80
6184,4476,1,1708,80,4.476,0,81
6184,4472,1,1712,81,4.472,0,82
6184,4468,1,1716,82,4.468,0,83
6184,4464,1,1720,83,4.464,0,84
6184,4460,1,1724,84,4.46,0,85
6184,4456,1,1728,85,4.456,0,86
6184,4448,1,1736,86,4.448,0,87
6184,4444,1,1740,87,4.444,0,88
6184,4440,1,1744,88,4.44,0,89
6184,4436,1,1748,89,4.436,0,90
6184,4432,1,1752,90,4.432,0,91
6184,4428,1,1756,91,4.428,0,92
6184,4424,1,1760,92,4.424,0,93
6184,4420,1,1764,93,4.42,0,94
6184,4416,1,1768,94,4.416,0,95
6184,4412,1,1772,95,4.412,0,96
6184,4408,1,1776,96,4.408,0,97
6184,4404,1,1780,97,4.404,0,98
6184,4400,1,1784,98,4.4,0,99
6184,4396,1,1788,99,4.396,0,100
6184,4392,1,1792,100,4.392,0,101
6184,4388,1,1796,101,4.388,0,102
6184,4384,1,1800,102,4.384,0,103
6184,4380,1,1804,103,4.38,0,104
6184,4376,1,1808,104,4.376,0,105
6184,4372,1,1812,105,4.372,0,106
6184,4368,1,1816,106,4.368,0,107
6184,4364,1,1820,107,4.364,0,108
6184,4360,1,1824,108,4.36,0,109
6184,4356,1,1828,109,4.356,0,110
6184,4352,1,1832,110,4.352,0,111
6184,4348,1,1836,111,4.348,0,112
6184,4344,1,1840,112,4.344,0,113
6184,4340,1,1844,113,4.34,0,114
6184,4336,1,1848,114,4.336,0,115
6184,4332,1,1852,115,4.332,0,116
6184,4328,1,1856,116,4.328,0,117
6184,4324,1,1860,117,4.324,0,118
6184,4320,1,1864,118,4.32,0,119
6184,4316,1,1868,119,4.316,0,120
6184,4312,1,1872,120,4.312,0,121
6184,4308,1,1876,121,4.308,0,122
6184,4304,1,1880,122,4.304,0,123
6184,4300,1,1884,123,4.3,0,124
6184,4296,1,1888,124,4.296,0,125
6184,4292,1,1892,125,4.292,0,126
6184,4288,1,1896,126,4.288,0,127
6184,4284,1,1900,127,4.284,0,128
