timeslot,rl_storage_allocator,actual_disk_usage,greedy_storage_allocator
0,199.724,199.724,199.724
1,199.732,199.732,204.724
2,199.744,199.744,204.724
3,199.748,199.748,204.724
4,199.756,199.756,204.724
5,199.764,199.764,204.724
6,199.768,199.768,204.724
7,199.776,199.776,204.724
8,199.78,199.78,204.724
9,199.788,199.788,204.724
10,199.796,199.796,204.724
11,199.808,199.808,204.724
12,199.816,199.816,204.724
13,199.82,199.82,204.724
14,199.828,199.828,204.724
15,199.836,199.836,204.724
16,199.852,199.852,204.724
17,199.86,199.86,204.724
18,199.868,199.868,204.724
19,199.872,199.872,204.724
20,199.88,199.88,204.724
21,199.884,199.884,204.724
22,199.892,199.892,204.724
23,199.9,199.9,204.724
24,199.904,199.904,204.724
25,199.912,199.912,204.724
26,199.92,199.92,204.724
27,199.932,199.932,204.724
28,199.94,199.94,204.724
29,199.944,199.944,204.724
30,199.952,199.952,204.724
31,199.96,199.96,204.724
32,199.968,199.968,204.724
33,199.972,199.972,204.724
34,199.98,199.98,204.724
35,199.988,199.988,204.724
36,199.992,199.992,204.724
37,200,200,204.724
38,200.016,200.016,204.724
39,200.02,200.02,204.724
40,200.028,200.028,204.724
41,200.032,200.032,204.724
42,200.04,200.04,204.724
43,200.048,200.048,204.724
44,200.052,200.052,204.724
45,200.06,200.06,204.724
46,200.068,200.068,204.724
47,200.072,200.072,204.724
48,200.08,200.08,204.724
49,200.096,200.096,204.724
50,200.1,200.1,204.724
51,200.108,200.108,204.724
52,200.116,200.116,204.724
53,200.12,200.12,204.724
54,200.128,200.128,204.724
55,200.132,200.132,204.724
56,200.14,200.14,204.724
57,200.148,200.148,204.724
58,200.152,200.152,204.724
59,200.16,200.16,204.724
60,200.168,200.168,204.724
61,200.18,200.18,204.724
62,200.188,200.188,204.724
63,200.192,200.192,204.724
64,200.2,200.2,204.724
65,200.204,200.204,204.724
66,200.212,200.212,204.724
67,200.22,200.22,204.724
68,200.224,200.224,204.724
69,200.232,200.232,204.724
70,200.24,200.24,204.724
71,200.244,200.244,204.724
72,200.26,200.26,204.724
73,200.268,200.268,204.724
