current_allocated_disk_space,unused_allocated_disk_space,downtime_fixed_storage_allocation,predicted_disk_space,timeslot,unused_disk_space_MB,unused_disk_space_rl,downtime_rl_storage_allocator,,cumulative_unused_disk_greedy
199724,0,1,199724,0,0,0,1,,54758.752
204724,4992,1,199732,1,4.992,0,2,,
204724,4980,1,199744,2,4.98,0,3,,
204724,4976,1,199748,3,4.976,0,4,,
204724,4968,1,199756,4,4.968,0,5,,
204724,4960,1,199764,5,4.96,0.004,6,,
204724,4956,1,199768,6,4.956,0.004,7,,
204724,4948,1,199776,7,4.948,0,8,,
204724,4944,1,199780,8,4.944,0.004,9,,
204724,4936,1,199788,9,4.936,0.004,10,,
204724,4928,1,199796,10,4.928,0,11,,
204724,4916,1,199808,11,4.916,0,12,,
204724,4908,1,199816,12,4.908,0,13,,
204724,4904,1,199820,13,4.904,0,14,,
204724,4896,1,199828,14,4.896,0,15,,
204724,4888,1,199836,15,4.888,0,16,,
204724,4872,1,199852,16,4.872,0,17,,
204724,4864,1,199860,17,4.864,0,18,,
204724,4856,1,199868,18,4.856,0,19,,
204724,4852,1,199872,19,4.852,0,20,,
204724,4844,1,199880,20,4.844,0,21,,
204724,4840,1,199884,21,4.84,0,22,,
204724,4832,1,199892,22,4.832,0.004,23,,
204724,4824,1,199900,23,4.824,0.004,24,,
204724,4820,1,199904,24,4.82,0,25,,
204724,4812,1,199912,25,4.812,0,26,,
204724,4804,1,199920,26,4.804,0,27,,
204724,4792,1,199932,27,4.792,0,28,,
204724,4784,1,199940,28,4.784,0,29,,
204724,4780,1,199944,29,4.78,0,30,,
204724,4772,1,199952,30,4.772,0,31,,
204724,4764,1,199960,31,4.764,0,32,,
204724,4756,1,199968,32,4.756,0,33,,
204724,4752,1,199972,33,4.752,0,34,,
204724,4744,1,199980,34,4.744,0,35,,
204724,4736,1,199988,35,4.736,0,36,,
204724,4732,1,199992,36,4.732,0,37,,
204724,4724,1,200000,37,4.724,0,38,,
204724,4708,1,200016,38,4.708,0,39,,
204724,4704,1,200020,39,4.704,0,40,,
204724,4696,1,200028,40,4.696,0,41,,
204724,4692,1,200032,41,4.692,0,42,,
204724,4684,1,200040,42,4.684,0,43,,
204724,4676,1,200048,43,4.676,0,44,,
204724,4672,1,200052,44,4.672,0.004,45,,
204724,4664,1,200060,45,4.664,0,46,,
204724,4656,1,200068,46,4.656,0.004,47,,
204724,4652,1,200072,47,4.652,0,48,,
204724,4644,1,200080,48,4.644,0,49,,
204724,4628,1,200096,49,4.628,0,50,,
204724,4624,1,200100,50,4.624,0,51,,
204724,4616,1,200108,51,4.616,0,52,,
204724,4608,1,200116,52,4.608,0,53,,
204724,4604,1,200120,53,4.604,0,54,,
204724,4596,1,200128,54,4.596,0,55,,
204724,4592,1,200132,55,4.592,0,56,,
204724,4584,1,200140,56,4.584,0,57,,
204724,4576,1,200148,57,4.576,0,58,,
204724,4572,1,200152,58,4.572,0,59,,
204724,4564,1,200160,59,4.564,0,60,,
204724,4556,1,200168,60,4.556,0,61,,
204724,4544,1,200180,61,4.544,0,62,,
204724,4536,1,200188,62,4.536,0,63,,
204724,4532,1,200192,63,4.532,0.004,64,,
204724,4524,1,200200,64,4.524,0,65,,
204724,4520,1,200204,65,4.52,0,66,,
204724,4512,1,200212,66,4.512,0,67,,
204724,4504,1,200220,67,4.504,0,68,,
204724,4500,1,200224,68,4.5,0,69,,
